E(MeV)	mcnp/Sm-148:1
1.00000E-11	142.253000
1.10304E-11	135.485000
1.21669E-11	129.043000
1.34206E-11	122.916000
1.35153E-11	122.507000
1.48034E-11	117.083000
1.50122E-11	116.307000
1.63287E-11	111.531000
1.66759E-11	110.419000
1.80111E-11	106.246000
1.85229E-11	104.835000
1.98669E-11	101.216000
2.05756E-11	99.532400
2.19139E-11	96.427700
2.28546E-11	94.503600
2.41719E-11	91.871000
2.53873E-11	89.729800
2.66625E-11	87.534500
2.81993E-11	85.203100
2.94097E-11	83.408000
3.13243E-11	80.906600
3.24400E-11	79.481500
3.47938E-11	76.833300
3.57825E-11	75.745600
3.86497E-11	72.968100
3.94694E-11	72.191300
4.29306E-11	69.304400
4.35362E-11	68.810100
4.76881E-11	65.828600
4.80221E-11	65.593900
5.29701E-11	62.534900
5.84280E-11	59.630400
5.88402E-11	59.437000
6.44483E-11	56.868100
6.53575E-11	56.501100
7.10888E-11	54.243100
7.31088E-11	53.542200
7.84136E-11	51.746200
8.17795E-11	50.743100
8.64931E-11	49.371700
9.14784E-11	48.095700
9.54051E-11	47.114000
1.02328E-10	45.592500
1.05235E-10	44.967800
1.14464E-10	43.226000
1.16078E-10	42.928100
1.28039E-10	40.991100
1.28942E-10	40.862300
1.41231E-10	39.155700
1.45245E-10	38.665700
1.55784E-10	37.410700
1.63617E-10	36.591300
1.71835E-10	35.752700
1.85604E-10	34.519600
1.89540E-10	34.175500
2.09070E-10	32.678900
2.10545E-10	32.579600
2.30612E-10	31.264300
2.40511E-10	30.695100
2.54374E-10	29.918100
2.74756E-10	28.917100
2.80584E-10	28.637800
3.09494E-10	27.425400
3.16075E-10	27.183400
3.41383E-10	26.277700
3.66154E-10	25.501700
3.76558E-10	25.183900
4.15358E-10	24.148400
4.27160E-10	23.872700
4.58155E-10	23.167800
5.01847E-10	22.299700
5.05362E-10	22.231500
5.57433E-10	21.351000
5.93722E-10	20.814900
6.14869E-10	20.510400
6.78223E-10	19.715000
7.12326E-10	19.341200
7.48105E-10	18.959200
8.25188E-10	18.242100
8.66680E-10	17.905400
9.10213E-10	17.561300
1.00400E-09	16.916000
1.07685E-09	16.479200
1.10745E-09	16.300400
1.22155E-09	15.720800
1.34742E-09	15.164400
1.37607E-09	15.054100
1.48625E-09	14.641300
1.63939E-09	14.142800
1.80831E-09	13.664600
1.99463E-09	13.218200
2.20016E-09	12.790700
2.42685E-09	12.380900
2.47845E-09	12.299800
2.67691E-09	11.996300
2.95273E-09	11.630600
3.25697E-09	11.280600
3.59256E-09	10.945300
3.96272E-09	10.632800
4.37103E-09	10.334300
4.82141E-09	10.048900
5.31819E-09	9.775930
5.66440E-09	9.610860
5.86616E-09	9.517130
6.47059E-09	9.274280
7.13730E-09	9.042460
7.87271E-09	8.821040
8.68389E-09	8.609370
9.57865E-09	8.406860
1.02737E-08	8.270350
1.05656E-08	8.214480
1.16543E-08	8.034360
1.28551E-08	7.862620
1.41796E-08	7.698900
1.56406E-08	7.542780
1.72522E-08	7.393740
1.90298E-08	7.251300
2.09906E-08	7.115120
2.31534E-08	6.984950
2.39793E-08	6.941500
2.52419E-08	6.876240
2.53000E-08	6.873430
2.79068E-08	6.757590
3.07823E-08	6.647220
3.39540E-08	6.542160
3.74525E-08	6.442170
4.13115E-08	6.346730
4.55681E-08	6.255520
5.02633E-08	6.168500
5.54423E-08	6.085520
6.11549E-08	6.006380
6.74561E-08	5.931010
7.44066E-08	5.859240
8.20732E-08	5.790410
9.05297E-08	5.724510
9.98577E-08	5.661530
1.10147E-07	5.601300
1.19806E-07	5.552250
1.21496E-07	5.543890
1.34014E-07	5.490320
1.47823E-07	5.439460
1.64204E-07	5.387340
1.81123E-07	5.340810
1.99786E-07	5.296370
2.20371E-07	5.253900
2.43077E-07	5.213290
2.68123E-07	5.174430
2.95750E-07	5.137360
3.28508E-07	5.099360
3.62357E-07	5.065230
3.99693E-07	5.032480
4.40876E-07	5.001000
4.86303E-07	4.970720
5.36410E-07	4.941550
5.91680E-07	4.913410
6.48105E-07	4.888320
7.09876E-07	4.863770
7.77573E-07	4.839900
8.51684E-07	4.816650
9.39439E-07	4.792240
1.02903E-06	4.770110
1.12710E-06	4.748410
1.23459E-06	4.727120
1.37134E-06	4.702930
1.50211E-06	4.682170
1.63384E-06	4.663140
1.77711E-06	4.644170
1.94649E-06	4.623610
2.13211E-06	4.603050
2.33533E-06	4.582320
2.55803E-06	4.561370
2.76286E-06	4.543540
2.96333E-06	4.526910
3.15624E-06	4.511810
3.20077E-06	4.508640
3.45707E-06	4.491550
3.73407E-06	4.474110
4.03306E-06	4.456260
4.38673E-06	4.436280
4.77141E-06	4.415670
5.18982E-06	4.394330
5.64492E-06	4.372110
6.13994E-06	4.348940
6.58545E-06	4.328880
7.06329E-06	4.307870
7.62924E-06	4.283720
8.18281E-06	4.260690
8.77655E-06	4.236550
9.41338E-06	4.211170
1.02389E-05	4.178930
1.06036E-05	4.164980
1.11367E-05	4.144970
1.21982E-05	4.105910
1.31755E-05	4.070500
1.42305E-05	4.032760
1.54784E-05	3.988660
1.68358E-05	3.941220
1.81848E-05	3.894570
1.95042E-05	3.849260
2.09195E-05	3.801000
2.19702E-05	3.765390
2.24374E-05	3.747910
2.40654E-05	3.687320
2.51419E-05	3.647400
2.69662E-05	3.580110
2.88728E-05	3.510070
2.89229E-05	3.508020
3.08057E-05	3.431540
3.28095E-05	3.350490
3.46406E-05	3.276730
3.47006E-05	3.274040
3.67007E-05	3.184990
3.90899E-05	3.079080
3.95708E-05	3.057880
4.13430E-05	2.971500
4.34196E-05	2.870820
4.36481E-05	2.859780
4.49684E-05	2.790200
4.68986E-05	2.688990
4.71454E-05	2.676130
4.89117E-05	2.575400
5.05663E-05	2.481610
5.06539E-05	2.476200
5.20933E-05	2.387810
5.34808E-05	2.303200
5.39515E-05	2.272170
5.58732E-05	2.146470
5.61672E-05	2.127410
5.74608E-05	2.036920
5.85781E-05	1.959360
5.86825E-05	1.951560
6.03500E-05	1.828060
6.10925E-05	1.773620
6.16302E-05	1.731420
6.29405E-05	1.629670
6.32717E-05	1.604270
6.42756E-05	1.522500
6.50696E-05	1.458570
6.51824E-05	1.449010
6.61020E-05	1.371930
6.69186E-05	1.304300
6.70346E-05	1.294240
6.79803E-05	1.213320
6.88201E-05	1.142590
6.89394E-05	1.132160
6.99120E-05	1.048670
7.06518E-05	0.986331
7.10235E-05	0.955619
7.13985E-05	0.924349
7.21522E-05	0.862864
7.29130E-05	0.802398
7.32966E-05	0.772835
7.36845E-05	0.743927
7.42015E-05	0.706852
7.44632E-05	0.688854
7.48551E-05	0.663210
7.52493E-05	0.638770
7.54459E-05	0.627342
7.59111E-05	0.602060
7.60427E-05	0.595352
7.62435E-05	0.585878
7.65514E-05	0.572446
7.65791E-05	0.571332
7.68227E-05	0.562416
7.70940E-05	0.553469
7.71156E-05	0.552834
7.73110E-05	0.547836
7.75121E-05	0.543377
7.76423E-05	0.540923
7.76797E-05	0.540381
7.78473E-05	0.538489
7.79813E-05	0.537382
7.81154E-05	0.536658
7.81690E-05	0.536512
7.82226E-05	0.536617
7.83165E-05	0.537019
7.84170E-05	0.537687
7.85176E-05	0.538609
7.85980E-05	0.539539
7.86516E-05	0.540278
7.86818E-05	0.540861
7.87488E-05	0.542296
7.88159E-05	0.543860
7.88795E-05	0.545468
7.89466E-05	0.547293
7.90002E-05	0.548853
7.90538E-05	0.550503
7.91007E-05	0.552023
7.91510E-05	0.553732
7.91912E-05	0.555160
7.92147E-05	0.556024
7.92314E-05	0.556759
7.92666E-05	0.558347
7.93002E-05	0.559900
7.93337E-05	0.561493
7.93672E-05	0.563126
7.93990E-05	0.564715
7.94225E-05	0.565910
7.94459E-05	0.567125
7.94694E-05	0.568361
7.94895E-05	0.569437
7.95096E-05	0.570528
7.95297E-05	0.571635
7.95498E-05	0.572757
7.95666E-05	0.573705
7.95834E-05	0.574663
7.96001E-05	0.575633
7.96169E-05	0.576614
7.96320E-05	0.577506
7.96470E-05	0.578407
7.96621E-05	0.579318
7.96772E-05	0.580238
7.96906E-05	0.581063
7.97040E-05	0.581896
7.97174E-05	0.582737
7.97308E-05	0.583584
7.97434E-05	0.584386
7.97560E-05	0.585194
7.97685E-05	0.586009
7.97811E-05	0.586831
7.97937E-05	0.587659
7.98046E-05	0.588383
7.98062E-05	0.588507
7.98188E-05	0.589446
7.98251E-05	0.589917
7.98356E-05	0.590707
7.98481E-05	0.591661
7.98607E-05	0.592622
7.98733E-05	0.593590
7.98858E-05	0.594566
7.98984E-05	0.595547
7.99118E-05	0.596603
7.99252E-05	0.597666
7.99386E-05	0.598737
7.99520E-05	0.599817
7.99654E-05	0.600905
7.99788E-05	0.602001
7.99922E-05	0.603105
8.00057E-05	0.604218
8.00224E-05	0.605620
8.00392E-05	0.607036
8.00559E-05	0.608464
8.00727E-05	0.609906
8.00894E-05	0.611362
8.01062E-05	0.612831
8.01230E-05	0.614313
8.01397E-05	0.615810
8.01598E-05	0.617623
8.01799E-05	0.619457
8.02001E-05	0.621310
8.02202E-05	0.623184
8.02436E-05	0.625396
8.02671E-05	0.627636
8.02905E-05	0.629904
8.03140E-05	0.632206
8.03224E-05	0.633087
8.03475E-05	0.635768
8.03810E-05	0.639394
8.04146E-05	0.643080
8.04481E-05	0.646828
8.04782E-05	0.650254
8.05184E-05	0.654900
8.05587E-05	0.659639
8.05989E-05	0.664470
8.06441E-05	0.670019
8.06894E-05	0.675692
8.06910E-05	0.675914
8.07380E-05	0.682269
8.07849E-05	0.688760
8.08368E-05	0.696107
8.08905E-05	0.703873
8.09441E-05	0.711828
8.09977E-05	0.719974
8.10614E-05	0.729902
8.11184E-05	0.739046
8.11284E-05	0.740744
8.11955E-05	0.752383
8.12625E-05	0.764354
8.13396E-05	0.778542
8.14200E-05	0.793842
8.15005E-05	0.809664
8.15206E-05	0.813754
8.15809E-05	0.826594
8.16714E-05	0.846520
8.17652E-05	0.867956
8.18591E-05	0.890209
8.19496E-05	0.912488
8.19529E-05	0.913350
8.20367E-05	0.935655
8.21272E-05	0.960564
8.22177E-05	0.986351
8.23082E-05	1.013040
8.23786E-05	1.034540
8.23987E-05	1.040920
8.24925E-05	1.071760
8.25931E-05	1.106000
8.26936E-05	1.141560
8.27807E-05	1.173570
8.27942E-05	1.178670
8.28947E-05	1.218380
8.29952E-05	1.259580
8.31159E-05	1.311060
8.31829E-05	1.340980
8.32366E-05	1.365730
8.33572E-05	1.423910
8.34779E-05	1.484690
8.35851E-05	1.541160
8.35985E-05	1.548460
8.37192E-05	1.617030
8.38398E-05	1.688640
8.39605E-05	1.763470
8.39873E-05	1.780850
8.40812E-05	1.843620
8.42018E-05	1.927900
8.43292E-05	2.020960
8.43895E-05	2.067280
8.44699E-05	2.130940
8.46107E-05	2.248180
8.47515E-05	2.371620
8.47917E-05	2.408780
8.48922E-05	2.503980
8.50330E-05	2.644330
