MeV	"TL-205(N,TOT)"
2.22802E-05	4.59946
2.35644E-05	4.59379
2.50984E-05	4.58776
2.67310E-05	4.5821
2.86706E-05	4.5762
3.09678E-05	4.57006
3.34475E-05	4.56423
3.51293E-05	4.56083
3.71541E-05	4.55709
3.98500E-05	4.55275
4.18516E-05	4.54995
4.42639E-05	4.54694
4.48860E-05	4.54625
4.68152E-05	4.54331
4.91691E-05	4.54003
5.20031E-05	4.53638
5.57765E-05	4.532
5.89913E-05	4.52862
6.23915E-05	4.52534
6.59876E-05	4.52215
6.88201E-05	4.5198
7.38137E-05	4.51616
7.80682E-05	4.51331
8.31463E-05	4.51016
8.85590E-05	4.50704
9.36634E-05	4.50431
9.83681E-05	4.50194
1.06250E-04	4.49845
1.13161E-04	4.49558
1.20528E-04	4.49269
1.29273E-04	4.48946
1.37682E-04	4.48651
1.44605E-04	4.48417
1.59505E-04	4.47968
1.72276E-04	4.47601
1.86080E-04	4.47219
2.03816E-04	4.46747
2.17084E-04	4.46406
2.34466E-04	4.45969
2.60449E-04	4.45362
2.81304E-04	4.44886
3.08131E-04	4.44284
3.35151E-04	4.43688
3.67075E-04	4.42993
3.67095E-04	4.42993
3.93731E-04	4.42346
4.09510E-04	4.41965
4.31279E-04	4.43352
4.77442E-04	4.46304
5.26636E-04	4.4946
5.76859E-04	4.52691
6.27444E-04	4.55963
6.32234E-04	4.56274
6.92094E-04	4.6036
7.78955E-04	4.66299
7.79599E-04	4.66338
8.46703E-04	4.70399
9.34990E-04	4.75747
9.54823E-04	4.76951
9.79081E-04	4.78428
1.73700E-03	5.3433
1.76151E-03	5.36145
2.28980E-03	5.85001
2.54670E-03	6.2148
2.69586E-03	6.6839
2.70061E-03	6.69894
2.71249E-03	6.73661
2.78208E-03	6.98624
2.78610E-03	7.00069
2.79593E-03	7.09808
2.85334E-03	7.66731
2.85520E-03	7.68583
2.85898E-03	7.74771
2.88360E-03	8.15166
2.90235E-03	8.57845
2.90614E-03	8.67493
2.90860E-03	8.73771
2.91052E-03	8.82132
2.91886E-03	9.18434
2.96366E-03	11.2059
2.96474E-03	11.2547
2.96582E-03	11.3152
2.96690E-03	11.376
2.96752E-03	11.4234
2.96937E-03	11.5661
2.97062E-03	11.6631
2.97994E-03	12.455
2.98180E-03	12.6382
2.98488E-03	13.0056
3.00393E-03	15.4818
3.00486E-03	15.603
3.00640E-03	15.8466
3.00773E-03	16.057
3.00839E-03	16.1831
3.01303E-03	17.067
3.01435E-03	17.3198
3.01502E-03	17.4743
3.01634E-03	17.7839
3.01767E-03	18.1779
3.01833E-03	18.3752
3.01965E-03	18.837
3.03821E-03	25.3061
3.08614E-03	42.0267
3.08743E-03	42.4751
3.08807E-03	42.6347
3.08871E-03	42.7934
3.08936E-03	42.8577
3.09000E-03	42.921
3.09136E-03	42.7941
3.09272E-03	42.4598
3.15671E-03	20.8457
3.15830E-03	20.3665
3.15910E-03	20.1272
3.15975E-03	19.9753
3.16169E-03	19.5205
3.17721E-03	16.438
3.17915E-03	16.1046
3.17980E-03	15.9937
3.18050E-03	15.9056
3.18190E-03	15.73
3.18260E-03	15.6632
3.22608E-03	11.5284
3.22752E-03	11.3923
3.22822E-03	11.3427
3.22964E-03	11.2422
3.23037E-03	11.1905
3.23177E-03	11.1232
3.24179E-03	10.6419
3.24750E-03	10.3871
3.28057E-03	9.44592
3.28959E-03	9.20268
3.29160E-03	9.14857
3.29378E-03	9.12107
3.34687E-03	8.45375
3.35349E-03	8.3759
3.35570E-03	8.35001
3.35866E-03	8.33444
3.39880E-03	8.12402
3.42956E-03	8.0636
3.43840E-03	8.04627
3.44446E-03	8.05806
3.50720E-03	8.18046
3.52750E-03	8.22008
3.57727E-03	8.71513
3.60093E-03	8.95057
3.62312E-03	9.18755
3.62460E-03	9.2034
3.62620E-03	9.24974
3.65017E-03	9.94578
3.68312E-03	10.9223
3.68773E-03	11.0724
3.69050E-03	11.1627
3.69330E-03	11.3172
3.70280E-03	11.8421
3.71510E-03	12.563
3.72773E-03	13.5788
3.73250E-03	13.9829
3.73404E-03	14.1132
3.73530E-03	14.2517
3.73695E-03	14.4327
3.73859E-03	14.6525
3.82737E-03	26.5083
3.82934E-03	26.6682
3.83000E-03	26.6866
3.83169E-03	26.6433
3.83507E-03	26.3306
3.94035E-03	14.8999
3.94263E-03	14.6925
3.94339E-03	14.6234
3.94491E-03	14.528
3.94796E-03	14.3374
3.95708E-03	13.8229
3.98142E-03	12.4509
3.98446E-03	12.2887
3.98750E-03	12.1266
3.99014E-03	12.0341
4.00125E-03	11.6449
4.01500E-03	11.1946
4.08102E-03	9.96845
4.08603E-03	9.88002
4.08821E-03	9.84143
4.08894E-03	9.82859
4.09040E-03	9.80298
4.09179E-03	9.7879
4.09317E-03	9.77291
4.09456E-03	9.75801
4.09543E-03	9.74878
4.09595E-03	9.74332
4.09630E-03	9.73973
4.09664E-03	9.73622
4.09690E-03	9.73365
4.09716E-03	9.73116
4.09734E-03	9.72957
4.09742E-03	9.72955
4.09760E-03	9.72958
4.09777E-03	9.72969
4.09794E-03	9.72991
4.09812E-03	9.73024
4.09825E-03	9.73059
4.09838E-03	9.73104
4.09851E-03	9.7316
4.09864E-03	9.73229
4.09873E-03	9.73284
4.09877E-03	9.7344
4.09890E-03	9.73925
4.09903E-03	9.74428
4.09916E-03	9.74952
4.09929E-03	9.755
4.09938E-03	9.75879
4.09946E-03	9.76271
4.09955E-03	9.76676
4.09964E-03	9.77096
4.09972E-03	9.7753
4.09981E-03	9.77981
4.09990E-03	9.78449
4.09998E-03	9.78935
4.10007E-03	9.7944
4.10011E-03	9.79703
4.10016E-03	9.80245
4.10024E-03	9.81349
4.10033E-03	9.82475
4.10042E-03	9.83625
4.10055E-03	9.85395
4.10068E-03	9.87221
4.10081E-03	9.89107
4.10094E-03	9.91056
4.10107E-03	9.93068
4.10115E-03	9.94454
4.10120E-03	9.95448
4.10133E-03	9.98498
4.10146E-03	10.0161
4.10159E-03	10.0482
4.10172E-03	10.0809
4.10189E-03	10.1256
4.10191E-03	10.1305
4.10207E-03	10.1801
4.10229E-03	10.2507
4.10255E-03	10.337
4.10320E-03	10.5531
4.10350E-03	10.6511
4.10356E-03	10.671
4.10370E-03	10.7081
4.10392E-03	10.7666
4.10410E-03	10.8101
4.10418E-03	10.8292
4.10430E-03	10.8466
4.10450E-03	10.8729
4.10465E-03	10.8904
4.10480E-03	10.9057
4.10485E-03	10.9076
4.10490E-03	10.9088
4.10500E-03	10.9065
4.10515E-03	10.9011
4.10530E-03	10.8934
4.10535E-03	10.8862
4.10555E-03	10.8543
4.10575E-03	10.8191
4.10590E-03	10.7908
4.10595E-03	10.7807
4.10610E-03	10.7378
4.10633E-03	10.6707
4.10655E-03	10.6013
4.10660E-03	10.5855
4.10685E-03	10.4988
4.10753E-03	10.2618
4.10775E-03	10.1839
4.10798E-03	10.1051
4.10814E-03	10.0508
4.10822E-03	10.0241
4.10831E-03	10.0034
4.10847E-03	9.96296
4.10859E-03	9.93331
4.10871E-03	9.90424
4.10883E-03	9.87576
4.10896E-03	9.84787
4.10908E-03	9.82054
4.10920E-03	9.79378
4.10932E-03	9.77626
4.10944E-03	9.75926
4.10957E-03	9.74276
4.10969E-03	9.72675
4.10981E-03	9.71118
4.10993E-03	9.69603
4.11005E-03	9.68129
4.11017E-03	9.66691
4.11030E-03	9.65896
4.11042E-03	9.65132
