E(MeV)	"ENDF/B-VII.1: H-1(N,TOT)"
1.45618E-04	20.4283
1.58387E-04	20.4266
1.73492E-04	20.4245
1.90027E-04	20.4222
2.06691E-04	20.42
2.26402E-04	20.4173
2.46256E-04	20.4147
2.67850E-04	20.4119
2.91338E-04	20.4088
3.14667E-04	20.4058
3.44675E-04	20.4019
3.77526E-04	20.3976
4.10632E-04	20.3934
4.49791E-04	20.3883
4.92661E-04	20.3829
5.35863E-04	20.3773
5.78799E-04	20.3719
6.42909E-04	20.3637
6.94423E-04	20.3572
7.50027E-04	20.3502
8.33143E-04	20.3396
9.06203E-04	20.3304
9.85669E-04	20.3204
1.07210E-03	20.3095
1.15795E-03	20.2987
1.27726E-03	20.2836
1.36994E-03	20.272
1.50058E-03	20.2555
1.66679E-03	20.2346
1.80035E-03	20.2179
1.95822E-03	20.198
2.12994E-03	20.1765
2.30049E-03	20.1551
2.55543E-03	20.1231
2.79898E-03	20.0925
3.02326E-03	20.0644
3.24262E-03	20.0368
3.50227E-03	20.0043
3.86313E-03	19.959
4.26118E-03	19.9091
4.66754E-03	19.8581
5.11240E-03	19.8024
5.63917E-03	19.7363
6.30797E-03	19.6525
6.90953E-03	19.5771
7.51543E-03	19.5011
8.23173E-03	19.4114
8.82902E-03	19.3365
9.40378E-03	19.2645
9.73874E-03	19.2225
1.00155E-02	19.1919
1.50354E-02	18.6364
1.83791E-02	18.2665
1.99908E-02	18.1151
2.46658E-02	17.676
3.99937E-02	16.3112
4.08441E-02	16.2355
6.00000E-02	14.8782
6.08465E-02	14.8183
8.00000E-02	13.7165
8.11287E-02	13.6516
1.00000E-01	12.7504
1.00705E-01	12.7167
1.50000E-01	10.9346
1.51058E-01	10.8964
2.00000E-01	9.64358
3.00000E-01	7.9523
4.00000E-01	6.87663
5.00000E-01	6.1256
6.04114E-01	5.54902
7.04768E-01	5.11534
8.00000E-01	4.78482
8.05643E-01	4.76523
9.06349E-01	4.47593
9.25574E-01	4.42939
1.00705E+00	4.23218
1.08769E+00	4.07414
1.20846E+00	3.83742
1.40988E+00	3.52942
1.48069E+00	3.44156
1.61129E+00	3.27955
1.68045E+00	3.2079
1.81270E+00	3.07089
