E(MeV)	Sr-87
2.82161E-06	3.52715E+01
2.83251E-06	3.60867E+01
2.85243E-06	3.77066E+01
2.87248E-06	3.94874E+01
2.89267E-06	4.14515E+01
2.91300E-06	4.36247E+01
2.92211E-06	4.46978E+01
2.93348E-06	4.60325E+01
2.95410E-06	4.87122E+01
2.97486E-06	5.17111E+01
2.99578E-06	5.50819E+01
3.00514E-06	5.67499E+01
3.01153E-06	5.78851E+01
3.02744E-06	6.09742E+01
3.04334E-06	6.43629E+01
3.05940E-06	6.81277E+01
3.06904E-06	7.06249E+01
3.07553E-06	7.23025E+01
3.09165E-06	7.69250E+01
3.10801E-06	8.21434E+01
3.12437E-06	8.79778E+01
3.13110E-06	9.06655E+01
3.13989E-06	9.41688E+01
3.15375E-06	1.00317E+02
3.16761E-06	1.07142E+02
3.17736E-06	1.12409E+02
3.18765E-06	1.18418E+02
3.19279E-06	1.21686E+02
3.19793E-06	1.24951E+02
3.20821E-06	1.32066E+02
3.21849E-06	1.39837E+02
3.22877E-06	1.48341E+02
3.23905E-06	1.57668E+02
3.24933E-06	1.67922E+02
3.25961E-06	1.79220E+02
3.26989E-06	1.91697E+02
3.28017E-06	2.05506E+02
3.29046E-06	2.20820E+02
3.29560E-06	2.29215E+02
3.29817E-06	2.33415E+02
3.30588E-06	2.47063E+02
3.31359E-06	2.61859E+02
3.31616E-06	2.67210E+02
3.32130E-06	2.77918E+02
3.32901E-06	2.95348E+02
3.33672E-06	3.14266E+02
3.34546E-06	3.37734E+02
3.34597E-06	3.39116E+02
3.35522E-06	3.66507E+02
3.35857E-06	3.77384E+02
3.36448E-06	3.96642E+02
3.37167E-06	4.22348E+02
3.37373E-06	4.29698E+02
3.38041E-06	4.55596E+02
3.38144E-06	4.59583E+02
3.38915E-06	4.91642E+02
3.39789E-06	5.30853E+02
3.39943E-06	5.37778E+02
3.40663E-06	5.72674E+02
3.40971E-06	5.87641E+02
3.41434E-06	6.11583E+02
3.41999E-06	6.40866E+02
3.42205E-06	6.52146E+02
3.42976E-06	6.94478E+02
3.43542E-06	7.25544E+02
3.43747E-06	7.37111E+02
3.44518E-06	7.80520E+02
3.45212E-06	8.19616E+02
3.45983E-06	8.63089E+02
3.46086E-06	8.68550E+02
3.46960E-06	9.15013E+02
3.47140E-06	9.24586E+02
3.47834E-06	9.57846E+02
3.48296E-06	9.80039E+02
3.49196E-06	1.01717E+03
3.49299E-06	1.02072E+03
3.49967E-06	1.04378E+03
3.50738E-06	1.06484E+03
3.51509E-06	1.07979E+03
3.52280E-06	1.08822E+03
3.52671E-06	1.08965E+03
3.52794E-06	1.09010E+03
3.53555E-06	1.08731E+03
3.54008E-06	1.08185E+03
3.54285E-06	1.07849E+03
3.54851E-06	1.06705E+03
3.55056E-06	1.06287E+03
3.55827E-06	1.04123E+03
3.55879E-06	1.03942E+03
3.56598E-06	1.01412E+03
3.56907E-06	1.00111E+03
3.57626E-06	9.70714E+02
3.57909E-06	9.57002E+02
3.58629E-06	9.22046E+02
3.58912E-06	9.06896E+02
3.60094E-06	8.43452E+02
3.61122E-06	7.85781E+02
3.61636E-06	7.56922E+02
3.63075E-06	6.76044E+02
3.63178E-06	6.70540E+02
3.64103E-06	6.20948E+02
3.64720E-06	5.89661E+02
3.65131E-06	5.68785E+02
3.66160E-06	5.20076E+02
3.66776E-06	4.93110E+02
3.67188E-06	4.75121E+02
3.67959E-06	4.43917E+02
3.68730E-06	4.14857E+02
3.69501E-06	3.87882E+02
3.70272E-06	3.62908E+02
3.71043E-06	3.39829E+02
3.71814E-06	3.18533E+02
3.72585E-06	2.98898E+02
3.72945E-06	2.90454E+02
3.73356E-06	2.80810E+02
3.74127E-06	2.64148E+02
3.74898E-06	2.48792E+02
3.75669E-06	2.34632E+02
3.76029E-06	2.28534E+02
3.76440E-06	2.21574E+02
3.77212E-06	2.09522E+02
3.77983E-06	1.98382E+02
3.79011E-06	1.84807E+02
3.79113E-06	1.83580E+02
3.80039E-06	1.72557E+02
3.81067E-06	1.61465E+02
3.82095E-06	1.51397E+02
3.82198E-06	1.50481E+02
3.83123E-06	1.42250E+02
3.84151E-06	1.33910E+02
3.84254E-06	1.33148E+02
3.85179E-06	1.26302E+02
3.86207E-06	1.19335E+02
3.87235E-06	1.12941E+02
3.88263E-06	1.07060E+02
3.88366E-06	1.06518E+02
3.89292E-06	1.01653E+02
3.90320E-06	9.66622E+01
3.91399E-06	9.18235E+01
3.92479E-06	8.73636E+01
3.92530E-06	8.71519E+01
3.93661E-06	8.28592E+01
3.94792E-06	7.88946E+01
3.96055E-06	7.48161E+01
3.97449E-06	7.06931E+01
3.98016E-06	6.91616E+01
3.98843E-06	6.69344E+01
4.00238E-06	6.34976E+01
4.01642E-06	6.03209E+01
4.03056E-06	5.73795E+01
4.03376E-06	5.67659E+01
4.04470E-06	5.46779E+01
4.05885E-06	5.21865E+01
4.07309E-06	4.98662E+01
4.08743E-06	4.77019E+01
4.09067E-06	4.72554E+01
4.10894E-06	4.47565E+01
4.13055E-06	4.21043E+01
4.15236E-06	3.96950E+01
4.17418E-06	3.75197E+01
4.17765E-06	3.72064E+01
4.19620E-06	3.55425E+01
4.21832E-06	3.37419E+01
4.24044E-06	3.21034E+01
4.26288E-06	3.05877E+01
4.26626E-06	3.03786E+01
4.28531E-06	2.92111E+01
4.30785E-06	2.79456E+01
4.33060E-06	2.67731E+01
4.35335E-06	2.56946E+01
4.37632E-06	2.46910E+01
4.38749E-06	2.42459E+01
4.40708E-06	2.34734E+01
4.43806E-06	2.23722E+01
4.46926E-06	2.13696E+01
4.50067E-06	2.04542E+01
4.53231E-06	1.96160E+01
4.54399E-06	1.93338E+01
4.56417E-06	1.88528E+01
4.59625E-06	1.81547E+01
4.62856E-06	1.75118E+01
4.66110E-06	1.69184E+01
4.69386E-06	1.63695E+01
4.72686E-06	1.58603E+01
4.73904E-06	1.56866E+01
4.76008E-06	1.53916E+01
4.79354E-06	1.49582E+01
4.82724E-06	1.45543E+01
4.86117E-06	1.41774E+01
4.89534E-06	1.38256E+01
4.94696E-06	1.33408E+01
4.99931E-06	1.28989E+01
5.01219E-06	1.28006E+01
5.05214E-06	1.25031E+01
5.10547E-06	1.21443E+01
5.15931E-06	1.18162E+01
5.21390E-06	1.15141E+01
5.26900E-06	1.12366E+01
5.32462E-06	1.09808E+01
5.37588E-06	1.07652E+01
5.38077E-06	1.07452E+01
5.43770E-06	1.05326E+01
5.49517E-06	1.03358E+01
5.55318E-06	1.01533E+01
5.61173E-06	9.98365E+00
5.67111E-06	9.82498E+00
5.73105E-06	9.67695E+00
5.79155E-06	9.53857E+00
5.85262E-06	9.40896E+00
5.88825E-06	9.33948E+00
5.93519E-06	9.25202E+00
6.01892E-06	9.11066E+00
6.10384E-06	8.98043E+00
6.18995E-06	8.86011E+00
6.27728E-06	8.74866E+00
6.36584E-06	8.64526E+00
6.45565E-06	8.54920E+00
6.54673E-06	8.45926E+00
6.63909E-06	8.37496E+00
6.67952E-06	8.34082E+00
6.73276E-06	8.29890E+00
6.82774E-06	8.22993E+00
6.92407E-06	8.16530E+00
7.02176E-06	8.10460E+00
7.12082E-06	8.04747E+00
7.22128E-06	7.99360E+00
7.32316E-06	7.94269E+00
7.42648E-06	7.89449E+00
7.53125E-06	7.84876E+00
7.69138E-06	7.78425E+00
7.85453E-06	7.72434E+00
7.95810E-06	7.68952E+00
8.02153E-06	7.67038E+00
8.19168E-06	7.62366E+00
8.36585E-06	7.57996E+00
8.54331E-06	7.53912E+00
8.72495E-06	7.50064E+00
8.91002E-06	7.46455E+00
9.09947E-06	7.43019E+00
9.29248E-06	7.39756E+00
9.49006E-06	7.36638E+00
9.69136E-06	7.33660E+00
9.89741E-06	7.30795E+00
1.00982E-05	7.28161E+00
1.01074E-05	7.28058E+00
1.03223E-05	7.25811E+00
1.05412E-05	7.23659E+00
1.07653E-05	7.21583E+00
1.10712E-05	7.18928E+00
1.13858E-05	7.16382E+00
1.17094E-05	7.13929E+00
1.20421E-05	7.11555E+00
1.23843E-05	7.09246E+00
1.27362E-05	7.07002E+00
1.30981E-05	7.04789E+00
1.34703E-05	7.02612E+00
1.38398E-05	7.00547E+00
1.39501E-05	7.00052E+00
1.44477E-05	6.97945E+00
1.49623E-05	6.95878E+00
1.54960E-05	6.93834E+00
1.60479E-05	6.91808E+00
1.66204E-05	6.89789E+00
1.72124E-05	6.87772E+00
1.78263E-05	6.85746E+00
1.84613E-05	6.83710E+00
1.91198E-05	6.81653E+00
1.98008E-05	6.79578E+00
2.00619E-05	6.78798E+00
2.05071E-05	6.77773E+00
2.13874E-05	6.75800E+00
2.23054E-05	6.73799E+00
2.32629E-05	6.71764E+00
2.42614E-05	6.69688E+00
2.53028E-05	6.67569E+00
2.63890E-05	6.65401E+00
2.73289E-05	6.63557E+00
2.83037E-05	6.61678E+00
2.91080E-05	6.60154E+00
2.92852E-05	6.59825E+00
2.99351E-05	6.58874E+00
3.05701E-05	6.57974E+00
3.11415E-05	6.57197E+00
3.12817E-05	6.57013E+00
3.16127E-05	6.56591E+00
3.19468E-05	6.56191E+00
3.21706E-05	6.55942E+00
3.23975E-05	6.55712E+00
3.26244E-05	6.55512E+00
3.27970E-05	6.55387E+00
3.29696E-05	6.55293E+00
3.30847E-05	6.55253E+00
3.32014E-05	6.55235E+00
3.33181E-05	6.55247E+00
3.34348E-05	6.55296E+00
3.35223E-05	6.55364E+00
3.36106E-05	6.55465E+00
3.36994E-05	6.55609E+00
3.37585E-05	6.55734E+00
3.38177E-05	6.55887E+00
3.38769E-05	6.56072E+00
3.39361E-05	6.56296E+00
3.39952E-05	6.56566E+00
3.40438E-05	6.56830E+00
3.41007E-05	6.57197E+00
3.41386E-05	6.57484E+00
3.41766E-05	6.57809E+00
3.42145E-05	6.58179E+00
3.42524E-05	6.58603E+00
3.42904E-05	6.59089E+00
3.43283E-05	6.59650E+00
3.43574E-05	6.60139E+00
3.43865E-05	6.60688E+00
3.44156E-05	6.61308E+00
3.44446E-05	6.62010E+00
3.44737E-05	6.62811E+00
3.44955E-05	6.63487E+00
3.45173E-05	6.64239E+00
3.45391E-05	6.65079E+00
3.45610E-05	6.66023E+00
3.45817E-05	6.67035E+00
3.46025E-05	6.68178E+00
3.46181E-05	6.69138E+00
3.46337E-05	6.70200E+00
3.46492E-05	6.71380E+00
3.46648E-05	6.72699E+00
3.46804E-05	6.74181E+00
3.46960E-05	6.75854E+00
3.47116E-05	6.77755E+00
3.47220E-05	6.79170E+00
3.47341E-05	6.80993E+00
3.47445E-05	6.82722E+00
3.47548E-05	6.84625E+00
3.47652E-05	6.86725E+00
3.47756E-05	6.89046E+00
3.47860E-05	6.91615E+00
3.47964E-05	6.94464E+00
3.48068E-05	6.97625E+00
3.48172E-05	7.01136E+00
3.48275E-05	7.05038E+00
3.48379E-05	7.09374E+00
3.48462E-05	7.13188E+00
3.48546E-05	7.17337E+00
3.48629E-05	7.21847E+00
3.48712E-05	7.26747E+00
3.48795E-05	7.32067E+00
3.48878E-05	7.37837E+00
3.48961E-05	7.44088E+00
3.49044E-05	7.50852E+00
3.49127E-05	7.58159E+00
