E(MeV)	pendfb7/Kr80:1
1.00000E-11	626.005976
1.02999E-11	616.839102
1.06087E-11	607.809693
1.09269E-11	598.908742
1.12544E-11	590.143979
1.15920E-11	581.502969
1.19395E-11	572.993411
1.22976E-11	564.604395
1.26662E-11	556.343018
1.30462E-11	548.197617
1.34372E-11	540.178264
1.38403E-11	532.270771
1.42552E-11	524.485038
1.46827E-11	516.809154
1.51229E-11	509.249635
1.55765E-11	501.796571
1.60434E-11	494.458759
1.65246E-11	487.223682
1.70199E-11	480.099493
1.75304E-11	473.076171
1.80559E-11	466.159303
1.85975E-11	459.340579
1.91550E-11	452.626017
1.97295E-11	446.006592
2.03209E-11	439.487818
2.09305E-11	433.060898
2.15579E-11	426.733237
2.22045E-11	420.494281
2.28701E-11	414.351135
2.35561E-11	408.294215
2.42622E-11	402.330702
2.49899E-11	396.451113
2.57390E-11	390.661441
2.65110E-11	384.953821
2.73057E-11	379.333162
2.81247E-11	373.792434
2.89678E-11	368.335973
2.98367E-11	362.956834
3.07311E-11	357.66027
3.16528E-11	352.438668
3.26017E-11	347.296729
3.35795E-11	342.227795
3.45861E-11	337.236299
3.56235E-11	332.315507
3.66913E-11	327.470192
3.77919E-11	322.693332
3.89247E-11	317.989878
4.00923E-11	313.352745
4.12941E-11	308.787074
4.25327E-11	304.285713
4.38076E-11	299.853741
4.51216E-11	295.484369
4.64742E-11	291.182072
4.78681E-11	286.940809
4.93030E-11	282.764491
5.07818E-11	278.648529
5.09962E-11	278.075801
5.23041E-11	274.595269
5.27475E-11	273.462805
5.38729E-11	270.599328
5.45589E-11	268.924209
5.54878E-11	266.664468
5.64325E-11	264.458965
5.71521E-11	262.785247
5.83705E-11	260.065643
5.88653E-11	258.965286
6.03751E-11	255.743344
6.06310E-11	255.199255
6.24484E-11	251.491088
6.43215E-11	247.83724
6.45930E-11	247.328945
6.62496E-11	244.239232
6.68112E-11	243.234056
6.82368E-11	240.692049
6.91056E-11	239.205319
7.02822E-11	237.199387
7.14788E-11	235.241734
7.23903E-11	233.756039
7.39335E-11	231.342284
7.45603E-11	230.365504
7.64725E-11	227.505949
7.67967E-11	227.022906
7.90987E-11	223.731712
8.14712E-11	220.488837
8.18151E-11	220.037723
8.39134E-11	217.295621
8.46248E-11	216.403487
8.64304E-11	214.147623
8.75309E-11	212.828202
8.90212E-11	211.048074
9.05369E-11	209.310761
9.16913E-11	207.992449
9.36460E-11	205.850474
9.44399E-11	204.983699
9.68620E-11	202.446224
9.72725E-11	202.01773
1.00188E-10	199.097283
1.03193E-10	196.220297
1.03629E-10	195.819704
1.06287E-10	193.386669
1.07188E-10	192.595176
1.09475E-10	190.593581
1.10869E-10	189.422799
1.12756E-10	187.843786
1.14676E-10	186.302564
1.16139E-10	185.132486
1.18614E-10	183.233013
1.19620E-10	182.463758
1.22688E-10	180.212676
1.23208E-10	179.832507
1.26901E-10	177.242067
1.30707E-10	174.689971
1.31259E-10	174.334838
1.34626E-10	172.17669
1.35767E-10	171.474791
1.38664E-10	169.699194
1.40429E-10	168.661333
1.42820E-10	167.260512
1.45252E-10	165.893493
1.47104E-10	164.856247
1.50240E-10	163.170918
1.51513E-10	162.489244
1.55399E-10	160.493232
1.56058E-10	160.155952
1.60736E-10	157.858734
1.65557E-10	155.595605
1.66256E-10	155.280773
1.70520E-10	153.36726
1.71965E-10	152.745107
1.75635E-10	151.170712
1.77871E-10	150.250362
1.80899E-10	149.008492
1.83979E-10	147.796809
1.86325E-10	146.877187
1.90298E-10	145.383062
1.91911E-10	144.778602
1.96833E-10	143.009012
1.97667E-10	142.710217
2.03592E-10	140.673933
2.09699E-10	138.6678
2.10584E-10	138.388892
2.15985E-10	136.69288
2.17816E-10	136.141266
2.22463E-10	134.746279
2.25296E-10	133.930506
2.29132E-10	132.82982
2.33033E-10	131.755992
2.36004E-10	130.941202
2.42057E-10	129.348957
2.43079E-10	129.081163
2.50370E-10	127.24863
2.51427E-10	126.993784
2.57875E-10	125.445332
2.61163E-10	124.687918
2.65610E-10	123.667534
2.71272E-10	122.421441
2.73572E-10	121.91721
2.81777E-10	120.191801
2.90224E-10	118.494723
2.92684E-10	118.020645
2.98929E-10	116.821827
3.04018E-10	115.884882
3.07890E-10	115.174729
3.15786E-10	113.785702
3.17125E-10	113.551038
3.26631E-10	111.953413
3.28015E-10	111.730306
3.36428E-10	110.379326
3.40712E-10	109.719572
3.46513E-10	108.82958
3.53906E-10	107.741735
3.56906E-10	107.301945
3.67605E-10	105.797924
3.78631E-10	104.316956
3.81840E-10	103.903615
3.89981E-10	102.858933
3.96620E-10	102.041894
4.01678E-10	101.421718
4.11980E-10	100.210511
4.13719E-10	100.006796
4.26128E-10	98.6128353
4.27926E-10	98.4191433
4.38901E-10	97.2414595
4.46374E-10	96.4725631
4.52066E-10	95.8892601
4.65617E-10	94.5576737
4.79583E-10	93.2470569
4.85690E-10	92.697516
4.93959E-10	91.9563763
5.06628E-10	90.8676708
5.08775E-10	90.6838811
5.24026E-10	89.4322005
5.28468E-10	89.0826566
5.39744E-10	88.1988177
5.51250E-10	87.3341175
5.55923E-10	86.9842704
5.72598E-10	85.7875205
5.75015E-10	85.6211995
5.89762E-10	84.6103326
5.99803E-10	83.9504882
6.07452E-10	83.4497233
6.25661E-10	82.3069191
6.44427E-10	81.1822484
6.55399E-10	80.5518638
6.63744E-10	80.0743461
6.83653E-10	78.9823651
6.86539E-10	78.8306113
7.04146E-10	77.9085414
7.19170E-10	77.154362
7.25267E-10	76.849499
7.47007E-10	75.8075415
7.53340E-10	75.5165976
7.69413E-10	74.781086
7.89147E-10	73.9154998
7.92477E-10	73.7699885
8.16247E-10	72.7745372
8.26641E-10	72.357312
8.40715E-10	71.7946003
8.65932E-10	70.8283141
8.69587E-10	70.6940724
8.91889E-10	69.8783263
9.14764E-10	69.0764435
9.18641E-10	68.9410678
9.46178E-10	68.0196318
9.62287E-10	67.5030344
9.74558E-10	67.1110505
1.00377E-09	66.2167876
1.01228E-09	65.9671656
1.03388E-09	65.3360819
1.06487E-09	64.4683469
1.06938E-09	64.3472504
1.09681E-09	63.6143462
