E(MeV)	Lu-175
9.74558E-10	123.991366
1.00377E-09	122.260915
1.00803E-09	122.019708
1.03388E-09	120.555953
1.06487E-09	118.876724
1.08759E-09	117.698599
1.09681E-09	117.221086
1.12969E-09	115.591629
1.16357E-09	113.984544
1.17839E-09	113.312059
1.19845E-09	112.402528
1.23440E-09	110.843104
1.27140E-09	109.306954
1.27679E-09	109.092894
1.30954E-09	107.793471
1.34879E-09	106.302922
1.38925E-09	104.832879
1.43089E-09	103.386542
1.47381E-09	101.960167
1.51799E-09	100.555109
1.56352E-09	99.171092
1.61039E-09	97.8078464
1.65869E-09	96.4633885
1.66569E-09	96.2769113
1.70841E-09	95.1404292
1.75966E-09	93.835982
1.81240E-09	92.5510852
1.83551E-09	92.012388
1.86677E-09	91.2847804
1.92272E-09	90.0381584
1.98039E-09	88.8087472
2.03119E-09	87.7726691
2.03976E-09	87.5979954
2.10094E-09	86.405213
2.16392E-09	85.2303435
2.22882E-09	84.0717205
2.25720E-09	83.5869522
2.29563E-09	82.9312904
2.36449E-09	81.8072356
2.43537E-09	80.7000867
2.50842E-09	79.6082674
2.52968E-09	79.3041431
2.58361E-09	78.533771
2.66110E-09	77.4745459
2.74087E-09	76.4312778
2.82308E-09	75.4024543
2.84701E-09	75.1158876
2.90771E-09	74.3899829
2.99492E-09	73.3919141
3.08470E-09	72.408878
3.17722E-09	71.4394813
3.23132E-09	70.897167
3.27246E-09	70.4851725
3.37062E-09	69.5447718
3.47166E-09	68.6185631
3.57579E-09	67.7052188
3.68297E-09	66.8056454
3.69858E-09	66.6802927
3.79344E-09	65.91948
3.90715E-09	65.046851
4.02435E-09	64.1863697
4.14498E-09	63.3388758
4.26931E-09	62.5031686
4.39728E-09	61.6810666
4.52918E-09	60.8704294
4.66494E-09	60.0720489
4.80487E-09	59.2847913
4.94890E-09	58.5094273
4.99085E-09	58.2933422
5.09734E-09	57.7455161
5.25013E-09	56.9934311
5.40761E-09	56.2518377
5.56971E-09	55.5214673
5.73677E-09	54.8012714
5.90873E-09	54.0919617
6.08596E-09	53.3933795
6.26840E-09	52.7053767
6.45641E-09	52.0269712
6.64995E-09	51.3588311
6.84941E-09	50.6999981
7.05473E-09	50.0511244
7.11453E-09	49.8702919
7.26633E-09	49.4118379
7.48415E-09	48.7824542
7.70863E-09	48.1618587
7.93970E-09	47.5506658
8.17785E-09	46.9480058
8.42299E-09	46.3544707
8.67563E-09	45.7692234
8.71225E-09	45.6880677
8.93569E-09	45.1934412
9.20371E-09	44.6258266
9.47961E-09	44.06684
9.76394E-09	43.5157439
1.00566E-08	42.9729716
1.03583E-08	42.4378056
1.06688E-08	41.910773
1.09424E-08	41.4664358
1.09888E-08	41.3912107
1.13182E-08	40.8800856
1.16577E-08	40.3761373
1.20071E-08	39.8798608
1.23672E-08	39.3905421
1.27380E-08	38.9086615
1.31200E-08	38.4335273
1.35133E-08	37.9656038
1.39186E-08	37.5042238
1.41556E-08	37.246142
1.43359E-08	37.050077
1.47659E-08	36.6026082
1.52085E-08	36.161949
1.56647E-08	35.7274735
1.61342E-08	35.2996137
1.66182E-08	34.8777615
1.71163E-08	34.462336
1.76297E-08	34.0527462
1.81582E-08	33.6493984
1.87028E-08	33.2517182
1.90212E-08	33.0292859
1.92635E-08	32.8602889
1.98412E-08	32.4746258
2.04360E-08	32.094862
2.10490E-08	31.7204569
2.16799E-08	31.3517789
2.23302E-08	30.9883021
2.29996E-08	30.6303823
2.36894E-08	30.2775057
2.43996E-08	29.9300154
2.52687E-08	29.5247874
2.53000E-08	29.5106117
2.60589E-08	29.1745318
2.68400E-08	28.8435911
2.76450E-08	28.517321
2.84737E-08	28.1960485
2.93278E-08	27.8793223
3.02069E-08	27.5674609
3.11130E-08	27.2600246
3.20456E-08	26.9573177
3.30068E-08	26.6589065
3.39962E-08	26.3650772
3.50159E-08	26.0754006
3.60655E-08	25.7901509
3.71473E-08	25.5089129
3.79392E-08	25.3119501
3.82608E-08	25.2320563
3.94084E-08	24.9593389
4.05898E-08	24.6907991
4.18072E-08	24.4260608
4.30604E-08	24.1653911
4.43520E-08	23.9084226
4.56815E-08	23.6554109
4.70517E-08	23.4059964
4.84621E-08	23.1604251
4.99157E-08	22.9183471
5.14120E-08	22.6800012
5.29541E-08	22.4450476
5.45414E-08	22.213718
5.61773E-08	21.9856835
5.78613E-08	21.7611716
5.95968E-08	21.5398669
6.13833E-08	21.3219953
6.32245E-08	21.107254
6.51197E-08	20.8961188
6.70729E-08	20.688026
6.90835E-08	20.4831609
7.11556E-08	20.2812092
7.32886E-08	20.0823579
7.54868E-08	19.886326
7.77496E-08	19.6933187
8.00817E-08	19.5030729
8.24822E-08	19.3157846
8.49562E-08	19.1311902
8.75029E-08	18.9494732
9.01274E-08	18.7703748
9.28291E-08	18.5940717
9.56135E-08	18.4203131
9.84796E-08	18.2492703
1.01433E-07	18.0806998
1.04474E-07	17.9147679
1.07608E-07	17.7512386
1.10833E-07	17.5902736
1.14158E-07	17.4316443
1.17580E-07	17.27551
1.21106E-07	17.1216568
1.24737E-07	16.970253
1.27398E-07	16.8641506
1.28478E-07	16.8211382
1.32329E-07	16.6745127
1.36298E-07	16.530024
1.40384E-07	16.3877804
1.44595E-07	16.2475814
1.48929E-07	16.1095897
1.53396E-07	15.9736269
1.57995E-07	15.8398348
1.62733E-07	15.7080249
1.67612E-07	15.5783287
1.72639E-07	15.4505624
1.77814E-07	15.3248534
1.83147E-07	15.2010238
1.88637E-07	15.0791974
1.94296E-07	14.9592021
2.00120E-07	14.8411582
2.06122E-07	14.7248993
2.12301E-07	14.6105422
2.18669E-07	14.4979261
2.25224E-07	14.3871647
2.31979E-07	14.2781026
2.38933E-07	14.1708508
2.46100E-07	14.0652631
2.53477E-07	13.9614663
2.61080E-07	13.8593478
2.68906E-07	13.7589901
2.78140E-07	13.6462179
2.86483E-07	13.549196
2.95071E-07	13.4538267
3.03921E-07	13.3599966
3.13031E-07	13.2678064
3.22421E-07	13.1771308
3.32085E-07	13.0880659
3.42046E-07	13.0004918
3.53793E-07	12.9023136
3.65942E-07	12.8061216
3.78509E-07	12.711902
3.91508E-07	12.619643
4.04953E-07	12.5293346
4.18860E-07	12.4409693
4.33244E-07	12.3545416
4.48122E-07	12.2700489
4.63512E-07	12.1874913
4.79429E-07	12.1068717
4.95894E-07	12.0281971
5.10759E-07	11.9609907
5.26079E-07	11.8953156
5.37294E-07	11.8499171
5.44145E-07	11.8220478
5.62832E-07	11.7504387
5.79703E-07	11.6894237
5.97091E-07	11.6299406
6.14990E-07	11.5720883
6.33436E-07	11.5158273
6.52424E-07	11.4612608
6.71993E-07	11.4083635
6.92136E-07	11.3572458
7.12897E-07	11.3078997
7.34266E-07	11.260446
7.56290E-07	11.2148974
7.59482E-07	11.2087714
7.78961E-07	11.1709283
8.02325E-07	11.1289461
8.26376E-07	11.0891805
8.51163E-07	11.051702
8.76677E-07	11.0166913
9.02972E-07	10.9842616
9.30040E-07	10.9546301
9.45875E-07	10.9394949
9.57936E-07	10.9276436
9.82504E-07	10.9066926
1.00770E-06	10.8882614
1.02623E-06	10.8766655
1.06375E-06	10.858244
1.08626E-06	10.850441
1.10006E-06	10.8471762
1.10919E-06	10.8447265
1.13256E-06	10.8411065
1.15636E-06	10.8402007
1.18083E-06	10.8422513
1.20576E-06	10.8475222
1.23116E-06	10.856288
1.24692E-06	10.8639448
1.25703E-06	10.8684773
1.28363E-06	10.8843809
1.31074E-06	10.9049219
1.33835E-06	10.930578
1.36647E-06	10.961899
1.37433E-06	10.9722331
1.39539E-06	10.9989581
1.41494E-06	11.0273104
1.43476E-06	11.0591385
1.45486E-06	11.0947518
1.47524E-06	11.1344827
1.49398E-06	11.1745863
1.49591E-06	11.1786136
1.51687E-06	11.2266252
1.53812E-06	11.280041
1.55967E-06	11.3393993
1.58152E-06	11.4053357
1.60177E-06	11.4722236
1.60368E-06	11.4784273
1.62045E-06	11.5373581
1.63754E-06	11.6017259
1.65463E-06	11.6707604
1.67203E-06	11.7462216
1.68960E-06	11.8279998
1.69343E-06	11.8471602
1.70717E-06	11.914903
1.72523E-06	12.0107947
1.74330E-06	12.1141274
1.76153E-06	12.2265729
1.76544E-06	12.2525912
1.78010E-06	12.3490377
1.79868E-06	12.4812087
1.81124E-06	12.5767593
1.82397E-06	12.6791418
1.83670E-06	12.7874193
1.84086E-06	12.8248987
1.84943E-06	12.9012204
1.86234E-06	13.0230868
1.87543E-06	13.1541568
1.88852E-06	13.2933334
1.89281E-06	13.3417207
1.90162E-06	13.4404202
1.91489E-06	13.5987628
1.92835E-06	13.7699294
1.94181E-06	13.9526618
1.94622E-06	14.0165517
1.95527E-06	14.1468691
1.96546E-06	14.3024938
1.97584E-06	14.4695648
1.98622E-06	14.6458448
1.99660E-06	14.8319725
2.00113E-06	14.9177717
2.00698E-06	15.0278727
2.01736E-06	15.2344798
2.02804E-06	15.4595771
2.03871E-06	15.6984903
2.04328E-06	15.8072703
2.04938E-06	15.9514163
2.06006E-06	16.2197676
2.07073E-06	16.5055237
2.08160E-06	16.8160657
2.08622E-06	16.9554823
2.08892E-06	17.0363879
2.09623E-06	17.2660836
2.10355E-06	17.5066235
2.11087E-06	17.7586798
2.11818E-06	18.0229734
2.12550E-06	18.3002797
2.12863E-06	18.4250808
2.13282E-06	18.5906288
2.14034E-06	18.9039359
2.14786E-06	19.233891
2.15538E-06	19.5816476
2.15789E-06	19.7038185
2.16291E-06	19.947478
2.17043E-06	20.3332484
2.17795E-06	20.7409509
2.18547E-06	21.1722259
2.18812E-06	21.3328434
2.19300E-06	21.6277842
2.19958E-06	22.0486701
2.20617E-06	22.4919857
2.21276E-06	22.9593172
2.21385E-06	23.0409076
2.21935E-06	23.451166
2.22594E-06	23.9704224
2.23253E-06	24.5194112
2.23509E-06	24.745126
2.23912E-06	25.0994902
2.24571E-06	25.7134976
2.25236E-06	26.3715303
2.25458E-06	26.604587
2.25902E-06	27.0696139
2.26345E-06	27.559178
2.26789E-06	28.0696558
2.27233E-06	28.6022328
2.27676E-06	29.1569776
2.28120E-06	29.7364593
2.28564E-06	30.342149
2.29007E-06	30.9756259
2.29451E-06	31.6371896
2.29895E-06	32.3300775
2.30338E-06	33.0562755
2.30782E-06	33.8179253
2.31226E-06	34.6157009
2.31669E-06	35.4537606
2.32113E-06	36.3348364
2.32557E-06	37.2618915
2.33000E-06	38.2362065
2.33444E-06	39.2632405
2.33888E-06	40.3468357
2.34332E-06	41.4911847
2.34775E-06	42.6988862
2.35108E-06	43.6505579
2.35441E-06	44.6441179
2.35663E-06	45.3360702
2.35773E-06	45.6815519
2.36106E-06	46.7650232
2.36439E-06	47.8984006
2.36772E-06	49.0847711
2.36994E-06	49.91324
2.37105E-06	50.3269094
2.37437E-06	51.6278557
2.37770E-06	52.9926575
2.38103E-06	54.4255385
2.38325E-06	55.4292437
2.38436E-06	55.9304927
2.38768E-06	57.5118885
2.39123E-06	59.2904467
2.39478E-06	61.1707427
2.39744E-06	62.6509941
2.40011E-06	64.1965176
2.40277E-06	65.8112147
2.40543E-06	67.4992582
2.40809E-06	69.2636004
2.41075E-06	71.1106552
2.41342E-06	73.0456809
2.41608E-06	75.0743295
2.41830E-06	76.8394934
2.42052E-06	78.6777395
2.42273E-06	80.5931463
2.42495E-06	82.5900788
2.42717E-06	84.6719324
2.42939E-06	86.8449981
2.43161E-06	89.1146513
2.43383E-06	91.486652
2.43604E-06	93.9658864
2.43826E-06	96.5603434
2.44048E-06	99.2771928
2.44270E-06	102.124152
2.44492E-06	105.108202
2.44714E-06	108.239631
2.44935E-06	111.528096
2.45157E-06	114.983993
2.45379E-06	118.617367
2.45601E-06	122.441539
2.45823E-06	126.469578
2.46045E-06	130.715581
2.46266E-06	135.193842
2.46488E-06	139.921645
2.46655E-06	143.641835
2.46821E-06	147.520171
2.46987E-06	151.565091
2.47154E-06	155.7854
2.47320E-06	160.190429
2.47487E-06	164.789922
2.47653E-06	169.5942
2.47819E-06	174.614079
2.47986E-06	179.860927
2.48152E-06	185.346548
2.48263E-06	189.171085
2.48318E-06	191.083808
2.48485E-06	197.086069
2.48651E-06	203.365903
2.48818E-06	209.937259
2.48929E-06	214.522119
2.48984E-06	216.815154
2.49150E-06	224.015056
2.49317E-06	231.551144
2.49372E-06	234.180396
2.49483E-06	239.440436
2.49649E-06	247.698229
2.49816E-06	256.340013
2.49982E-06	265.384753
2.50149E-06	274.846215
2.50315E-06	284.743605
2.50481E-06	295.09026
2.50659E-06	306.643185
2.50748E-06	312.693614
2.50836E-06	318.745514
2.50969E-06	328.247756
2.51014E-06	331.415893
2.51191E-06	344.67104
2.51369E-06	358.527776
2.51457E-06	365.761783
2.51546E-06	372.998135
2.51724E-06	388.093624
2.51901E-06	403.825444
2.52068E-06	419.157832
2.52123E-06	424.456446
2.52234E-06	435.057223
2.52345E-06	446.033799
2.52400E-06	451.523721
2.52511E-06	462.877566
2.52567E-06	468.555835
2.52678E-06	480.282529
2.52733E-06	486.147513
2.52866E-06	500.659654
2.52899E-06	504.288719
2.53021E-06	518.048899
2.53121E-06	529.309963
2.53177E-06	535.79184
2.53332E-06	553.945592
2.53343E-06	555.242677
2.53521E-06	576.673031
2.53565E-06	582.032159
2.53687E-06	597.196774
2.53787E-06	609.60762
2.53853E-06	618.134256
2.54020E-06	639.456949
2.54120E-06	652.254062
2.54186E-06	661.024824
2.54352E-06	682.95798
2.54452E-06	696.121844
2.54519E-06	705.063901
2.54685E-06	727.425937
2.54852E-06	749.794437
2.55018E-06	772.169541
2.55184E-06	794.551219
2.55375E-06	820.223646
2.55451E-06	830.376331
2.55566E-06	845.515995
2.55757E-06	870.562719
2.55806E-06	876.971801
2.55947E-06	894.976521
2.56072E-06	910.735114
2.56125E-06	917.203331
2.56338E-06	943.084835
2.56391E-06	949.197203
2.56604E-06	973.656063
2.56657E-06	979.419126
2.56782E-06	992.871245
2.56924E-06	1007.39799
2.56959E-06	1011.03078
2.57137E-06	1028.03577
2.57190E-06	1032.7608
2.57314E-06	1043.79037
2.57491E-06	1058.20175
2.57669E-06	1071.18408
2.57846E-06	1082.6609
2.58024E-06	1092.56368
2.58201E-06	1100.83309
2.58255E-06	1102.82053
2.58371E-06	1107.15794
2.58532E-06	1111.72381
2.58610E-06	1113.21433
2.58694E-06	1114.83921
2.58886E-06	1116.36872
2.58936E-06	1116.76131
2.59133E-06	1115.87901
2.59202E-06	1114.80706
2.59328E-06	1112.84871
2.59493E-06	1108.53666
2.59515E-06	1107.97906
2.59692E-06	1101.5746
2.59728E-06	1099.95917
2.59870E-06	1093.48893
2.59994E-06	1086.69285
2.60047E-06	1083.77649
2.60225E-06	1072.49565
2.60260E-06	1069.94152
2.60402E-06	1059.71562
2.60464E-06	1054.74753
2.60579E-06	1045.51382
2.60695E-06	1035.4173
2.60757E-06	1029.97639
2.60926E-06	1014.03348
2.60934E-06	1013.1938
2.61112E-06	995.258587
2.61156E-06	990.455059
2.61357E-06	968.705343
2.61378E-06	966.420702
2.61613E-06	939.170433
2.61644E-06	935.568846
2.61869E-06	908.075827
2.61911E-06	903.06167
2.62126E-06	875.739395
2.62177E-06	869.257169
2.62382E-06	842.405651
2.62514E-06	825.124373
2.62638E-06	808.562032
2.62860E-06	778.972773
2.63193E-06	734.566734
2.63481E-06	696.060961
2.63526E-06	690.265332
2.63814E-06	652.576566
2.63858E-06	646.941384
2.64147E-06	610.29375
2.64369E-06	582.952569
2.64413E-06	577.639582
2.64590E-06	556.37691
2.64812E-06	530.641646
2.64857E-06	525.673794
2.65034E-06	505.795772
2.65256E-06	481.88426
2.65300E-06	477.294679
2.65478E-06	458.931726
2.65644E-06	442.359666
2.65810E-06	426.343321
2.65966E-06	411.965551
2.66010E-06	407.85717
2.66188E-06	392.09243
2.66365E-06	376.951416
2.66543E-06	362.425393
2.66720E-06	348.503411
2.66897E-06	335.172534
2.67075E-06	322.418157
2.67252E-06	310.224294
2.67397E-06	300.717739
2.67452E-06	297.205758
2.67563E-06	290.184034
2.67729E-06	280.100975
2.67896E-06	270.452004
2.68062E-06	261.221239
2.68095E-06	259.455585
2.68228E-06	252.395738
2.68395E-06	243.957293
2.68561E-06	235.889442
2.68728E-06	228.176501
2.68761E-06	226.701855
2.68894E-06	220.806486
2.69060E-06	213.761795
2.69227E-06	207.026889
2.69393E-06	200.58749
2.69426E-06	199.355937
2.69560E-06	194.433218
2.69726E-06	188.548078
2.69892E-06	182.918393
2.70059E-06	177.531738
2.70092E-06	176.500662
2.70225E-06	172.379563
2.70391E-06	167.447963
2.70558E-06	162.72529
2.70724E-06	158.201137
2.70757E-06	157.334053
2.70891E-06	153.868739
2.71112E-06	148.370424
2.71334E-06	143.169746
2.71423E-06	141.200693
2.71556E-06	138.249903
2.71778E-06	133.591669
2.72000E-06	129.176149
2.72088E-06	127.500709
2.72222E-06	124.990821
2.72443E-06	121.019889
2.72665E-06	117.247526
2.72887E-06	113.66103
2.73109E-06	110.248667
2.73198E-06	108.949023
2.73331E-06	107.002715
2.73553E-06	103.911993
2.73774E-06	100.964991
2.73996E-06	98.1529914
2.74085E-06	97.0789616
2.74218E-06	95.4702774
2.74440E-06	92.9085464
2.74662E-06	90.4591987
2.74884E-06	88.1157443
2.74972E-06	87.2183058
2.75106E-06	85.8740709
2.75327E-06	83.7278981
2.75549E-06	81.6706837
2.75771E-06	79.6975323
2.76104E-06	76.8894866
2.76425E-06	74.3318018
2.76570E-06	73.2485545
2.76742E-06	71.9589508
2.77058E-06	69.7152676
2.77374E-06	67.5899781
2.77546E-06	66.4940011
2.77690E-06	65.5765975
2.78006E-06	63.6678648
2.78322E-06	61.8546767
2.78638E-06	60.1306487
2.78877E-06	58.89293
2.78954E-06	58.4908738
2.79271E-06	56.9318961
2.79587E-06	55.4459177
2.79919E-06	53.9555641
2.80208E-06	52.7253981
2.80252E-06	52.5367007
2.80585E-06	51.1878908
2.80918E-06	49.9013474
2.81250E-06	48.673233
2.81583E-06	47.5000058
2.82027E-06	46.0154532
2.82426E-06	44.7555658
2.82471E-06	44.6160683
2.82914E-06	43.2993741
2.83358E-06	42.0550961
2.83802E-06	40.8779337
2.84201E-06	39.8745607
2.84245E-06	39.7634144
2.84689E-06	38.7098892
2.85133E-06	37.710263
2.85576E-06	36.7608632
2.85976E-06	35.9485852
2.86020E-06	35.8586092
2.86464E-06	35.0026381
2.86907E-06	34.1876213
2.87351E-06	33.4109489
2.87750E-06	32.744294
2.87795E-06	32.6704484
2.88238E-06	31.9657245
2.88682E-06	31.2926827
2.89126E-06	30.6494252
2.89525E-06	30.10172
2.89791E-06	29.737947
2.90412E-06	28.9413007
2.90945E-06	28.2954596
2.91477E-06	27.6813739
2.92143E-06	26.9625169
2.92365E-06	26.7239595
2.93074E-06	26.0141534
2.93784E-06	25.3477144
2.94494E-06	24.7211451
2.94672E-06	24.5736838
2.95204E-06	24.1335571
2.95914E-06	23.5806063
2.96580E-06	23.0907044
2.97245E-06	22.6264094
2.97911E-06	22.1859694
2.98044E-06	22.1023317
2.98576E-06	21.7698181
2.99463E-06	21.2477186
3.00351E-06	20.759417
3.01238E-06	20.3020869
3.01593E-06	20.1305281
3.02125E-06	19.8747825
3.03013E-06	19.4746889
3.03795E-06	19.1421347
3.04577E-06	18.8270011
3.05142E-06	18.6126411
3.05619E-06	18.4331045
3.06662E-06	18.067009
3.07705E-06	17.7250554
3.08747E-06	17.405252
3.09448E-06	17.2041788
3.09790E-06	17.1066576
3.10833E-06	16.8285494
3.11903E-06	16.5610439
3.13001E-06	16.3040952
3.14099E-06	16.0635026
3.15198E-06	15.8380284
3.15593E-06	15.7618541
3.16296E-06	15.627939
3.17394E-06	15.4316257
3.19041E-06	15.1595647
3.20704E-06	14.9097832
3.21115E-06	14.8536493
3.22398E-06	14.6805593
3.24091E-06	14.4730378
3.25785E-06	14.2845156
3.27479E-06	14.1132567
3.29173E-06	13.9577932
3.30176E-06	13.8744384
3.30914E-06	13.814034
3.32656E-06	13.6857143
3.34397E-06	13.5704589
3.36139E-06	13.4673129
3.38461E-06	13.3471833
3.39492E-06	13.3020731
3.40848E-06	13.2439638
3.43236E-06	13.1594768
3.45623E-06	13.0915088
3.48011E-06	13.038986
3.51285E-06	12.9905138
3.53763E-06	12.9710061
3.56241E-06	12.9656239
3.58719E-06	12.9738591
3.61197E-06	12.9954471
3.63745E-06	13.0315285
3.66293E-06	13.0817298
3.68841E-06	13.1461158
3.71389E-06	13.2247724
3.74009E-06	13.3208207
3.74255E-06	13.3313647
3.76628E-06	13.4313747
3.79248E-06	13.5586477
3.81868E-06	13.7036759
3.84562E-06	13.8723783
3.84815E-06	13.8902422
3.87255E-06	14.059756
3.89949E-06	14.2697014
3.92643E-06	14.5044086
3.94720E-06	14.7037382
3.95673E-06	14.8031075
3.96798E-06	14.9187753
3.98875E-06	15.1511235
4.00952E-06	15.403661
4.03030E-06	15.6781505
4.04008E-06	15.818815
4.05146E-06	15.9804544
4.07282E-06	16.3115028
4.09418E-06	16.6732409
4.11554E-06	17.068997
4.12498E-06	17.2606462
4.13690E-06	17.5001993
4.15846E-06	17.9765201
4.17310E-06	18.3273493
4.18317E-06	18.5855384
4.18774E-06	18.7015265
4.20238E-06	19.1000114
4.21702E-06	19.5275212
4.23166E-06	19.9868372
4.24137E-06	20.3145179
4.24630E-06	20.479828
4.26095E-06	21.008883
4.27490E-06	21.5530401
4.28818E-06	22.1104919
4.28833E-06	22.1174945
4.30145E-06	22.7076578
4.31472E-06	23.3526955
4.32355E-06	23.8172445
4.32800E-06	24.0498326
4.34127E-06	24.8040938
4.35454E-06	25.6251567
4.35650E-06	25.7561428
