E(MeV)	pendfb7/Cs133:1
1.21886E-09	135.78432
1.23440E-09	134.939941
1.27140E-09	133.016378
1.30954E-09	131.119479
1.34879E-09	129.252476
1.38925E-09	127.411385
1.41290E-09	126.381386
1.43089E-09	125.598511
1.47381E-09	123.811545
1.51799E-09	122.051488
1.52442E-09	121.806229
1.56352E-09	120.316864
1.61039E-09	118.60861
1.65169E-09	117.1682
1.65869E-09	116.924238
1.70841E-09	115.266232
1.75966E-09	113.63129
1.79717E-09	112.486096
1.81240E-09	112.02132
1.86677E-09	110.434517
1.92272E-09	108.871701
1.96375E-09	107.77544
1.98039E-09	107.330895
2.03976E-09	105.814136
2.10094E-09	104.318489
2.15482E-09	103.058148
2.16392E-09	102.845557
2.22882E-09	101.393994
2.29563E-09	99.9643952
2.36449E-09	98.5546914
2.37447E-09	98.3591961
2.43537E-09	97.1671145
2.50842E-09	95.7990224
2.58361E-09	94.4516053
2.62760E-09	93.6974221
2.66110E-09	93.1233446
2.74087E-09	91.8157136
2.82308E-09	90.5263067
2.90771E-09	89.2564178
2.92003E-09	89.079461
2.99492E-09	88.0049708
3.08470E-09	86.772592
3.17722E-09	85.5574127
3.27246E-09	84.3606316
3.37062E-09	83.1813596
3.47166E-09	82.0199645
3.57579E-09	80.8747819
3.68297E-09	79.74695
3.79344E-09	78.635628
3.90715E-09	77.5411563
4.02435E-09	76.4619843
4.14498E-09	75.3991652
4.18012E-09	75.1029878
4.26931E-09	74.3517124
4.39728E-09	73.3203539
4.52918E-09	72.3034258
4.66494E-09	71.3019228
4.78459E-09	70.4575426
4.80487E-09	70.3145194
4.94890E-09	69.3426726
5.09734E-09	68.3844354
5.25013E-09	67.4407489
5.40761E-09	66.5102697
5.52289E-09	65.8585821
5.56971E-09	65.5940965
5.73677E-09	64.6911964
5.90873E-09	63.8020274
6.08596E-09	62.925317
6.26840E-09	62.0619291
6.45641E-09	61.2106334
6.64995E-09	60.3728559
6.84941E-09	59.5468286
7.05473E-09	58.73337
7.26633E-09	57.9313166
7.48415E-09	57.1414572
7.64383E-09	56.5874642
7.70863E-09	56.3628186
7.93970E-09	55.5964073
8.17785E-09	54.8407546
8.42299E-09	54.0966003
8.67563E-09	53.3628909
8.93569E-09	52.6403427
9.20371E-09	51.9279324
9.47961E-09	51.2268495
9.76394E-09	50.535621
1.00566E-08	49.8549282
1.03583E-08	49.1838022
1.06688E-08	48.5229061
1.09888E-08	47.871296
