E(MeV)	pendfb7/Gd157:1
8.407150E-10	1072474.84
8.659320E-10	1057170.53
8.881410E-10	1044281.33
8.918890E-10	1042106.18
9.186410E-10	1027260.18
9.461780E-10	1012647.4
9.501880E-10	1010612.63
9.745580E-10	998246.905
1.003771E-09	984072.796
1.020861E-09	976144.273
1.033879E-09	970104.971
1.064871E-09	956357.337
1.096811E-09	942809.941
1.129689E-09	929476.823
1.163573E-09	916338.385
1.183384E-09	908993.833
1.198452E-09	903407.761
1.234399E-09	890666.713
1.271402E-09	878127.429
1.282179E-09	874635.806
1.309537E-09	865772.293
1.348791E-09	853613.759
1.389247E-09	841634.154
1.430892E-09	829845.251
1.473810E-09	818230.531
1.511609E-09	808451.627
1.517989E-09	806801.099
1.563521E-09	795540.95
1.610389E-09	784461.302
1.651691E-09	775127.927
1.658691E-09	773546.104
1.708412E-09	762806.187
1.759655E-09	752226.299
1.812403E-09	741816.753
1.866765E-09	731562.876
1.922723E-09	721474.843
1.980394E-09	711537.946
1.997181E-09	708773.57
2.039758E-09	701762.372
2.100939E-09	692133.988
2.145728E-09	685397.764
2.163917E-09	682662.198
2.228823E-09	673333.653
2.295634E-09	664157.578
2.364490E-09	655120.704
2.384534E-09	652607.018
2.435368E-09	646232.126
2.508415E-09	637479.136
2.583608E-09	628870.172
2.661102E-09	620393.043
2.672333E-09	619219.266
2.740871E-09	612056.337
2.823082E-09	603847.865
2.907706E-09	595775.834
2.994921E-09	587828.65
3.007562E-09	586728.31
3.084697E-09	580014.198
3.097772E-09	578927.078
3.177221E-09	572321.298
3.204154E-09	570189.363
3.286332E-09	563684.402
3.314190E-09	561591.974
3.399190E-09	555207.582
3.413536E-09	554185.189
3.428004E-09	553154.121
3.515923E-09	546888.539
3.545728E-09	544873.299
3.636666E-09	538724.604
3.667494E-09	536747.113
3.761555E-09	530713.482
3.793441E-09	528773.16
3.890732E-09	522852.821
3.923714E-09	520948.999
4.024346E-09	515140.322
4.058461E-09	513272.512
4.162549E-09	507573.652
4.197835E-09	505741.31
4.305497E-09	500150.604
4.341995E-09	498353.143
4.453355E-09	492868.865
4.491106E-09	491105.771
4.548293E-09	488434.953
4.606290E-09	485726.356
4.645338E-09	483997.089
4.764478E-09	478720.894
4.804866E-09	477024.96
4.928097E-09	471850.359
4.969873E-09	470187.152
5.097336E-09	465112.531
5.140546E-09	463481.601
5.272387E-09	458505.36
5.317081E-09	456906.169
5.362154E-09	455293.417
5.453449E-09	452026.863
5.499678E-09	450458.932
5.640729E-09	445674.962
5.688546E-09	444137.749
5.834441E-09	439447.538
5.883899E-09	437940.588
6.034805E-09	433342.592
6.085962E-09	431865.359
6.242050E-09	427358.089
6.294964E-09	425910.085
6.456412E-09	421492.023
6.483662E-09	420785.389
6.511143E-09	420072.778
6.678135E-09	415742.504
6.734746E-09	414351.512
6.907473E-09	410107.425
6.966028E-09	408744.19
7.144687E-09	404584.779
7.205252E-09	403248.829
7.390047E-09	399172.597
7.452692E-09	397863.415
7.643833E-09	393868.87
7.708630E-09	392585.951
7.906334E-09	388671.598
7.973356E-09	387414.464
8.177850E-09	383578.762
8.247174E-09	382346.898
8.458691E-09	378588.314
8.530395E-09	377381.231
8.749176E-09	373698.216
8.823343E-09	372515.378
9.049637E-09	368906.371
9.126350E-09	367747.27
9.360415E-09	364210.647
9.439764E-09	363074.706
9.681867E-09	359608.819
9.805150E-09	357936.507
1.001436E-08	355098.637
1.018486E-08	352906.868
1.035827E-08	350677.783
1.057909E-08	347987.605
1.071399E-08	346344.194
1.098877E-08	343170.521
1.108192E-08	342094.643
1.131817E-08	339507.434
1.141411E-08	338456.698
1.146249E-08	337926.872
1.185613E-08	333838.167
1.231505E-08	329330.541
1.279196E-08	324913.328
1.312004E-08	322046.295
1.328710E-08	320586.277
1.380165E-08	316340.68
1.433587E-08	312175.839
1.439664E-08	311727.843
1.464175E-08	309920.651
1.489104E-08	308082.574
1.501727E-08	307201.434
1.546743E-08	304059.186
1.566466E-08	302754.249
1.606642E-08	300096.143
1.633996E-08	298378.18
1.668830E-08	296190.47
1.704437E-08	294064.566
1.733457E-08	292331.966
1.740773E-08	291917.076
1.777915E-08	289810.599
1.808185E-08	288093.837
1.854560E-08	285596.489
1.870281E-08	284749.888
1.886136E-08	283896.014
1.942675E-08	280996.79
1.967447E-08	279726.524
1.992499E-08	278502.436
2.035012E-08	276424.932
2.060924E-08	275158.649
2.113781E-08	272693.68
2.131700E-08	271857.943
2.158882E-08	270590.137
2.223597E-08	267697.528
2.242446E-08	266854.879
2.261455E-08	266005.086
2.339117E-08	262668.368
