E(MeV)	"HF-177(N,TOT)"	
8.08521E-07	589.382	
8.13092E-07	604.717	
8.16957E-07	619.029	
8.21596E-07	636.242	
8.25552E-07	652.283	
8.30259E-07	671.415	
8.34226E-07	689.102	
8.38922E-07	710.079	
8.40009E-07	715.427	
8.45873E-07	744.326	
8.47748E-07	753.58	
8.51819E-07	775.819	
8.56655E-07	802.282	
8.57765E-07	809.03	
8.63711E-07	845.245	
8.65562E-07	856.545	
8.69741E-07	885.029	
8.74721E-07	919.049	
8.75854E-07	927.75	
8.81968E-07	974.777	
8.83880E-07	989.516	
8.88082E-07	1025.34	
8.89986E-07	1041.6	
8.94282E-07	1081.56	
8.96264E-07	1100.04	
9.00568E-07	1143.89	
9.02542E-07	1164.05	
9.06854E-07	1212.32	
9.08820E-07	1234.37	
9.11569E-07	1268.28	
9.15098E-07	1311.88	
9.16284E-07	1328.06	
9.21131E-07	1394.35	
9.21553E-07	1400.13	
9.25979E-07	1467.44	
9.28008E-07	1498.37	
9.30827E-07	1546.22	
9.34463E-07	1608.11	
9.35674E-07	1630.82	
9.39305E-07	1699.09	
9.40522E-07	1724.06	
9.44237E-07	1800.48	
9.45461E-07	1828.05	
9.49215E-07	1912.86	
9.50445E-07	1943.4	
9.54193E-07	2036.71	
9.55430E-07	2070.65	
9.59171E-07	2173.63	
9.60414E-07	2211.47	
9.63737E-07	2312.87	
9.64149E-07	2325.48	
9.67060E-07	2424.31	
9.69174E-07	2496.27	
9.71635E-07	2589.74	
9.74293E-07	2691.03	
9.76004E-07	2762.73	
9.77705E-07	2834.24	
9.80373E-07	2955.52	
9.81117E-07	2989.45	
9.83286E-07	3096.55	
9.84530E-07	3158.12	
9.86199E-07	3247.81	
9.87942E-07	3341.72	
9.89112E-07	3410.26	
9.91354E-07	3542.01	
9.92024E-07	3584.93	
9.94767E-07	3761.05	
9.95870E-07	3837.93	
9.97629E-07	3960.77	
9.98434E-07	4021.46	
1.00049E-06	4176.78	
1.00100E-06	4218.17	
1.00335E-06	4410.75	
1.00356E-06	4429.24	
1.00613E-06	4656.64	
1.00622E-06	4664.57	
1.00869E-06	4902.99	
1.00908E-06	4940.4	
1.01125E-06	5168.49	
1.01194E-06	5240.51	
1.01371E-06	5442.71	
1.01480E-06	5567.49	
1.01606E-06	5724.27	
1.01766E-06	5924.16	
1.01841E-06	6026.28	
1.02076E-06	6347.93	
1.02087E-06	6362.59	
1.02311E-06	6701.45	
1.02407E-06	6847.02	
1.02546E-06	7078.64	
1.02728E-06	7382.24	
1.02781E-06	7480.61	
1.03016E-06	7914.39	
1.03048E-06	7973.71	
1.03326E-06	8539.49	
1.03369E-06	8626.8	
1.03615E-06	9178.47	
1.03689E-06	9346.85	
1.03903E-06	9874.22	
1.04010E-06	10138.6	
1.04191E-06	10629.7	
1.04330E-06	11006.2	
1.04480E-06	11447.1	
1.04651E-06	11952.3	
1.04758E-06	12293.5	
1.04971E-06	12977.6	
1.05014E-06	13122.7	
1.05185E-06	13704.7	
1.05356E-06	14321.2	
1.05552E-06	15031.8	
1.05698E-06	15589.9	
1.05920E-06	16445.1	
1.06040E-06	16930.2	
1.06471E-06	18683	
1.06578E-06	19122.5	
1.07339E-06	22253.9	
1.07475E-06	22782.6	
1.07680E-06	23574.1	
1.07834E-06	24119.5	
1.08022E-06	24784.1	
1.08193E-06	25314.8	
1.08364E-06	25843.4	
1.08433E-06	26018	
1.08706E-06	26712	
1.08774E-06	26847.9	
1.08962E-06	27218.4	
