E (MeV)	Na-23	
2.50000E-04	3.18443	
2.50745E-04	3.18463	
2.52884E-04	3.18522	
2.54645E-04	3.1857	
2.55973E-04	3.18606	
2.60000E-04	3.18716	
2.62420E-04	3.18782	
2.64555E-04	3.18841	
2.66438E-04	3.18892	
2.69815E-04	3.18984	
2.72131E-04	3.19048	
2.74077E-04	3.19101	
2.75546E-04	3.19141	
2.80000E-04	3.19263	
2.86720E-04	3.19446	
2.92456E-04	3.19603	
3.00000E-04	3.19809	
3.05837E-04	3.19996	
3.11037E-04	3.20162	
3.15660E-04	3.20309	
3.24037E-04	3.20577	
3.30248E-04	3.20775	
3.35079E-04	3.20929	
3.42458E-04	3.21165	
3.50000E-04	3.21406	
3.62284E-04	3.21747	
3.75000E-04	3.22101	
3.80000E-04	3.22239	
3.84968E-04	3.22378	
3.90000E-04	3.22517	
3.93750E-04	3.22622	
3.94375E-04	3.22639	
3.95000E-04	3.22656	
3.95622E-04	3.22674	
3.96166E-04	3.22689	
3.96643E-04	3.22702	
3.97480E-04	3.22725	
3.98109E-04	3.22743	
3.99290E-04	3.22775	
4.00000E-04	3.22795	
4.01712E-04	3.22852	
4.03147E-04	3.229	
4.04073E-04	3.2293	
4.04536E-04	3.22946	
4.05000E-04	3.22961	
4.05374E-04	3.22973	
4.05749E-04	3.22986	
4.06497E-04	3.23011	
4.09000E-04	3.23094	
4.09500E-04	3.2311	
4.10000E-04	3.23127	
4.10602E-04	3.23147	
4.12049E-04	3.23195	
4.12416E-04	3.23207	
4.12739E-04	3.23218	
4.13303E-04	3.23236	
4.13726E-04	3.2325	
4.14044E-04	3.23261	
4.14522E-04	3.23277	
4.15000E-04	3.23292	
4.15311E-04	3.23303	
4.15622E-04	3.23313	
4.16244E-04	3.23334	
4.18118E-04	3.23396	
4.19059E-04	3.23427	
4.20000E-04	3.23458	
4.20921E-04	3.23489	
4.34741E-04	3.23947	
4.50000E-04	3.24453	
4.62011E-04	3.24851	
4.78262E-04	3.2539	
4.89010E-04	3.25746	
5.00000E-04	3.26111	
5.05730E-04	3.26344	
5.16652E-04	3.2679	
5.21504E-04	3.26988	
5.30725E-04	3.27364	
5.42797E-04	3.27857	
5.55694E-04	3.28383	
5.64131E-04	3.28727	
5.72892E-04	3.29084	
5.87194E-04	3.29668	
6.00000E-04	3.3019	
6.11673E-04	3.30968	
6.22074E-04	3.31661	
6.32651E-04	3.32365	
6.48855E-04	3.33445	
6.66000E-04	3.34587	
6.80365E-04	3.35544	
7.00000E-04	3.36852	
7.04875E-04	3.37176	
7.23762E-04	3.38951	
7.49113E-04	3.41334	
7.70513E-04	3.43345	
7.80524E-04	3.44286	
8.00000E-04	3.46117	
8.09750E-04	3.47033	
8.48528E-04	3.51671	
9.00000E-04	3.57828	
9.44638E-04	3.63167	
9.89600E-04	3.70102	
1.00000E-03	3.72105	
1.04664E-03	3.81088	
1.12070E-03	3.95354	
1.13000E-03	3.97146	
1.20000E-03	4.15979	
1.24920E-03	4.29216	
1.30000E-03	4.47496	
1.34907E-03	4.65156	
1.36960E-03	4.72543	
1.40000E-03	4.86348	
1.43990E-03	5.04467	
1.44914E-03	5.09703	
1.50000E-03	5.38535	
1.51020E-03	5.44317	
1.56980E-03	5.83905	
1.60000E-03	6.08391	
1.62940E-03	6.32228	
1.65000E-03	6.53397	
1.68005E-03	6.84277	
1.70000E-03	7.08484	
1.73070E-03	7.45735	
1.78640E-03	8.30476	
1.80000E-03	8.55315	
1.84209E-03	9.32162	
1.85000E-03	9.49613	
1.89779E-03	10.5505	
1.90000E-03	10.6101	
1.95000E-03	11.9549	
1.95348E-03	12.0486	
1.96238E-03	12.3433	
1.98110E-03	12.963	
2.00000E-03	13.5887	
2.00918E-03	13.8925	
2.06487E-03	16.1868	
2.12057E-03	19.0727	
2.14842E-03	20.7977	
2.17627E-03	22.7567	
2.20411E-03	24.9866	
2.23196E-03	27.5357	
2.25000E-03	29.4315	
2.25981E-03	30.4623	
2.28766E-03	33.8379	
2.31005E-03	36.9846	
2.31550E-03	37.7503	
2.34335E-03	42.3083	
2.37120E-03	47.6466	
2.39905E-03	53.9325	
2.40315E-03	55.0292	
2.42689E-03	61.3745	
2.45474E-03	70.2333	
2.48259E-03	80.8308	
2.50000E-03	88.7903	
2.51044E-03	93.5624	
2.53829E-03	108.902	
2.56613E-03	127.398	
2.59398E-03	149.633	
2.62183E-03	176.121	
2.64535E-03	202.026	
2.66887E-03	231.054	
2.71592E-03	294.849	
2.73861E-03	324.715	
2.73944E-03	325.797	
2.76296E-03	352.197	
2.78648E-03	370.651	
2.81000E-03	378.54	
2.83352E-03	374.925	
2.85704E-03	360.877	
2.88056E-03	338.94	
2.95113E-03	255.989	
2.97465E-03	229.648	
2.99817E-03	205.662	
3.00000E-03	204.015	
3.02490E-03	181.606	
3.02583E-03	180.771	
3.05000E-03	162.042	
3.05348E-03	159.346	
3.08114E-03	141.063	
3.10000E-03	130.452	
3.10879E-03	125.508	
3.13645E-03	112.267	
3.15000E-03	106.728	
3.16410E-03	100.967	
3.17490E-03	97.1861	
3.19176E-03	91.2874	
3.20000E-03	88.8042	
3.21941E-03	82.9581	
3.24707E-03	75.7562	
3.24962E-03	75.1791	
3.27472E-03	69.4976	
3.30000E-03	64.5012	
3.30238E-03	64.0315	
3.33003E-03	59.2341	
3.35769E-03	55.0036	
3.38534E-03	51.2559	
3.40000E-03	49.4885	
3.41300E-03	47.9215	
3.44065E-03	44.9477	
3.49596E-03	39.8742	
3.50000E-03	39.5715	
3.55127E-03	35.7282	
3.60000E-03	32.7084	
3.60658E-03	32.3005	
3.66189E-03	29.4329	
3.70000E-03	27.7627	
3.71720E-03	27.0087	
3.77251E-03	24.9395	
3.82782E-03	23.1582	
3.84708E-03	22.6202	
3.88314E-03	21.6126	
3.93845E-03	20.2621	
3.99376E-03	19.0743	
4.00000E-03	18.9556	
4.04907E-03	18.0233	
4.14531E-03	16.4826	
4.15000E-03	16.4076	
4.15311E-03	16.3578	
4.15622E-03	16.3081	
4.15969E-03	16.2525	
4.16167E-03	16.2257	
4.17122E-03	16.0962	
4.17839E-03	15.9988	
4.18379E-03	15.9257	
4.19188E-03	15.8159	
4.20000E-03	15.7058	
4.21500E-03	15.5024	
4.22180E-03	15.423	
4.23588E-03	15.2588	
4.25000E-03	15.0941	
4.27250E-03	14.8317	
4.27625E-03	14.7879	
4.27813E-03	14.7661	
4.28000E-03	14.7442	
4.28250E-03	14.7151	
4.29000E-03	14.6276	
4.29508E-03	14.5684	
4.29631E-03	14.554	
4.29815E-03	14.5325	
4.30000E-03	14.5109	
4.30155E-03	14.4929	
4.30309E-03	14.4748	
4.30619E-03	14.4388	
4.32323E-03	14.2399	
4.32562E-03	14.2121	
4.34230E-03	14.0513	
4.35665E-03	13.9128	
4.37827E-03	13.7043	
4.40000E-03	13.4948	
4.43624E-03	13.1453	
4.54686E-03	12.252	
4.65748E-03	11.495	
4.70000E-03	11.2459	
4.76810E-03	10.847	
4.88730E-03	10.2467	
5.00000E-03	9.75734	
5.00650E-03	9.72911	
5.17930E-03	9.10818	
5.24405E-03	8.91596	
5.35210E-03	8.59515	
5.49213E-03	8.26021	
5.50000E-03	8.24392	
5.53065E-03	8.18054	
5.55760E-03	8.12479	
5.58129E-03	8.07579	
5.62361E-03	7.98827	
5.63215E-03	7.97061	
5.65251E-03	7.93623	
5.67673E-03	7.89535	
5.69496E-03	7.86457	
5.75000E-03	7.77165	
5.80764E-03	7.67434	
5.83135E-03	7.63432	
5.87367E-03	7.56287	
5.91220E-03	7.49782	
5.92826E-03	7.47444	
5.96402E-03	7.42239	
6.00000E-03	7.37002	
6.06155E-03	7.28044	
6.09693E-03	7.22894	
6.10812E-03	7.21587	
6.17865E-03	7.13352	
6.25000E-03	7.05022	
6.46638E-03	6.79758	
6.55798E-03	6.71114	
6.65110E-03	6.62327	
6.75000E-03	6.5432	
6.78076E-03	6.5183	
6.80778E-03	6.49642	
6.83152E-03	6.4772	
6.87325E-03	6.44341	
6.90472E-03	6.41793	
6.92842E-03	6.39875	
7.00000E-03	6.34079	
7.05781E-03	6.29399	
7.10239E-03	6.25789	
7.10400E-03	6.25659	
7.13901E-03	6.23478	
7.16660E-03	6.2176	
7.18736E-03	6.20467	
7.21861E-03	6.1852	
7.25000E-03	6.16564	
7.50029E-03	6.00973	
7.55690E-03	5.97888	
7.58680E-03	5.96226	
7.59427E-03	5.9583	
7.59801E-03	5.95648	
7.59988E-03	5.9557	
7.60175E-03	5.9552	
7.60362E-03	5.95561	
7.60455E-03	5.95662	
7.60548E-03	5.95861	
7.60735E-03	5.96777	
7.60922E-03	5.98843	
7.61109E-03	6.02452	
7.61296E-03	6.07257	
7.61530E-03	6.12612	
7.61700E-03	6.13993	
7.61823E-03	6.13926	
7.62009E-03	6.13129	
7.62288E-03	6.09349	
7.62475E-03	6.0184	
7.62661E-03	5.98021	
7.62847E-03	5.95738	
7.62940E-03	5.94603	
7.63033E-03	5.94296	
7.63219E-03	5.9409	
7.63405E-03	5.9384	
7.63591E-03	5.93683	
7.63963E-03	5.93556	
7.64707E-03	5.93328	
7.67684E-03	5.92903	
7.73638E-03	5.91285	
7.75000E-03	5.87505	
7.78082E-03	5.86045	
7.83504E-03	5.83474	
7.90679E-03	5.80074	
7.95326E-03	5.77871	
7.98831E-03	5.7621	
8.00000E-03	5.75656	
8.01243E-03	5.75067	
8.02333E-03	5.7455	
8.03287E-03	5.74098	
8.04960E-03	5.73305	
8.06217E-03	5.72709	
8.09360E-03	5.71219	
8.14921E-03	5.69167	
8.16174E-03	5.68705	
8.18372E-03	5.67894	
8.20024E-03	5.67284	
8.23130E-03	5.66138	
8.24533E-03	5.65621	
8.25000E-03	5.65448	
8.25623E-03	5.65218	
8.26169E-03	5.65017	
8.27125E-03	5.64664	
8.28382E-03	5.642	
8.29595E-03	5.63753	
8.30000E-03	5.63603	
8.30309E-03	5.63489	
8.30618E-03	5.63375	
8.31236E-03	5.63147	
8.32397E-03	5.62719	
8.33486E-03	5.62317	
8.34509E-03	5.61939	
8.35469E-03	5.61585	
8.36370E-03	5.61253	
8.38008E-03	5.60648	
8.38753E-03	5.60373	
8.40151E-03	5.59858	
8.41376E-03	5.59406	
8.42449E-03	5.5901	
8.43389E-03	5.58663	
8.44934E-03	5.58093	
