E(MeV)	j33-k300/In113K3:1
1E-11	613.852
1.08465E-11	613.852
1.17567E-11	589.435
1.27342E-11	566.183
1.37826E-11	544.044
1.49493E-11	522.969
1.62038E-11	502.175
1.7551E-11	482.373
1.8996E-11	463.519
2.0604E-11	445.571
2.2333E-11	427.863
2.41899E-11	411.001
2.61814E-11	394.945
2.83977E-11	379.663
3.07807E-11	364.585
3.33399E-11	350.226
3.60847E-11	336.556
3.91393E-11	323.544
4.24238E-11	310.706
4.5951E-11	298.481
4.97341E-11	286.843
5.39441E-11	275.766
5.84709E-11	264.837
6.33324E-11	254.432
6.85465E-11	244.525
7.4349E-11	235.096
8.05881E-11	225.795
8.72885E-11	216.939
9.44748E-11	208.509
1.02472E-10	200.486
1.11071E-10	192.571
1.20306E-10	185.036
1.30211E-10	177.864
1.41233E-10	171.038
1.53085E-10	164.305
1.65813E-10	157.896
1.79464E-10	151.796
1.94656E-10	145.991
2.10991E-10	140.266
2.28533E-10	134.816
2.47348E-10	129.63
2.68286E-10	124.694
2.908E-10	119.828
3.14978E-10	115.195
3.4091E-10	110.787
3.69768E-10	106.593
4.00798E-10	102.457
4.34121E-10	98.5201
4.69862E-10	94.7741
5.09636E-10	91.2099
5.52403E-10	87.696
5.98332E-10	84.3515
6.47591E-10	81.1688
7.0241E-10	78.1411
7.61354E-10	75.1555
8.24656E-10	72.314
8.92548E-10	69.6101
9.68103E-10	67.0378
1.04934E-09	64.5011
1.13659E-09	62.0865
1.23016E-09	59.7893
1.3343E-09	57.6037
1.44627E-09	55.4483
1.56651E-09	53.3969
1.69548E-09	51.4448
1.83901E-09	47.7911
1.88685E-09	47.1923
1.99333E-09	46.0577
2.09981E-09	44.923
2.15906E-09	44.3858
2.33681E-09	42.774
2.53463E-09	41.2473
2.60056E-09	40.7384
2.74732E-09	39.7741
2.89409E-09	38.8098
2.97575E-09	38.3532
3.22073E-09	36.9834
3.49337E-09	35.686
3.58425E-09	35.2535
3.78653E-09	34.4343
3.9888E-09	33.615
4.10135E-09	33.227
4.43901E-09	32.063
4.81477E-09	30.9602
4.94003E-09	30.5926
5.21881E-09	29.8961
5.4976E-09	29.1995
5.65272E-09	28.8695
6.1181E-09	27.8794
6.636E-09	26.9418
6.80864E-09	26.6293
7.19287E-09	26.0378
7.57711E-09	25.4463
7.79092E-09	25.1664
8.43232E-09	24.3269
9.14613E-09	23.533
9.38406E-09	23.2684
9.91364E-09	22.7668
1.04432E-08	22.2653
1.07379E-08	22.0272
1.16219E-08	21.3131
1.26057E-08	20.6358
1.29337E-08	20.4101
1.36636E-08	19.9828
1.43935E-08	19.5555
1.6018E-08	18.7551
1.7374E-08	18.1831
1.78259E-08	17.9924
1.88319E-08	17.6314
1.98379E-08	17.2704
2.03977E-08	17.0996
2.2077E-08	16.5871
2.39458E-08	16.1026
2.45688E-08	15.941
2.49344E-08	15.8546
2.53E-08	15.7702
2.74417E-08	15.3197
2.81556E-08	15.1695
2.97445E-08	14.8861
3.13334E-08	14.6027
3.31017E-08	14.335
3.487E-08	14.0672
3.68378E-08	13.814
3.88057E-08	13.5608
4.09956E-08	13.3216
4.31856E-08	13.0824
4.56227E-08	12.8569
4.80598E-08	12.6313
5.0772E-08	12.4189
5.34842E-08	12.2064
5.65026E-08	12.0066
5.95209E-08	11.8068
6.28799E-08	11.6194
6.62389E-08	11.4319
6.9977E-08	11.2555
7.37151E-08	11.0791
7.78752E-08	10.9132
8.20352E-08	10.7472
8.66648E-08	10.5925
9.12943E-08	10.4378
9.64464E-08	10.293
1.01599E-07	10.1481
1.07332E-07	10.0127
1.13066E-07	9.87725
1.19446E-07	9.75143
1.25827E-07	9.62561
1.32928E-07	9.50922
1.40029E-07	9.39283
1.47931E-07	9.28572
1.55834E-07	9.1786
1.64628E-07	9.08104
1.73423E-07	8.98348
1.83209E-07	8.89534
1.92996E-07	8.8072
2.03888E-07	8.72754
2.14779E-07	8.64788
2.269E-07	8.57779
2.39021E-07	8.50769
2.5251E-07	8.44759
2.65999E-07	8.38748
2.8101E-07	8.33797
2.96022E-07	8.28847
3.14617E-07	8.24618
3.29433E-07	8.21249
3.50127E-07	8.18956
3.6883E-07	8.16882
3.87305E-07	8.14835
4.10459E-07	8.14096
4.11549E-07	8.14061
4.45205E-07	8.15372
4.58E-07	8.1587
4.82565E-07	8.18688
5.09693E-07	8.21799
5.22687E-07	8.24375
5.51375E-07	8.30063
5.67221E-07	8.33205
5.81682E-07	8.37409
6.13608E-07	8.46691
6.31242E-07	8.51817
6.47335E-07	8.5803
6.73982E-07	8.68317
6.84677E-07	8.72446
7.00629E-07	8.80199
7.30283E-07	8.94613
7.42133E-07	9.00373
7.59938E-07	9.10799
7.79708E-07	9.22375
7.81777E-07	9.23587
8.01709E-07	9.37224
8.2371E-07	9.52277
8.25896E-07	9.53773
8.45711E-07	9.69699
8.67712E-07	9.87382
8.70015E-07	9.89234
8.85626E-07	10.037
9.03541E-07	10.203
9.06839E-07	10.2335
9.21456E-07	10.3891
9.39371E-07	10.5798
9.43662E-07	10.6255
9.57286E-07	10.793
9.73802E-07	10.9962
9.81872E-07	11.0954
9.89618E-07	11.2066
1.00543E-06	11.4335
1.02125E-06	11.6604
1.02285E-06	11.6834
1.03707E-06	11.917
1.05017E-06	12.1324
