E(MeV)	Fe-nat
2.281920E-04	11.1303
2.282770E-04	11.1324
2.283620E-04	11.1348
2.284480E-04	11.1374
2.285330E-04	11.1404
2.286180E-04	11.1437
2.287030E-04	11.1474
2.287890E-04	11.1514
2.288740E-04	11.1558
2.290020E-04	11.1629
2.291730E-04	11.1731
2.293860E-04	11.1863
2.295140E-04	11.1935
2.296100E-04	11.1982
2.296840E-04	11.2014
2.297700E-04	11.2042
2.298550E-04	11.2061
2.299400E-04	11.2071
2.299980E-04	11.2071
2.300790E-04	11.2064
2.301450E-04	11.2051
2.302300E-04	11.2026
2.303160E-04	11.1991
2.304010E-04	11.1949
2.304860E-04	11.1901
2.306140E-04	11.182
2.309550E-04	11.1589
2.310830E-04	11.1508
2.311690E-04	11.1458
2.312540E-04	11.1411
2.313390E-04	11.1367
2.314250E-04	11.1327
2.315100E-04	11.129
2.315950E-04	11.1256
2.316800E-04	11.1226
2.317660E-04	11.1198
2.318510E-04	11.1173
2.319360E-04	11.115
2.320220E-04	11.1129
2.321500E-04	11.1101
2.322780E-04	11.1076
2.324050E-04	11.1054
2.325330E-04	11.1035
2.326610E-04	11.1017
2.328320E-04	11.0997
2.330030E-04	11.0978
2.331730E-04	11.0962
2.333780E-04	11.0945
2.335830E-04	11.0929
2.338380E-04	11.0911
2.340940E-04	11.0895
2.343820E-04	11.0879
2.347340E-04	11.086
2.352030E-04	11.0838
2.356720E-04	11.0818
2.363500E-04	11.079
2.369740E-04	11.0766
2.378070E-04	11.0735
2.390570E-04	11.0691
2.403040E-04	11.0649
2.419650E-04	11.0594
2.445010E-04	11.0511
2.479130E-04	11.04
2.547370E-04	11.0182
2.674510E-04	10.9776
2.868570E-04	10.9159
2.958500E-04	10.8874
3.074000E-04	10.8543
3.225290E-04	10.8111
3.311900E-04	10.7865
3.370700E-04	10.7698
3.406170E-04	10.7599
3.428750E-04	10.7536
3.450250E-04	10.7478
3.465950E-04	10.7436
3.480780E-04	10.7398
3.490670E-04	10.7373
3.498090E-04	10.7356
3.504650E-04	10.7341
3.510770E-04	10.7328
3.516900E-04	10.7317
3.520990E-04	10.731
3.525070E-04	10.7304
3.529150E-04	10.7299
3.533240E-04	10.7296
3.536140E-04	10.7295
3.539040E-04	10.7296
3.541950E-04	10.7298
3.544850E-04	10.7302
3.546780E-04	10.7306
3.548720E-04	10.7312
3.550350E-04	10.7318
3.551990E-04	10.7325
3.553620E-04	10.7334
3.555260E-04	10.7345
3.556550E-04	10.7356
3.557840E-04	10.7368
3.559130E-04	10.7382
3.560420E-04	10.7399
3.561710E-04	10.7419
3.563000E-04	10.7441
3.564290E-04	10.7468
3.565150E-04	10.7489
3.566010E-04	10.7511
3.566870E-04	10.7537
3.567730E-04	10.7565
3.568590E-04	10.7597
3.569450E-04	10.7632
3.570310E-04	10.7671
3.571170E-04	10.7715
3.572030E-04	10.7763
3.572890E-04	10.7817
3.573750E-04	10.7876
3.574610E-04	10.7941
3.575470E-04	10.8011
3.576330E-04	10.8088
3.577190E-04	10.817
3.578480E-04	10.8303
3.579770E-04	10.8446
3.580370E-04	10.8515
3.583160E-04	10.8852
3.584320E-04	10.8982
3.585480E-04	10.9098
3.586300E-04	10.9168
3.587160E-04	10.923
3.588020E-04	10.9278
3.588880E-04	10.931
3.589630E-04	10.9324
3.589970E-04	10.9327
3.590550E-04	10.9324
3.591330E-04	10.931
3.592150E-04	10.9279
3.593010E-04	10.9233
3.593740E-04	10.9182
3.594640E-04	10.9108
3.595550E-04	10.9022
3.596710E-04	10.89
3.596880E-04	10.888
3.598860E-04	10.8643
3.600580E-04	10.8437
3.601870E-04	10.8289
3.602730E-04	10.8197
3.603590E-04	10.811
3.604450E-04	10.8028
3.605310E-04	10.7952
3.606170E-04	10.7883
3.607030E-04	10.7819
3.607890E-04	10.776
3.608750E-04	10.7707
3.609610E-04	10.7658
3.610470E-04	10.7614
3.611330E-04	10.7574
3.612190E-04	10.7537
3.613050E-04	10.7504
3.613910E-04	10.7474
3.614770E-04	10.7446
3.615630E-04	10.7421
3.616490E-04	10.7398
3.617780E-04	10.7367
3.619070E-04	10.7339
3.620360E-04	10.7314
3.621650E-04	10.7292
3.622940E-04	10.7272
3.624660E-04	10.7249
3.625950E-04	10.7233
3.627880E-04	10.7211
3.629950E-04	10.7191
3.632080E-04	10.7172
3.634200E-04	10.7155
3.636330E-04	10.714
3.638460E-04	10.7126
3.641490E-04	10.7108
3.644720E-04	10.7091
3.647940E-04	10.7075
3.651170E-04	10.706
3.656000E-04	10.704
3.660840E-04	10.7021
3.665680E-04	10.7004
3.672130E-04	10.6982
3.678580E-04	10.6961
3.687180E-04	10.6935
3.695780E-04	10.691
3.705670E-04	10.6882
3.722440E-04	10.6835
3.739210E-04	10.679
3.766300E-04	10.6719
3.787800E-04	10.6663
3.830800E-04	10.6553
3.908200E-04	10.6356
4.037200E-04	10.6028
4.243600E-04	10.5507
4.541070E-04	10.4756
4.890530E-04	10.3875
5.029500E-04	10.3525
5.278000E-04	10.2995
5.594020E-04	10.2323
5.916450E-04	10.1637
6.326380E-04	10.0766
6.737890E-04	9.98925
6.764610E-04	9.98358
7.215810E-04	9.83715
7.661380E-04	9.69261
8.102970E-04	9.54942
8.559630E-04	9.40141
8.876780E-04	9.29865
9.129020E-04	9.2232
9.388420E-04	9.14564
9.575810E-04	9.08964
9.744420E-04	9.03928
9.750810E-04	9.03738
9.819590E-04	9.03692
9.908450E-04	9.03916
1.003250E-03	9.04231
1.013720E-03	9.04501
1.024200E-03	9.04775
1.034670E-03	9.05055
1.042530E-03	9.05269
1.050380E-03	9.05489
1.055620E-03	9.05639
1.060860E-03	9.05794
1.066100E-03	9.05954
1.070020E-03	9.06079
1.073950E-03	9.06208
1.077880E-03	9.06342
1.081810E-03	9.06484
1.084750E-03	9.06596
1.087700E-03	9.06714
1.090650E-03	9.06839
1.093590E-03	9.06973
1.095560E-03	9.07067
1.097520E-03	9.07168
1.099500E-03	9.07275
1.101480E-03	9.0739
1.103460E-03	9.07514
1.105440E-03	9.07649
1.107340E-03	9.0779
1.108760E-03	9.07905
1.110180E-03	9.08028
1.111610E-03	9.08163
1.113030E-03	9.08309
1.114450E-03	9.08469
1.115880E-03	9.08647
1.117300E-03	9.08843
1.118250E-03	9.08987
1.119200E-03	9.09142
1.120150E-03	9.09311
1.121030E-03	9.09483
1.121860E-03	9.09656
1.122680E-03	9.09844
1.123510E-03	9.10049
1.124330E-03	9.10273
1.125160E-03	9.10518
1.125980E-03	9.10789
1.126810E-03	9.11088
1.127510E-03	9.11368
1.128090E-03	9.11619
1.128660E-03	9.11891
1.129240E-03	9.12186
1.129820E-03	9.12507
1.130400E-03	9.12857
1.130970E-03	9.13241
1.131550E-03	9.13662
1.132050E-03	9.14057
1.132670E-03	9.14601
1.133280E-03	9.1521
1.133700E-03	9.15658
1.134110E-03	9.16144
1.134480E-03	9.16619
1.134520E-03	9.16687
1.134930E-03	9.17418
1.135330E-03	9.18161
1.135700E-03	9.18915
1.136070E-03	9.19723
1.136440E-03	9.20592
1.136810E-03	9.2153
1.137180E-03	9.22545
1.137550E-03	9.2365
1.137920E-03	9.24855
1.138240E-03	9.25985
1.138510E-03	9.27008
1.138780E-03	9.28106
1.139050E-03	9.29289
1.139320E-03	9.30567
1.139580E-03	9.31951
1.139850E-03	9.33455
1.140120E-03	9.35094
1.140360E-03	9.36673
1.140670E-03	9.38938
1.140870E-03	9.40596
1.141080E-03	9.42389
1.141290E-03	9.44332
1.141410E-03	9.45599
1.141490E-03	9.46573
1.141700E-03	9.492
1.141910E-03	9.52042
1.142150E-03	9.5578
1.142320E-03	9.58499
1.142480E-03	9.61424
1.142650E-03	9.64582
1.142810E-03	9.68002
1.142980E-03	9.71719
1.143140E-03	9.75775
1.143300E-03	9.79929
1.143440E-03	9.84158
1.143590E-03	9.88776
1.143730E-03	9.93841
1.143840E-03	9.97908
1.143870E-03	9.99583
1.144020E-03	10.0636
1.144130E-03	10.1191
1.144240E-03	10.1791
1.144340E-03	10.2444
1.144440E-03	10.3058
1.144550E-03	10.3887
1.144640E-03	10.4569
1.144730E-03	10.531
1.144810E-03	10.6119
1.144870E-03	10.6669
1.144900E-03	10.7032
1.144990E-03	10.8076
1.145070E-03	10.9224
1.145160E-03	11.0492
1.145250E-03	11.1899
1.145330E-03	11.335
1.145380E-03	11.4374
1.145390E-03	11.4722
1.145460E-03	11.6287
1.145530E-03	11.7996
1.145600E-03	11.9866
1.145670E-03	12.1916
1.145740E-03	12.4168
1.145800E-03	12.6494
1.145870E-03	12.9512
1.145940E-03	13.2649
1.146010E-03	13.6094
1.146070E-03	13.9399
1.146120E-03	14.2731
1.146130E-03	14.313
1.146180E-03	14.6447
1.146230E-03	15.0464
1.146290E-03	15.4787
1.146350E-03	15.9437
1.146380E-03	16.2212
1.146400E-03	16.4505
1.146460E-03	17.0033
1.146510E-03	17.5952
1.146570E-03	18.2284
1.146620E-03	18.9048
1.146680E-03	19.6714
1.146740E-03	20.4888
1.146790E-03	21.2348
1.146800E-03	21.3618
1.146850E-03	22.3054
1.146910E-03	23.305
1.146970E-03	24.362
1.147020E-03	25.2382
1.147030E-03	25.4816
1.147110E-03	27.2061
1.147190E-03	28.8603
1.147200E-03	29.249
1.147260E-03	30.628
1.147360E-03	33.1344
1.147390E-03	33.9098
1.147460E-03	35.8116
1.147560E-03	38.8861
1.147590E-03	39.5534
1.147760E-03	44.7699
1.148090E-03	54.9973
1.148210E-03	58.4833
1.148220E-03	58.8655
1.148350E-03	62.3915
1.148410E-03	63.6612
1.148450E-03	64.7484
1.148550E-03	66.8012
1.148600E-03	67.7266
1.148650E-03	68.5109
1.148740E-03	69.6619
1.148750E-03	69.832
1.148850E-03	70.7731
1.148880E-03	70.8983
1.148950E-03	71.2034
1.149000E-03	71.2577
1.149110E-03	70.9915
1.149130E-03	70.8223
1.149190E-03	70.4296
1.149270E-03	69.5794
1.149290E-03	69.307
1.149370E-03	68.1737
1.149420E-03	67.2342
1.149470E-03	66.3874
1.149570E-03	64.264
1.149620E-03	63.0107
1.149630E-03	62.6909
1.149770E-03	59.1917
1.149820E-03	57.6695
1.149900E-03	55.3605
1.150160E-03	47.208
1.150340E-03	41.6123
1.150470E-03	37.9419
1.150480E-03	37.6156
1.150580E-03	34.7547
1.150660E-03	32.5672
1.150670E-03	32.3941
1.150760E-03	30.1833
1.150850E-03	28.1061
1.150930E-03	26.245
1.150990E-03	25.0775
1.151010E-03	24.6814
1.151050E-03	23.979
1.151110E-03	22.9442
1.151170E-03	21.9662
1.151180E-03	21.7685
1.151220E-03	21.0559
1.151280E-03	20.2029
1.151340E-03	19.3487
1.151350E-03	19.2929
1.151400E-03	18.5914
1.151460E-03	17.9344
1.151510E-03	17.3194
1.151570E-03	16.7446
