E(MeV)	TB-159(N,TOT)
3.20674E-06	253.862
3.20763E-06	257.405
3.21120E-06	271.584
3.21567E-06	291.129
3.21657E-06	295.443
3.22014E-06	312.709
3.22439E-06	335.345
3.22461E-06	336.537
3.22908E-06	362.855
3.22997E-06	368.661
3.23355E-06	391.9
3.23667E-06	414.301
3.23801E-06	423.907
3.24114E-06	448.548
3.24248E-06	459.114
3.24561E-06	486.142
3.24695E-06	497.731
3.24963E-06	523.049
3.25142E-06	539.937
3.25365E-06	562.891
3.25589E-06	585.858
3.25812E-06	610.696
3.26036E-06	635.55
3.26259E-06	662.257
3.26482E-06	688.98
3.26594E-06	703.232
3.26929E-06	746.007
3.26929E-06	746.007
3.27264E-06	791.825
3.27600E-06	837.667
3.27600E-06	837.667
3.27935E-06	886.441
3.28270E-06	935.241
3.28717E-06	1002.62
3.29164E-06	1070.04
3.29610E-06	1137.5
3.29834E-06	1171.25
3.30057E-06	1203.26
3.30504E-06	1267.31
3.30683E-06	1290.46
3.31174E-06	1354.15
3.31398E-06	1379.35
3.31643E-06	1407.07
3.32135E-06	1453.79
3.32604E-06	1488.76
3.32828E-06	1500.58
3.33051E-06	1512.38
3.33417E-06	1524.24
3.33498E-06	1525.18
3.33846E-06	1529.2
3.34184E-06	1525.37
3.34289E-06	1524.16
3.34615E-06	1513.9
3.34794E-06	1504.81
3.35062E-06	1491.15
3.35241E-06	1478.28
3.35509E-06	1458.93
3.35687E-06	1442.78
3.35911E-06	1422.56
3.36134E-06	1398.92
3.36313E-06	1379.97
3.36637E-06	1340.97
3.36804E-06	1320.76
3.37140E-06	1275.51
3.37475E-06	1230.21
3.37698E-06	1197.41
3.38368E-06	1098.9
3.38368E-06	1098.9
3.39039E-06	998.305
3.39485E-06	931.187
3.39709E-06	898.994
3.40156E-06	834.563
3.40603E-06	773.328
3.41049E-06	715.175
3.41496E-06	660.457
3.41943E-06	609.361
3.42390E-06	561.961
3.42837E-06	518.236
3.43284E-06	478.093
3.43730E-06	441.381
3.43730E-06	441.381
3.44177E-06	407.933
3.44624E-06	377.509
3.45071E-06	349.88
3.45518E-06	324.843
3.45965E-06	302.139
3.46412E-06	281.547
3.46412E-06	281.547
3.46858E-06	262.89
3.47305E-06	245.946
3.47752E-06	230.536
3.48199E-06	216.528
3.48646E-06	203.75
3.49093E-06	192.073
3.49093E-06	192.073
3.49539E-06	181.402
3.49986E-06	171.614
3.50433E-06	162.617
3.51036E-06	151.608
3.51505E-06	143.83
3.51774E-06	139.787
3.52131E-06	134.408
3.52757E-06	125.936
3.53338E-06	118.83
3.53382E-06	118.285
3.54086E-06	110.552
3.54790E-06	103.603
3.55494E-06	97.3347
3.55527E-06	97.062
3.56197E-06	91.6781
3.56901E-06	86.542
3.57405E-06	83.2257
3.57765E-06	80.861
3.58395E-06	77.1076
3.59340E-06	71.9972
3.59909E-06	69.249
3.60285E-06	67.4371
3.61229E-06	63.3553
3.62174E-06	59.6779
3.62447E-06	58.7172
3.63132E-06	56.3195
3.64090E-06	53.2815
3.65048E-06	50.5202
3.66006E-06	48.0024
3.66274E-06	47.3606
3.66965E-06	45.71
3.67932E-06	43.5934
3.68903E-06	41.6411
3.69875E-06	39.8443
3.70135E-06	39.4051
3.71170E-06	37.6745
3.72466E-06	35.722
3.73779E-06	33.9324
3.75093E-06	32.3102
3.75357E-06	32.0132
3.76407E-06	30.8445
3.77720E-06	29.5105
3.79053E-06	28.2743
3.80385E-06	27.142
3.80653E-06	26.9327
3.81717E-06	26.11
3.83049E-06	25.162
3.84400E-06	24.2754
3.86427E-06	23.07
3.88453E-06	21.9947
3.88746E-06	21.8556
3.90509E-06	21.0289
3.92564E-06	20.1646
3.94629E-06	19.3835
3.96713E-06	18.6723
3.96992E-06	18.5859
3.98797E-06	18.0363
4.00901E-06	17.4555
4.03014E-06	16.9255
4.05128E-06	16.4433
4.07985E-06	15.8583
4.08273E-06	15.8062
4.10843E-06	15.3498
4.13741E-06	14.8948
4.16640E-06	14.4923
4.19579E-06	14.132
4.22518E-06	13.8153
4.25498E-06	13.5345
4.25798E-06	13.51
4.28479E-06	13.2968
4.31501E-06	13.0926
4.34524E-06	12.9235
4.37589E-06	12.7875
4.40654E-06	12.6882
4.43799E-06	12.6265
4.44847E-06	12.6157
4.47201E-06	12.6105
4.49554E-06	12.6342
4.51919E-06	12.6908
4.54306E-06	12.7866
4.56692E-06	12.9282
4.58295E-06	13.0538
4.59908E-06	13.2093
4.61522E-06	13.3987
4.63135E-06	13.6281
4.63137E-06	13.6284
4.64760E-06	13.9037
4.65988E-06	14.15
4.67215E-06	14.4349
4.68442E-06	14.7651
4.69669E-06	15.1486
4.70860E-06	15.5812
4.71978E-06	16.0518
4.72428E-06	16.2717
4.73095E-06	16.5941
4.73840E-06	17.0032
4.74585E-06	17.4574
4.75330E-06	17.9632
4.76075E-06	18.5282
4.76812E-06	19.1535
4.77540E-06	19.8472
4.78268E-06	20.6277
4.78996E-06	21.5094
4.79554E-06	22.2675
4.79603E-06	22.3332
4.80331E-06	23.4429
4.80816E-06	24.269
4.81302E-06	25.1732
4.81787E-06	26.1645
4.82273E-06	27.2529
4.82758E-06	28.4494
4.83243E-06	29.766
4.83729E-06	31.2159
4.84214E-06	32.8132
4.84700E-06	34.573
4.85185E-06	36.5109
4.85671E-06	38.643
4.86156E-06	40.9852
4.86641E-06	43.5529
4.87127E-06	46.3601
4.87321E-06	47.5837
4.87612E-06	49.4222
4.88098E-06	52.747
4.88583E-06	56.3374
4.89068E-06	60.1931
4.89505E-06	63.8964
4.89554E-06	64.3088
4.90282E-06	70.9476
4.91010E-06	78.0539
4.91204E-06	80.0554
4.92224E-06	90.5872
4.92758E-06	96.116
4.93437E-06	103.169
4.94068E-06	109.308
4.94165E-06	110.254
4.94893E-06	116.654
4.95524E-06	121.415
4.95961E-06	124.169
4.95998E-06	124.4
4.96398E-06	126.486
4.96884E-06	128.421
4.97325E-06	129.582
4.97922E-06	130.204
4.98369E-06	129.947
4.98922E-06	128.781
4.99408E-06	127.014
4.99553E-06	126.283
4.99917E-06	124.451
5.00451E-06	121.063
5.00767E-06	118.706
5.00937E-06	117.433
5.01592E-06	111.838
5.02175E-06	106.331
5.02247E-06	105.641
5.03437E-06	93.5019
5.03631E-06	91.4945
5.04650E-06	80.9317
5.05087E-06	76.5994
5.05378E-06	73.7048
5.06106E-06	66.8948
5.06592E-06	62.6407
5.07077E-06	58.6367
5.07514E-06	55.2672
5.07563E-06	54.8922
5.08048E-06	51.4052
5.08533E-06	48.179
5.09019E-06	45.207
5.09504E-06	42.4788
5.09990E-06	39.9818
5.10475E-06	37.7015
5.10961E-06	35.6226
5.11446E-06	33.7295
5.11931E-06	32.0065
5.12417E-06	30.4386
5.12902E-06	29.0113
5.13388E-06	27.7112
5.13873E-06	26.5257
5.14358E-06	25.4433
5.14844E-06	24.4537
5.15281E-06	23.6379
5.15329E-06	23.5476
5.15815E-06	22.7195
5.16349E-06	21.8858
5.16931E-06	21.0585
5.17514E-06	20.307
5.18096E-06	19.6225
5.18873E-06	18.8008
5.19601E-06	18.1124
5.20329E-06	17.4925
5.20329E-06	17.4925
5.21057E-06	16.936
5.21785E-06	16.4315
5.22731E-06	15.8429
5.23652E-06	15.3325
5.24573E-06	14.8748
5.25494E-06	14.4627
5.26415E-06	14.0899
5.27336E-06	13.7515
5.27670E-06	13.6422
5.28718E-06	13.3034
5.30106E-06	12.911
5.31507E-06	12.5626
5.32908E-06	12.2544
5.34309E-06	11.98
5.35243E-06	11.8133
5.37111E-06	11.5135
5.39006E-06	11.2478
5.40900E-06	11.0142
5.41453E-06	10.9537
5.42794E-06	10.8107
5.44689E-06	10.6311
5.46610E-06	10.4684
5.49492E-06	10.2547
5.52373E-06	10.0709
5.55296E-06	9.90912
5.58218E-06	9.76753
5.62142E-06	9.60314
5.64695E-06	9.51164
5.66094E-06	9.46341
5.70073E-06	9.34518
5.74080E-06	9.24137
5.80148E-06	9.10761
5.86272E-06	8.99524
5.92454E-06	8.8997
6.00812E-06	8.79259
6.09288E-06	8.70407
6.17884E-06	8.63044
6.18547E-06	8.62579
6.26602E-06	8.57064
6.38770E-06	8.50576
6.52351E-06	8.4546
6.66189E-06	8.42206
6.80353E-06	8.40659
6.94785E-06	8.40915
7.09557E-06	8.43075
7.11566E-06	8.43639
7.24608E-06	8.46429
7.40014E-06	8.52011
7.55711E-06	8.60337
7.63197E-06	8.65499
7.66373E-06	8.67433
7.77185E-06	8.75587
7.88150E-06	8.85658
7.99269E-06	8.97912
8.01533E-06	9.00916
8.10545E-06	9.12021
8.21981E-06	9.28962
8.30678E-06	9.4407
8.35938E-06	9.5454
8.39458E-06	9.61149
8.48319E-06	9.80358
8.57264E-06	10.0269
8.65756E-06	10.2702
8.66335E-06	10.2861
8.75491E-06	10.5794
8.84733E-06	10.9251
8.90357E-06	11.1644
8.90952E-06	11.189
8.97215E-06	11.4771
9.03522E-06	11.801
9.09243E-06	12.1296
9.09873E-06	12.165
9.16269E-06	12.5682
9.22710E-06	13.0255
9.28575E-06	13.496
9.29196E-06	13.545
9.35728E-06	14.1302
9.40661E-06	14.6255
9.41675E-06	14.738
9.45594E-06	15.1682
9.50597E-06	15.7773
9.54961E-06	16.3685
9.55599E-06	16.4542
9.60626E-06	17.2074
9.65699E-06	18.0591
9.68434E-06	18.575
9.70772E-06	19.0134
9.75893E-06	20.0963
9.79323E-06	20.9004
9.82096E-06	21.6089
9.82753E-06	21.7762
9.86183E-06	22.7311
9.89661E-06	23.7926
9.93140E-06	24.9592
9.96618E-06	26.2441
1.00010E-05	27.6629
1.00362E-05	29.2575
1.00647E-05	30.6868
1.00715E-05	31.0323
1.01068E-05	33.0173
1.01332E-05	34.6608
1.01354E-05	34.8076
1.01599E-05	36.477
1.01868E-05	38.4754
1.01887E-05	38.6342
1.02136E-05	40.6772
1.02404E-05	43.1021
1.02425E-05	43.311
1.02673E-05	45.7888
1.02784E-05	47.0249
1.02942E-05	48.7867
1.03143E-05	51.2713
1.03198E-05	51.952
1.03214E-05	52.1597
1.03453E-05	55.4794
1.03486E-05	55.9417
1.03727E-05	59.6986
1.03758E-05	60.1979
1.03940E-05	63.3398
1.04000E-05	64.4719
1.04121E-05	66.7566
1.04182E-05	68.0105
1.04302E-05	70.4839
1.04365E-05	71.8908
1.04530E-05	75.6492
1.04547E-05	76.0838
1.04729E-05	80.7378
1.04757E-05	81.4523
1.04882E-05	84.9773
1.04908E-05	85.7278
1.05060E-05	90.371
1.05067E-05	90.6105
1.05191E-05	94.7312
1.05211E-05	95.4286
1.05314E-05	99.1655
1.05363E-05	100.95
1.05438E-05	103.921
1.05514E-05	106.993
1.05561E-05	109.047
1.05685E-05	114.511
1.05698E-05	115.106
1.05808E-05	120.573
1.05881E-05	124.232
1.05918E-05	126.246
1.06004E-05	130.961
1.06028E-05	132.42
1.06126E-05	138.277
1.06138E-05	139.072
1.06248E-05	146.252
1.06248E-05	146.252
1.06358E-05	154.095
1.06371E-05	154.97
1.06468E-05	162.607
1.06493E-05	164.524
1.06551E-05	169.468
1.06597E-05	173.386
1.06634E-05	176.775
1.06701E-05	183.013
1.06728E-05	185.779
1.06805E-05	193.494
1.06808E-05	193.829
1.06887E-05	202.58
1.06909E-05	204.945
1.06967E-05	211.94
1.07013E-05	217.484
1.07046E-05	221.927
1.07117E-05	231.254
1.07126E-05	232.588
1.07205E-05	244.194
1.07221E-05	246.437
1.07285E-05	256.791
1.07325E-05	263.231
1.07355E-05	268.663
1.07416E-05	279.573
1.07477E-05	291.555
1.07508E-05	297.57
1.07539E-05	304.173
1.07600E-05	317.433
1.07661E-05	332.101
1.07691E-05	339.469
1.07722E-05	347.614
1.07783E-05	363.981
1.07841E-05	381.319
1.07875E-05	391.406
1.07896E-05	398.561
1.07951E-05	417.043
1.07967E-05	422.204
1.08006E-05	436.932
1.08028E-05	444.903
1.08061E-05	458.438
1.08089E-05	469.57
