E(MeV)	mcnp/Cd:1
1.79717E-05	5.664743808
0.000017988	5.75867314
1.80043E-05	5.869116464
1.80207E-05	5.999099561
0.000018037	6.151347118
1.80491E-05	6.279811529
0.000018071	6.552612707
0.000018081	6.694580507
1.80903E-05	6.838716049
1.81078E-05	7.139440207
1.81232E-05	7.436537116
1.81484E-05	7.99509233
1.81677E-05	8.48248755
1.82043E-05	9.531516006
0.000018293	12.3719608
1.83165E-05	13.032139
0.00001834	13.57723706
0.00001837	14.04521561
0.0000184	14.20909815
0.00001843	14.04978329
0.00001846	13.58833666
1.84736E-05	13.29396312
0.000018522	11.94419585
0.000018603	9.381454664
1.86223E-05	8.830225887
1.86619E-05	7.842585079
1.86745E-05	7.572084989
1.86952E-05	7.173962167
1.87121E-05	6.889811492
1.87344E-05	6.569794541
1.87487E-05	6.393192127
0.000018763	6.237411309
1.87855E-05	6.030564143
1.88066E-05	5.872447655
1.88264E-05	5.750517612
0.000018845	5.655072308
1.88636E-05	5.574675171
1.88799E-05	5.514275492
1.88962E-05	5.461509891
1.89248E-05	5.383375505
1.89498E-05	5.326241999
1.89717E-05	5.282730332
1.90102E-05	5.217849923
1.90391E-05	5.176936691
1.90608E-05	5.150060141
1.90934E-05	5.115423459
0.000019126	5.087066938
1.91706E-05	5.057209072
1.92152E-05	5.035380765
1.92543E-05	5.020753629
1.92935E-05	5.008767577
1.93623E-05	4.991084401
1.94228E-05	4.977349242
1.95289E-05	4.955586987
0.000019609	4.940848334
1.97296E-05	4.921266178
1.97903E-05	4.912969776
0.000019851	4.906126746
1.99111E-05	4.900862148
1.99713E-05	4.896783246
2.00915E-05	4.890296753
0.000020363	4.878432155
0.000020591	4.872559836
0.000020819	4.867988185
0.000021677	4.860464296
2.23205E-05	4.855251143
0.000022535	4.854110819
2.26775E-05	4.854539549
2.28201E-05	4.855580307
2.32956E-05	4.861317223
2.36912E-05	4.868748152
2.39924E-05	4.87615181
2.42208E-05	4.882985545
2.45674E-05	4.895450005
2.47432E-05	4.902926338
0.000024939	4.914597348
0.000025067	4.927092446
2.52603E-05	4.951954146
2.53576E-05	4.967251282
0.000025455	4.986129392
0.000025588	5.020108285
2.56881E-05	5.051889555
2.57635E-05	5.07918456
0.000025877	5.127357635
0.000025934	5.15646451
0.000025991	5.190410568
2.60726E-05	5.249277574
2.61442E-05	5.311658508
0.000026207	5.374660603
2.62621E-05	5.436378709
2.63588E-05	5.560472086
2.64316E-05	5.670098093
2.64862E-05	5.766292364
2.65274E-05	5.850885657
2.65685E-05	5.951450956
2.66097E-05	6.07540623
0.000026651	6.231675757
2.66872E-05	6.403941042
2.67143E-05	6.560187976
2.67551E-05	6.847557523
0.000026796	7.211080406
2.68199E-05	7.464753437
2.68423E-05	7.733992659
2.68634E-05	8.016836551
2.69016E-05	8.617451162
2.69364E-05	9.279537749
2.69669E-05	9.977591207
2.69935E-05	10.70876476
2.70169E-05	11.4691727
2.70374E-05	12.25350163
2.70553E-05	13.05360864
2.70732E-05	13.98254798
2.71001E-05	15.67744937
2.71203E-05	17.24211121
2.71355E-05	18.61335275
2.71506E-05	20.18021905
2.71658E-05	21.96693669
0.000027181	23.99695039
0.000027198	26.58925418
2.72113E-05	28.87838764
2.72356E-05	33.666415
2.72569E-05	38.60093801
2.72847E-05	46.11969254
2.73145E-05	55.55399292
2.73466E-05	67.25854293
2.73752E-05	78.77692201
2.74422E-05	107.7451908
2.74734E-05	120.6547901
2.75106E-05	133.9608497
0.000027533	140.2585216
2.75665E-05	146.5955791
0.0000276	148.6713297
2.76335E-05	146.2680349
0.000027667	139.6418432
2.76885E-05	133.469934
0.00002771	126.0796557
2.77441E-05	112.5848393
2.78256E-05	77.77241845
2.78414E-05	71.42896929
2.78747E-05	59.08942244
2.79045E-05	49.45796896
2.79166E-05	45.9273463
2.79417E-05	39.42015406
0.00002796	35.27309473
2.79705E-05	33.114998
2.79862E-05	30.16653988
0.000028002	27.54464956
0.000028016	25.47006857
2.80401E-05	22.40134686
2.80627E-05	20.02476841
2.80839E-05	18.16926275
2.81038E-05	16.70425
2.81225E-05	15.53287511
0.00002814	14.58332718
2.81575E-05	13.75510459
2.81882E-05	12.53857317
2.82093E-05	11.83794055
2.82386E-05	11.00578459
2.82593E-05	10.49846878
2.82954E-05	9.731003911
2.83225E-05	9.238275593
2.83429E-05	8.908333464
2.83734E-05	8.470100579
0.000028404	8.092970342
0.000028437	7.747558512
0.000028471	7.450574834
0.000028505	7.204511594
2.85498E-05	6.944566188
0.000028589	6.76270275
2.86282E-05	6.612328952
2.86873E-05	6.427780799
2.87316E-05	6.313394202
2.87982E-05	6.176036096
2.88316E-05	6.124055654
0.000028865	6.084696506
0.000028903	6.056387006
2.89559E-05	6.047099789
2.90088E-05	6.071721119
2.90619E-05	6.126119525
0.000029162	6.272638078
0.000029209	6.332714083
0.000029234	6.354133353
0.000029267	6.366291275
0.0000293	6.356713748
0.000029333	6.323821565
0.000029366	6.268530682
2.93957E-05	6.202220685
0.000029418	6.144276033
2.95548E-05	5.739597802
2.95903E-05	5.645413115
2.96369E-05	5.538165156
0.000029667	5.47982982
0.000029697	5.429685231
0.000029721	5.395212256
0.000029745	5.365265517
2.97886E-05	5.320905306
2.98321E-05	5.286768992
2.98977E-05	5.248205785
2.99633E-05	5.218461983
3.00291E-05	5.193382431
0.000030095	5.171619234
0.000030188	5.145724519
0.000030281	5.124552325
3.04321E-05	5.096852698
3.06602E-05	5.061815491
0.00003089	5.031213627
3.11534E-05	5.003849036
0.000031419	4.980598485
3.16829E-05	4.962192249
0.000031949	4.946600584
3.22584E-05	4.933873794
3.25678E-05	4.92246262
3.33982E-05	4.893827108
3.39431E-05	4.87625872
0.000034497	4.859953988
3.74312E-05	4.81573908
0.000040615	4.769484213
4.23073E-05	4.747587047
4.49788E-05	4.714156573
0.000047819	4.67959952
4.84267E-05	4.668442158
4.89647E-05	4.658885129
4.94404E-05	4.651133332
5.02839E-05	4.639013288
0.000050926	4.631304968
0.000051413	4.626488649
5.21522E-05	4.620966529
5.25271E-05	4.619140887
0.000052902	4.617655976
5.32409E-05	4.617168472
0.000053582	4.618567211
5.39204E-05	4.622848638
0.000054261	4.630944286
5.44686E-05	4.63857013
5.47814E-05	4.655057187
5.49387E-05	4.666097951
0.000055096	4.680453849
0.000055281	4.705729041
5.54078E-05	4.730841737
5.55032E-05	4.755292837
5.55986E-05	4.787991083
5.56943E-05	4.837046247
5.57421E-05	4.871449427
0.00005579	4.914641803
0.000055817	4.943405998
5.58782E-05	5.021212494
5.59241E-05	5.091209969
0.000055993	5.212571165
5.61002E-05	5.420799375
5.61576E-05	5.525864093
0.000056215	5.613848444
5.62575E-05	5.662771025
0.0000563	5.695331989
0.000056385	5.710247306
5.64615E-05	5.676986781
0.000056538	5.620919971
0.000056674	5.532867098
0.000056742	5.517108541
0.00005681	5.528651006
0.000056891	5.581395475
5.69444E-05	5.639216548
5.69977E-05	5.714447979
5.70779E-05	5.858803564
5.71381E-05	5.992895982
5.71983E-05	6.153030241
5.72587E-05	6.34712564
0.000057319	6.586360446
0.000057361	6.787509412
5.74029E-05	7.024572833
0.000057445	7.305595401
0.000057487	7.63893344
0.000057553	8.291058527
0.000057586	8.688110034
0.000057619	9.140465186
0.000057676	10.0734294
5.77277E-05	11.12882613
0.000057773	12.26954022
5.78126E-05	13.49444922
5.78473E-05	14.80186173
5.78778E-05	16.18639118
5.79044E-05	17.63398133
5.79277E-05	19.12671908
0.000057951	20.87503046
5.79859E-05	24.09204933
5.80122E-05	27.07962935
5.80385E-05	30.66760718
5.80647E-05	34.96382427
0.000058091	40.08383126
0.000058108	43.88747267
5.81335E-05	50.40584831
5.81702E-05	61.70259929
5.82011E-05	73.1285035
5.82259E-05	83.6514466
5.82485E-05	94.37110775
0.000058274	107.7775987
5.83024E-05	124.3053607
0.000058339	147.919682
5.83943E-05	187.871792
5.84682E-05	245.3588169
5.85402E-05	298.3525485
5.85801E-05	322.9218779
0.0000587	359.0519355
0.000058745	354.7556532
0.00005879	340.8198278
5.88102E-05	331.7404534
5.88608E-05	302.8016431
5.89064E-05	271.20159
5.89685E-05	224.2442398
0.000059045	167.7529194
5.90687E-05	151.6676796
0.000059109	126.5490675
5.91526E-05	102.9921013
5.91912E-05	85.27844683
5.92223E-05	73.16643168
0.000059241	66.75646635
5.92695E-05	58.13936519
5.92962E-05	51.21828455
5.93212E-05	45.63739148
5.93447E-05	41.11523667
5.93667E-05	37.425659
5.93874E-05	34.39090129
0.000059408	31.71883882
5.94405E-05	28.14085217
5.94759E-05	24.95997763
5.95036E-05	22.87745748
5.95278E-05	21.29534244
5.95691E-05	19.02026562
5.96022E-05	17.49886922
5.96262E-05	16.53574006
5.96621E-05	15.27038829
0.000059698	14.1878105
5.97395E-05	13.12914805
0.000059781	12.24303952
5.98255E-05	11.4547486
5.98588E-05	10.95493963
5.98922E-05	10.52187202
5.99256E-05	10.14544677
0.000059959	9.817198515
6.00297E-05	9.24773539
6.00917E-05	8.851482137
6.01459E-05	8.558411654
6.02002E-05	8.30101988
6.02817E-05	7.96117659
0.000060343	7.733459927
6.04349E-05	7.427541929
0.000060527	7.161580658
6.06106E-05	6.953201199
6.07362E-05	6.691584441
0.000060862	6.479194748
6.09469E-05	6.358192161
6.10318E-05	6.251594215
0.000061245	6.032064951
6.14138E-05	5.895462646
0.000061583	5.782477506
6.17295E-05	5.700841818
0.000061876	5.632780534
0.00006209	5.55366652
0.000062304	5.49547485
0.000062431	5.475103135
