E(MeV)	"PR-141(N,TOT)"
7.59803E-05	0.895365
7.65144E-05	0.888461
7.69168E-05	0.88367
7.73230E-05	0.879274
7.75213E-05	0.877393
7.77293E-05	0.87463
7.81393E-05	0.869858
7.84139E-05	0.867122
7.86150E-05	0.865426
7.86886E-05	0.864487
7.89632E-05	0.861514
7.92417E-05	0.859151
7.94469E-05	0.857979
7.95202E-05	0.857152
7.97291E-05	0.855399
7.99380E-05	0.85425
8.01478E-05	0.853808
8.02286E-05	0.853966
8.03596E-05	0.853382
8.05715E-05	0.853471
8.07127E-05	0.854201
8.07332E-05	0.854396
8.08539E-05	0.854688
8.09951E-05	0.855727
8.11363E-05	0.857553
8.12388E-05	0.859612
8.13058E-05	0.860391
8.14540E-05	0.863402
8.16022E-05	0.867825
8.16181E-05	0.868479
8.17504E-05	0.872689
8.18492E-05	0.876902
8.19480E-05	0.882094
8.19552E-05	0.882556
8.20448E-05	0.887272
8.21396E-05	0.893427
8.22344E-05	0.900885
8.22713E-05	0.904361
8.23292E-05	0.909013
8.24240E-05	0.918315
8.25188E-05	0.929556
8.25873E-05	0.939286
8.26137E-05	0.942608
8.27085E-05	0.95715
8.27875E-05	0.971544
8.28244E-05	0.979492
8.28823E-05	0.990955
8.29455E-05	1.00566
8.30087E-05	1.02238
8.30614E-05	1.0382
8.30719E-05	1.04117
8.31351E-05	1.06154
8.31983E-05	1.08483
8.32194E-05	1.09369
8.32616E-05	1.11066
8.33327E-05	1.14384
8.33774E-05	1.16761
8.33801E-05	1.16895
8.34275E-05	1.19586
8.34749E-05	1.22586
8.35223E-05	1.25933
8.35355E-05	1.26971
8.35697E-05	1.29598
8.36171E-05	1.33675
8.36408E-05	1.35956
8.36619E-05	1.37943
8.37040E-05	1.42376
8.37462E-05	1.47312
8.37883E-05	1.52727
8.38305E-05	1.58789
8.38515E-05	1.62189
8.38726E-05	1.65541
8.39147E-05	1.73094
8.39569E-05	1.81624
8.39924E-05	1.89619
8.40214E-05	1.96809
8.40504E-05	2.04684
8.40622E-05	2.0822
8.40793E-05	2.13295
8.41083E-05	2.22748
8.41373E-05	2.3318
8.41663E-05	2.44727
8.41952E-05	2.57548
8.42216E-05	2.70473
8.42453E-05	2.83287
8.42690E-05	2.97379
8.42729E-05	2.99972
8.42927E-05	3.12985
8.43164E-05	3.30289
8.43256E-05	3.37782
8.43401E-05	3.4962
8.43638E-05	3.71304
8.43651E-05	3.7264
8.43816E-05	3.89434
8.43914E-05	4.00498
8.43993E-05	4.09393
8.44112E-05	4.24251
8.44204E-05	4.35867
8.44309E-05	4.5064
8.44362E-05	4.58055
8.44375E-05	4.60097
8.44507E-05	4.80581
8.44520E-05	4.82639
8.44639E-05	5.03135
8.44678E-05	5.10003
8.44770E-05	5.2782
8.44836E-05	5.40613
8.44881E-05	5.50334
8.44994E-05	5.7506
8.45015E-05	5.80228
8.45105E-05	6.02306
8.45152E-05	6.14051
8.45194E-05	6.25589
8.45258E-05	6.42982
8.45284E-05	6.50855
8.45363E-05	6.74596
8.45373E-05	6.78043
8.45463E-05	7.07494
8.45468E-05	7.09236
8.45553E-05	7.39642
8.45574E-05	7.4729
8.45642E-05	7.74447
8.45679E-05	7.89161
8.45732E-05	8.12223
8.45790E-05	8.37753
8.45821E-05	8.5309
8.45888E-05	8.85867
8.45900E-05	8.91681
8.45956E-05	9.21603
8.46011E-05	9.5168
8.46023E-05	9.58799
8.46090E-05	9.99339
8.46121E-05	10.1852
8.46157E-05	10.4238
8.46224E-05	10.8767
8.46232E-05	10.9303
8.46298E-05	11.4244
8.46343E-05	11.7622
8.46356E-05	11.8722
8.46414E-05	12.3583
8.46453E-05	12.6914
8.46472E-05	12.8635
8.46530E-05	13.4068
8.46564E-05	13.7295
8.46588E-05	13.9768
8.46646E-05	14.5841
8.46675E-05	14.8894
8.46703E-05	15.227
8.46761E-05	15.9058
8.46785E-05	16.1849
8.46819E-05	16.6284
8.46877E-05	17.3828
8.46885E-05	17.4863
8.46935E-05	18.1961
8.46964E-05	18.6091
8.46993E-05	19.0524
8.47043E-05	19.822
8.47051E-05	19.9523
8.47109E-05	20.9129
8.47122E-05	21.1324
8.47167E-05	21.932
8.47201E-05	22.5473
8.47249E-05	23.4596
8.47280E-05	24.0721
8.47328E-05	25.0552
8.47359E-05	25.7152
8.47407E-05	26.7734
8.47438E-05	27.4837
8.47486E-05	28.6216
8.47517E-05	29.3854
8.47565E-05	30.6076
8.47596E-05	31.4279
8.47644E-05	32.7391
8.47675E-05	33.6191
8.47723E-05	35.0224
8.47752E-05	35.8858
8.47802E-05	37.4823
8.47852E-05	39.0892
8.47881E-05	40.0924
8.47952E-05	42.5703
8.47960E-05	42.8666
8.48039E-05	45.8474
8.48052E-05	46.3477
8.48134E-05	49.6766
8.48152E-05	50.4339
8.48228E-05	53.7927
8.48252E-05	54.8426
8.48323E-05	58.2065
8.48352E-05	59.5865
8.48418E-05	62.9275
8.48452E-05	64.6766
8.48513E-05	67.9667
8.48555E-05	70.2694
8.48597E-05	72.7145
8.48660E-05	76.4049
8.48703E-05	79.011
8.48766E-05	82.946
8.48808E-05	85.7156
8.48871E-05	89.8961
8.48913E-05	92.8284
8.48976E-05	97.2526
8.49013E-05	99.9889
8.49108E-05	107.061
8.49134E-05	109.038
8.49250E-05	118.296
8.49293E-05	121.684
8.49387E-05	129.73
8.49451E-05	135.123
8.49514E-05	140.798
8.49661E-05	154.111
8.49682E-05	156.105
8.49893E-05	176.155
8.49948E-05	181.393
8.50158E-05	201.852
8.50466E-05	231.759
8.50635E-05	247.235
8.50719E-05	254.923
8.50888E-05	269.188
8.51056E-05	282.131
8.51225E-05	293.494
8.51393E-05	303.023
8.51553E-05	310.134
8.51562E-05	310.498
8.51709E-05	315.114
8.51730E-05	315.747
8.51874E-05	318.339
8.51882E-05	318.481
8.51997E-05	319.235
8.52032E-05	319.079
8.52169E-05	318.276
8.52209E-05	317.592
8.52224E-05	317.31
8.52291E-05	316.073
8.52388E-05	313.24
8.52455E-05	311.178
8.52556E-05	306.903
8.52624E-05	303.965
8.52725E-05	298.456
8.52792E-05	294.702
8.52893E-05	288.088
8.52961E-05	283.605
8.53062E-05	276.036
8.53129E-05	270.925
8.53231E-05	262.566
8.53298E-05	256.938
8.53399E-05	247.863
8.53551E-05	234.134
8.53652E-05	224.508
8.54040E-05	187.355
8.54202E-05	171.799
8.54407E-05	152.755
8.54444E-05	149.495
8.54613E-05	134.663
8.54655E-05	131.16
8.54781E-05	120.711
8.54866E-05	114.108
8.54908E-05	110.828
8.55024E-05	102.263
8.55034E-05	101.489
8.55161E-05	92.7195
8.55182E-05	91.345
8.55287E-05	84.5258
8.55340E-05	81.3072
8.55382E-05	78.7542
8.55477E-05	73.3024
8.55498E-05	72.1551
8.55571E-05	68.1776
8.55656E-05	63.8835
8.55666E-05	63.3512
8.55761E-05	58.8366
8.55856E-05	54.621
8.55866E-05	54.1813
8.55951E-05	50.6906
8.55972E-05	49.873
8.56045E-05	47.0344
8.56077E-05	45.8968
8.56140E-05	43.6426
8.56209E-05	41.3634
8.56235E-05	40.4956
8.56327E-05	37.666
8.56330E-05	37.586
8.56425E-05	34.9054
8.56446E-05	34.3518
8.56520E-05	32.435
8.56564E-05	31.3551
8.56614E-05	30.1612
8.56683E-05	28.6473
8.56709E-05	28.0713
8.56801E-05	26.2058
8.56804E-05	26.1531
8.56899E-05	24.3986
8.56920E-05	24.0382
8.56994E-05	22.7918
8.57038E-05	22.0952
8.57096E-05	21.2044
8.57157E-05	20.3422
8.57175E-05	20.0833
8.57254E-05	19.0464
8.57315E-05	18.303
8.57333E-05	18.0801
8.57412E-05	17.1873
8.57449E-05	16.7977
8.57491E-05	16.3594
8.57570E-05	15.5911
8.57615E-05	15.1838
8.57649E-05	14.8778
8.57768E-05	13.903
8.57781E-05	13.8048
8.57886E-05	13.0337
8.57947E-05	12.6314
8.58005E-05	12.2533
8.58113E-05	11.6134
8.58123E-05	11.552
8.58242E-05	10.924
8.58279E-05	10.7461
8.58367E-05	10.329
8.58500E-05	9.75988
8.58505E-05	9.73782
8.58644E-05	9.2149
8.58721E-05	8.94822
8.58782E-05	8.74477
8.58920E-05	8.32199
8.58943E-05	8.25934
8.59058E-05	7.94204
8.59164E-05	7.6772
8.59197E-05	7.59619
8.59335E-05	7.28283
8.59427E-05	7.08707
8.59612E-05	6.73178
8.59691E-05	6.59312
8.59796E-05	6.41309
8.59974E-05	6.1347
8.60086E-05	5.97282
8.60151E-05	5.88043
8.60270E-05	5.72447
8.60481E-05	5.46639
8.60507E-05	5.435
8.60744E-05	5.17733
8.60876E-05	5.04582
8.60981E-05	4.94339
8.61218E-05	4.73085
8.61271E-05	4.68706
8.61455E-05	4.53829
8.61692E-05	4.36048
8.61798E-05	4.2867
8.61929E-05	4.19741
8.62166E-05	4.04712
8.62324E-05	3.95404
8.62482E-05	3.86376
8.62798E-05	3.69737
8.62851E-05	3.67168
8.63114E-05	3.54785
8.63430E-05	3.40995
8.63641E-05	3.32425
8.63746E-05	3.28314
8.64063E-05	3.16804
8.64405E-05	3.05157
8.64431E-05	3.04321
8.64774E-05	2.93891
8.65142E-05	2.83425
8.65221E-05	2.81327
8.65511E-05	2.73927
8.65880E-05	2.65105
8.66012E-05	2.62144
8.66249E-05	2.57034
8.66617E-05	2.49559
8.67065E-05	2.41112
8.67170E-05	2.39213
8.67644E-05	2.31317
8.68119E-05	2.23943
8.68593E-05	2.17339
8.69067E-05	2.11143
8.69172E-05	2.09846
8.69541E-05	2.0554
8.70015E-05	2.00325
8.70489E-05	1.95397
8.70752E-05	1.92802
8.70963E-05	1.90831
8.71648E-05	1.84829
8.71806E-05	1.8354
8.72333E-05	1.79447
8.73017E-05	1.74489
8.73386E-05	1.71988
8.73702E-05	1.69961
8.74387E-05	1.65845
8.74966E-05	1.62566
8.75072E-05	1.62007
8.75756E-05	1.58584
8.76441E-05	1.55349
8.77284E-05	1.51595
8.77337E-05	1.51374
8.78127E-05	1.48333
8.78970E-05	1.45283
8.79812E-05	1.42404
8.80234E-05	1.41039
8.80655E-05	1.39793
8.81498E-05	1.37432
8.82341E-05	1.35189
8.83184E-05	1.33052
8.83394E-05	1.32544
8.84237E-05	1.30687
8.85291E-05	1.28494
8.86344E-05	1.26415
8.86555E-05	1.26019
8.87398E-05	1.24573
8.88451E-05	1.22853
8.90031E-05	1.20419
8.90347E-05	1.19962
8.91612E-05	1.18298
8.93184E-05	1.16355
8.94140E-05	1.15237
8.94756E-05	1.14587
8.96329E-05	1.13019
8.97901E-05	1.1153
8.99474E-05	1.1011
8.99831E-05	1.098
9.01046E-05	1.08873
9.03404E-05	1.0717
9.05785E-05	1.0555
9.06156E-05	1.05311
9.08177E-05	1.04182
9.10569E-05	1.02916
9.12961E-05	1.0171
9.15353E-05	1.00554
9.15733E-05	1.00378
9.18564E-05	0.992383
9.21798E-05	0.979999
9.22148E-05	0.978718
9.25032E-05	0.969468
9.28267E-05	0.959546
9.31524E-05	0.949936
9.34803E-05	0.940584
9.35157E-05	0.939611
9.39723E-05	0.928956
9.44666E-05	0.917932
9.48351E-05	0.91002
9.49655E-05	0.907628
9.54644E-05	0.898792
9.59680E-05	0.890153
9.66426E-05	0.878935
9.68515E-05	0.875563
9.73161E-05	0.869307
9.79886E-05	0.860516
9.90184E-05	0.847453
9.95682E-05	0.840698
1.00064E-04	0.835594
1.01119E-04	0.824987
1.02189E-04	0.814504
1.03053E-04	0.806227
1.03269E-04	0.804467
1.04477E-04	0.794882
1.04961E-04	0.791113
1.06072E-04	0.782738
1.06729E-04	0.777994
1.06817E-04	0.777456
1.07568E-04	0.773162
1.08124E-04	0.770324
1.08485E-04	0.768704
1.08847E-04	0.767351
1.09118E-04	0.76658
1.09388E-04	0.766107
1.09634E-04	0.766044
1.09818E-04	0.766312
1.10002E-04	0.766945
1.10125E-04	0.767631
1.10248E-04	0.76859
1.10370E-04	0.769894
1.10493E-04	0.771644
1.10575E-04	0.773121
1.10657E-04	0.774908
1.10739E-04	0.77707
1.10821E-04	0.779694
1.10882E-04	0.782033
1.10943E-04	0.784758
1.11005E-04	0.787946
1.11050E-04	0.790635
1.11074E-04	0.792304
1.11099E-04	0.794029
1.11148E-04	0.797977
1.11197E-04	0.802524
1.11246E-04	0.807796
1.11283E-04	0.812326
1.11320E-04	0.817451
1.11357E-04	0.823287
1.11393E-04	0.82999
1.11418E-04	0.835041
1.11451E-04	0.842664
1.11475E-04	0.849186
1.11500E-04	0.856559
1.11524E-04	0.864974
1.11549E-04	0.874684
1.11565E-04	0.882038
1.11582E-04	0.890241
1.11598E-04	0.899443
1.11614E-04	0.909827
1.11631E-04	0.921616
1.11647E-04	0.935074
1.11659E-04	0.946631
1.11672E-04	0.959459
1.11685E-04	0.975001
1.11695E-04	0.988276
1.11705E-04	1.00284
1.11716E-04	1.01885
1.11726E-04	1.03645
1.11736E-04	1.05583
1.11746E-04	1.07718
1.11757E-04	1.10071
1.11767E-04	1.12664
1.11777E-04	1.15525
1.11787E-04	1.18678
1.11797E-04	1.22153
1.11808E-04	1.25982
1.11818E-04	1.30198
1.11827E-04	1.34371
1.11828E-04	1.34839
1.11838E-04	1.39971
1.11847E-04	1.44841
1.11859E-04	1.51647
1.11870E-04	1.59173
1.11881E-04	1.67478
1.11893E-04	1.76628
1.11904E-04	1.86688
1.11909E-04	1.9146
1.11915E-04	1.97755
1.11927E-04	2.0989
1.11938E-04	2.23131
1.11949E-04	2.37546
1.11961E-04	2.53197
1.11971E-04	2.67615
1.11982E-04	2.86558
1.11994E-04	3.07021
1.12001E-04	3.18798
1.12006E-04	3.29089
1.12018E-04	3.52806
1.12030E-04	3.78157
1.12042E-04	4.05154
1.12054E-04	4.33796
1.12068E-04	4.69987
1.12079E-04	5.01315
1.12084E-04	5.14771
1.12100E-04	5.62468
1.12117E-04	6.12763
1.12140E-04	6.8692
1.12169E-04	7.86942
1.12177E-04	8.15277
1.12218E-04	9.56974
1.12244E-04	10.4085
1.12266E-04	11.1205
1.12285E-04	11.6352
1.12289E-04	11.7452
1.12308E-04	12.2257
1.12328E-04	12.6293
1.12344E-04	12.8827
1.12348E-04	12.9456
1.12367E-04	13.1658
1.12384E-04	13.2756
1.12396E-04	13.3007
1.12400E-04	13.3078
1.12416E-04	13.2721
1.12433E-04	13.1592
1.12450E-04	12.9654
1.12452E-04	12.9353
1.12472E-04	12.6155
1.12492E-04	12.2093
1.12509E-04	11.791
1.12511E-04	11.7265
1.12534E-04	11.1
1.12556E-04	10.3872
1.12582E-04	9.54859
1.12590E-04	9.26663
1.12649E-04	7.23528
1.12668E-04	6.58349
1.12688E-04	5.96016
1.12689E-04	5.9342
1.12705E-04	5.44229
1.12722E-04	4.97726
1.12734E-04	4.64744
1.12750E-04	4.24404
1.12760E-04	3.99141
1.12771E-04	3.75197
1.12773E-04	3.70846
1.12782E-04	3.52616
1.12792E-04	3.31355
1.12803E-04	3.1138
1.12814E-04	2.92668
1.12823E-04	2.77631
1.12826E-04	2.73367
1.12834E-04	2.6014
1.12845E-04	2.43973
1.12857E-04	2.29061
1.12868E-04	2.15342
1.12880E-04	2.02753
1.12891E-04	1.9123
1.12899E-04	1.8355
1.12902E-04	1.80717
1.12914E-04	1.71172
1.12925E-04	1.62494
1.12936E-04	1.54622
1.12945E-04	1.48974
1.12955E-04	1.43008
1.12966E-04	1.37564
1.12973E-04	1.34091
1.12976E-04	1.32612
1.12986E-04	1.28125
1.12996E-04	1.24044
1.13007E-04	1.20337
1.13017E-04	1.16969
1.13027E-04	1.13912
1.13037E-04	1.11136
1.13048E-04	1.08616
1.13058E-04	1.06328
1.13068E-04	1.0425
1.13078E-04	1.0236
1.13088E-04	1.00642
1.13099E-04	0.990773
1.13111E-04	0.973142
1.13123E-04	0.958898
1.13134E-04	0.946011
1.13137E-04	0.943966
1.13150E-04	0.930891
1.13165E-04	0.917622
1.13181E-04	0.905897
1.13196E-04	0.895483
1.13211E-04	0.886188
1.13227E-04	0.877847
1.13250E-04	0.866829
1.13273E-04	0.857279
1.13296E-04	0.848912
1.13319E-04	0.841508
1.13342E-04	0.834896
1.13372E-04	0.827211
1.13406E-04	0.819692
1.13439E-04	0.81309
1.13473E-04	0.807239
1.13507E-04	0.802011
1.13552E-04	0.795847
1.13597E-04	0.790445
1.13642E-04	0.785671
1.13687E-04	0.781423
1.13750E-04	0.776171
1.13812E-04	0.771761
1.13873E-04	0.767887
1.13934E-04	0.764456
1.13996E-04	0.761395
1.14078E-04	0.757789
1.14159E-04	0.754628
1.14241E-04	0.75183
1.14364E-04	0.748177
1.14495E-04	0.744843
1.14560E-04	0.743399
1.14626E-04	0.742056
1.14757E-04	0.739714
1.14953E-04	0.736688
1.15150E-04	0.734099
1.15346E-04	0.731835
1.15608E-04	0.729189
1.15804E-04	0.727412
1.16197E-04	0.724235
1.16590E-04	0.721414
1.17189E-04	0.717542
1.17808E-04	0.713903
1.18633E-04	0.709356
1.19162E-04	0.706607
1.19768E-04	0.704094
1.20315E-04	0.701917
1.23045E-04	0.691601
1.24277E-04	0.687114
1.24781E-04	0.685798
