E(MeV)	pendfb7/Kr78:1
1.00000E-11	376.40031
1.02999E-11	370.896463
1.06087E-11	365.475269
1.09269E-11	360.13132
1.12544E-11	354.869254
1.15920E-11	349.681609
1.19395E-11	344.573005
1.22976E-11	339.536892
1.26662E-11	334.577531
1.30462E-11	329.687919
1.34372E-11	324.874106
1.38403E-11	320.127571
1.42552E-11	315.454258
1.46827E-11	310.847019
1.51229E-11	306.309763
1.55765E-11	301.836542
1.60434E-11	297.432637
1.65246E-11	293.090534
1.70199E-11	288.815127
1.75304E-11	284.600401
1.80559E-11	280.44971
1.85975E-11	276.358066
1.91550E-11	272.32908
1.97295E-11	268.357338
2.03209E-11	264.446146
2.09305E-11	260.590228
2.15579E-11	256.794025
2.22045E-11	253.051207
2.28701E-11	249.366034
2.35561E-11	245.732757
2.42622E-11	242.155684
2.49899E-11	238.629127
2.57390E-11	235.156678
2.65110E-11	231.733623
2.73057E-11	228.362903
2.81247E-11	225.040303
2.89678E-11	221.768424
2.98367E-11	218.5431
3.07311E-11	215.36748
3.16528E-11	212.237
3.26017E-11	209.154478
3.35795E-11	206.115922
3.45861E-11	203.123989
3.56235E-11	200.174642
3.66913E-11	197.270743
3.77919E-11	194.408082
3.89247E-11	191.589624
4.00923E-11	188.811125
4.12941E-11	186.075666
4.25327E-11	183.378959
4.38076E-11	180.724047
4.51216E-11	178.106863
4.64742E-11	175.530088
4.78681E-11	172.990101
4.93030E-11	170.489247
5.07818E-11	168.024193
5.23041E-11	165.598246
5.25258E-11	165.258066
5.38729E-11	163.20668
5.43296E-11	162.537088
5.54878E-11	160.851753
5.61954E-11	159.86046
5.71521E-11	158.530211
5.81252E-11	157.227591
5.88653E-11	156.244231
6.01213E-11	154.637744
6.06310E-11	153.990627
6.21860E-11	152.090126
6.24484E-11	151.771779
6.43215E-11	149.584398
6.62496E-11	147.432883
6.65304E-11	147.131222
6.82368E-11	145.311866
6.88152E-11	144.718149
7.02822E-11	143.223579
7.11784E-11	142.344629
7.23903E-11	141.164906
7.36228E-11	140.009958
7.45603E-11	139.137951
7.61511E-11	137.713603
7.67967E-11	137.139808
7.87663E-11	135.454836
7.90987E-11	135.17255
8.14712E-11	133.233325
8.39134E-11	131.325998
8.42691E-11	131.058573
8.64304E-11	129.445837
8.71630E-11	128.9196
8.90212E-11	127.59478
9.01563E-11	126.815775
9.16913E-11	125.77013
9.32525E-11	124.746478
9.44399E-11	123.973655
9.64549E-11	122.711354
9.72725E-11	122.202915
9.97673E-11	120.709573
1.00188E-10	120.45958
1.03193E-10	118.741446
1.06287E-10	117.051218
1.06737E-10	116.814563
1.09475E-10	115.385391
1.10403E-10	114.919115
1.12756E-10	113.745608
1.14194E-10	113.055506
1.16139E-10	112.128968
1.18116E-10	111.22249
1.19620E-10	110.537934
1.22172E-10	109.420004
1.23208E-10	108.969472
1.26368E-10	107.647036
1.26901E-10	107.425591
1.30707E-10	105.904012
1.34626E-10	104.407379
1.35196E-10	104.19783
1.38664E-10	102.932328
1.39839E-10	102.519719
1.42820E-10	101.480617
1.44641E-10	100.869787
1.47104E-10	100.049638
1.49608E-10	99.2471838
1.51513E-10	98.6411172
1.54746E-10	97.65158
1.56058E-10	97.2529032
1.60060E-10	96.0826788
1.60736E-10	95.8864232
1.65557E-10	94.5398175
1.70520E-10	93.2155762
1.71243E-10	93.0299364
1.75635E-10	91.9104929
1.77123E-10	91.5455227
1.80899E-10	90.6260964
1.83206E-10	90.0856816
1.86325E-10	89.360331
1.89498E-10	88.6503463
1.91911E-10	88.114287
1.96005E-10	87.2392088
1.97667E-10	86.8864885
2.02737E-10	85.8513776
2.03592E-10	85.6780495
2.09699E-10	84.4872026
2.15985E-10	83.3163964
2.16900E-10	83.152421
2.22463E-10	82.1626865
2.24349E-10	81.8398949
2.29132E-10	81.027144
2.32053E-10	80.5496234
2.36004E-10	79.9085936
2.41036E-10	79.1233126
2.43079E-10	78.8069972
2.50370E-10	77.7212005
2.57875E-10	76.6546898
2.60061E-10	76.3558674
2.65610E-10	75.6033692
2.70132E-10	75.0135668
2.73572E-10	74.5684112
2.80588E-10	73.6951751
2.81777E-10	73.5483328
2.90224E-10	72.5451765
2.91454E-10	72.4046727
2.98929E-10	71.5575598
3.02735E-10	71.1427559
3.07890E-10	70.5853182
3.14459E-10	69.902173
3.17125E-10	69.6270524
3.26631E-10	68.6838291
3.36428E-10	67.7562268
3.39280E-10	67.4965599
3.46513E-10	66.8431173
3.52412E-10	66.3306464
3.56906E-10	65.9432135
3.66060E-10	65.1844913
3.67605E-10	65.0573961
3.78631E-10	64.1853773
3.80229E-10	64.0638605
3.89981E-10	63.3279809
3.94953E-10	62.9672402
4.01678E-10	62.482997
4.10241E-10	61.890268
4.13719E-10	61.6513095
4.26128E-10	60.8317263
4.38901E-10	60.0267863
4.42622E-10	59.8013734
4.52066E-10	59.2337672
4.61703E-10	58.676996
