E(MeV)	Y-89-nat			
1.82206E-04	6.51661			
1.84777E-04	6.50848			
1.94068E-04	6.47912			
2.03816E-04	6.44835			
2.14064E-04	6.41603			
2.24816E-04	6.38215			
2.36120E-04	6.34656			
2.41129E-04	6.33081			
2.47981E-04	6.31441			
2.58625E-04	6.28897			
2.65974E-04	6.27141			
2.79327E-04	6.23952			
2.91316E-04	6.21091			
3.03821E-04	6.18109			
3.12454E-04	6.16051			
3.16862E-04	6.15265			
3.30109E-04	6.12904			
3.42804E-04	6.10642			
3.55014E-04	6.08469			
3.67678E-04	6.06215			
3.80774E-04	6.03885			
3.93586E-04	6.01607			
4.01935E-04	6.00122			
4.07605E-04	5.99384			
4.19188E-04	5.97875			
4.31673E-04	5.9625			
4.47048E-04	5.94249			
4.62995E-04	5.92175			
4.82455E-04	5.89644			
4.98618E-04	5.87543			
5.14149E-04	5.85524			
5.16895E-04	5.85267			
5.36972E-04	5.83385			
5.58628E-04	5.81356			
5.79928E-04	5.7936			
6.03017E-04	5.77198			
6.30354E-04	5.74639			
6.55567E-04	5.72278			
6.80780E-04	5.70611			
7.10974E-04	5.68614			
7.36365E-04	5.66935			
7.62593E-04	5.65201			
7.87147E-04	5.63578			
8.15184E-04	5.61725			
8.37929E-04	5.60223			
8.43798E-04	5.59835			
8.61739E-04	5.59011			
8.92433E-04	5.57602			
9.17792E-04	5.56438			
9.43871E-04	5.55241			
9.70692E-04	5.5401			
1.00288E-03	5.52533			
1.04106E-03	5.50782			
1.07392E-03	5.49275			
1.09949E-03	5.48102			
1.10940E-03	5.47787			
1.14262E-03	5.46733			
1.18062E-03	5.45527			
1.21879E-03	5.44316			
1.26068E-03	5.42987			
1.30404E-03	5.41611			
1.34575E-03	5.40288			
1.39048E-03	5.3887			
1.43453E-03	5.37473			
1.43717E-03	5.37389			
1.48302E-03	5.35936			
1.48760E-03	5.35813			
1.53395E-03	5.34573			
1.57073E-03	5.3359			
1.61086E-03	5.32517			
1.64511E-03	5.31601			
1.68375E-03	5.30568			
1.71130E-03	5.29832			
1.73544E-03	5.29187			
1.75993E-03	5.28533			
1.78476E-03	5.27869			
1.80994E-03	5.27197			
1.83514E-03	5.26524			
1.85975E-03	5.25867			
1.88436E-03	5.2521			
1.90897E-03	5.24554			
1.93358E-03	5.23898			
1.95818E-03	5.23242			
1.98279E-03	5.22586			
2.00125E-03	5.22095			
2.01970E-03	5.21603			
2.03816E-03	5.21112			
2.05662E-03	5.20622			
2.07507E-03	5.20132			
2.09353E-03	5.19642			
2.11076E-03	5.19185			
2.12552E-03	5.18546			
2.14028E-03	5.17907			
2.15667E-03	5.17199			
2.17225E-03	5.16526			
2.18458E-03	5.15994			
2.19935E-03	5.15357			
2.20958E-03	5.14916			
2.22208E-03	5.14378			
2.23286E-03	5.13915			
2.24364E-03	5.13452			
2.25653E-03	5.129			
2.26646E-03	5.12475			
2.27639E-03	5.12051			
2.28301E-03	5.11768			
2.29364E-03	5.10962			
2.30191E-03	5.10336			
2.31018E-03	5.09711			
2.31845E-03	5.09086			
2.32672E-03	5.08463			
2.33440E-03	5.07884			
2.34453E-03	5.07123			
2.35192E-03	5.06569			
2.36092E-03	5.05896			
2.36721E-03	5.05427			
2.37378E-03	5.04938			
2.37707E-03	5.04694			
2.38199E-03	5.04066			
2.38924E-03	5.03143			
2.39621E-03	5.02256			
2.40352E-03	5.0133			
2.40874E-03	5.0067			
2.41432E-03	4.99968			
2.41953E-03	4.99312			
2.42682E-03	4.98399			
2.43196E-03	4.9776			
2.43709E-03	4.96732			
2.44176E-03	4.95797			
2.44644E-03	4.94864			
2.45111E-03	4.93937			
2.45576E-03	4.93016			
2.46041E-03	4.921			
2.46497E-03	4.91208			
2.46797E-03	4.90622			
2.46947E-03	4.9018			
2.47397E-03	4.88857			
2.47840E-03	4.87561			
2.48283E-03	4.86273			
2.48726E-03	4.84993			
2.49022E-03	4.84144			
2.49169E-03	4.83722			
2.49317E-03	4.83097			
2.49760E-03	4.81232			
2.50129E-03	4.79688			
2.50498E-03	4.78154			
2.50867E-03	4.76632			
2.51236E-03	4.75125			
2.51482E-03	4.73656			
2.51728E-03	4.72195			
2.51975E-03	4.70743			
2.52221E-03	4.69301			
2.52467E-03	4.67871			
2.52713E-03	4.66453			
2.52959E-03	4.64507			
2.53205E-03	4.62577			
2.53451E-03	4.60666			
2.53697E-03	4.58777			
2.53919E-03	4.56518			
2.54140E-03	4.54282			
2.54362E-03	4.52072			
2.54583E-03	4.49893			
2.54749E-03	4.47747			
2.54915E-03	4.45623			
2.55081E-03	4.43524			
2.55247E-03	4.41451			
2.55414E-03	4.38734			
2.55580E-03	4.36055			
2.55746E-03	4.33416			
2.55912E-03	4.30823			
2.56078E-03	4.27476			
2.56244E-03	4.24191			
2.56355E-03	4.22049			
2.56404E-03	4.20825			
2.56552E-03	4.17222			
2.56699E-03	4.13697			
2.56798E-03	4.11396			
2.56896E-03	4.08491			
2.56995E-03	4.05636			
2.57093E-03	4.02837			
2.57130E-03	4.0181			
2.57182E-03	3.99979			
2.57302E-03	3.95869			
2.57422E-03	3.91882			
2.57425E-03	3.91783			
2.57502E-03	3.8864			
2.57582E-03	3.85441			
2.57662E-03	3.82322			
2.57702E-03	3.80808			
2.57742E-03	3.78939			
2.57813E-03	3.75717			
2.57887E-03	3.72465			
2.57905E-03	3.71473			
2.57997E-03	3.66692			
2.58059E-03	3.63621			
2.58102E-03	3.61545			
2.58120E-03	3.60439			
2.58182E-03	3.56874			
2.58244E-03	3.53444			
2.58287E-03	3.51145			
2.58299E-03	3.50333			
2.58373E-03	3.45687			
2.58422E-03	3.42752			
2.58471E-03	3.39966			
2.58520E-03	3.36758			
2.58570E-03	3.33743			
2.58619E-03	3.3095			
2.58628E-03	3.30475			
2.58668E-03	3.28159			
2.58722E-03	3.25367			
2.58758E-03	3.23742			
2.58795E-03	3.22335			
2.58831E-03	3.21178			
2.58867E-03	3.20308			
2.58889E-03	3.19972			
2.58903E-03	3.20025			
2.58939E-03	3.20556			
2.58963E-03	3.21198			
2.58970E-03	3.21575			
2.58997E-03	3.23293			
2.59013E-03	3.24483			
2.59024E-03	3.25691			
2.59049E-03	3.28852			
2.59050E-03	3.28977			
2.59062E-03	3.30857			
2.59077E-03	3.33828			
2.59097E-03	3.38257			
2.59104E-03	3.39866			
2.59120E-03	3.44498			
2.59130E-03	3.48059			
2.59142E-03	3.52307			
2.59157E-03	3.58747			
