E(MeV)	mcnp/Li-6:1
1.00000E-11	47417.70826
1.14063E-11	44399.38026
1.28125E-11	41892.33442
1.56250E-11	37934.99901
1.84375E-11	34922.30839
2.12500E-11	32529.23378
2.40625E-11	30569.30112
2.68750E-11	28925.0007
3.25000E-11	26302.05279
3.81250E-11	24283.93533
4.37500E-11	22669.76295
5.50000E-11	20219.65409
6.62500E-11	18423.73508
7.75000E-11	17033.19614
8.87500E-11	15917.99513
1.00000E-10	14996.62883
1.14063E-10	14042.42173
1.28125E-10	13249.9283
1.56250E-10	11999.15919
1.84375E-10	11046.5727
2.12500E-10	10289.8274
2.40625E-10	9669.863073
2.68750E-10	9150.04295
3.25000E-10	8320.493604
3.81250E-10	7681.592043
4.37500E-10	7170.122062
4.93750E-10	6748.78791
5.50000E-10	6393.90214
6.62500E-10	5825.147655
7.75000E-10	5385.408846
8.87500E-10	5032.325401
1.00000E-09	4740.747006
1.14063E-09	4438.93749
1.28125E-09	4188.373645
1.56250E-09	3793.066808
1.84375E-09	3492.164308
2.12500E-09	3253.192308
2.40625E-09	3057.427654
2.68750E-09	2893.220779
3.25000E-09	2631.158454
3.81250E-09	2429.334059
4.37500E-09	2267.703256
4.93750E-09	2134.487459
5.50000E-09	2022.246733
6.62500E-09	1842.336339
7.75000E-09	1703.282214
8.87500E-09	1591.698745
1.00000E-08	1499.606126
1.19125E-08	1374.222768
1.38250E-08	1275.866139
1.57375E-08	1195.981239
1.76500E-08	1129.394831
2.14750E-08	1023.867284
2.53000E-08	943.228921
2.99688E-08	866.6067137
3.46375E-08	806.1055485
3.93063E-08	756.7642629
4.39750E-08	715.5173501
5.33125E-08	649.9322913
6.26500E-08	599.6144328
7.19875E-08	559.4321097
8.13250E-08	526.3828751
1.00000E-07	474.7653285
1.14063E-07	444.5838659
1.28125E-07	419.5172321
1.56250E-07	379.9203028
1.84375E-07	349.7235348
2.12500E-07	325.7532547
2.40625E-07	306.1732352
2.68750E-07	289.7903767
3.25000E-07	263.6111483
3.81250E-07	243.3685682
4.37500E-07	227.1680529
4.93750E-07	213.879982
5.50000E-07	202.747902
6.62500E-07	184.8364171
7.75000E-07	170.8756398
8.87500E-07	159.6751898
1.00000E-06	150.4535709
1.14063E-06	140.9216061
1.28125E-06	133.0811843
1.56250E-06	120.6146742
1.84375E-06	111.0247354
2.12500E-06	103.4245619
2.40625E-06	97.21057384
2.68750E-06	92.06505634
3.25000E-06	83.80561752
3.81250E-06	77.39360486
