E(MeV)	pendfb7/Kr83:1
2.54633E-10	2005.76077
2.57875E-10	1993.00474
2.64489E-10	1968.10178
2.65610E-10	1963.88279
2.73572E-10	1935.20909
2.74731E-10	1931.2146
2.78229E-10	1919.16399
2.81777E-10	1906.94114
2.85365E-10	1895.11346
2.90224E-10	1879.10285
2.92684E-10	1871.34599
2.96416E-10	1859.57827
2.98929E-10	1851.65763
3.07890E-10	1824.63184
3.17125E-10	1797.98889
3.19813E-10	1790.56849
3.23885E-10	1779.33222
3.26631E-10	1771.75491
3.32192E-10	1757.07031
3.36428E-10	1745.88921
3.43600E-10	1727.77511
3.45056E-10	1724.09774
3.46513E-10	1720.41934
3.56906E-10	1695.30975
3.58412E-10	1691.82819
3.64515E-10	1677.72525
3.67605E-10	1670.58482
3.72292E-10	1660.22015
3.78631E-10	1646.20807
3.86703E-10	1629.13511
3.89981E-10	1622.20465
4.01678E-10	1598.53891
4.10241E-10	1581.96833
4.13719E-10	1575.23792
4.17226E-10	1568.74344
4.26128E-10	1552.26518
4.35212E-10	1536.17469
4.38901E-10	1529.64322
4.52066E-10	1507.34068
4.53974E-10	1504.24752
4.61703E-10	1491.72323
4.65617E-10	1485.38087
4.73545E-10	1473.08824
4.79583E-10	1463.73016
4.89807E-10	1448.56717
4.93959E-10	1442.40943
5.08775E-10	1421.39283
5.15254E-10	1412.59835
5.19621E-10	1406.67319
5.24026E-10	1400.69646
5.37466E-10	1383.24774
5.39744E-10	1380.2915
5.51250E-10	1366.0032
5.55923E-10	1360.20021
5.60636E-10	1354.60018
5.72598E-10	1340.39279
5.84805E-10	1326.51908
5.89762E-10	1320.88767
6.07452E-10	1301.65826
6.12601E-10	1296.30253
6.20402E-10	1288.19198
6.25661E-10	1282.7243
6.41707E-10	1266.76078
6.44427E-10	1264.05594
6.58165E-10	1250.98366
6.63744E-10	1245.675
6.72208E-10	1237.96891
6.83653E-10	1227.5533
6.98227E-10	1214.86176
7.04146E-10	1209.7073
7.25267E-10	1192.11599
7.37615E-10	1182.27489
7.40728E-10	1179.79493
7.47007E-10	1174.79281
7.69413E-10	1157.71399
7.72661E-10	1155.34495
7.85816E-10	1145.75411
7.92477E-10	1140.89782
8.12802E-10	1126.71947
8.16247E-10	1124.31735
8.33648E-10	1112.70746
8.40715E-10	1107.99238
8.55029E-10	1098.85433
8.65932E-10	1091.8969
8.76958E-10	1085.16459
8.91889E-10	1076.04795
8.99450E-10	1071.63057
9.18641E-10	1060.42343
9.22518E-10	1058.25706
9.46178E-10	1045.03645
9.70445E-10	1032.06739
9.74558E-10	1029.86928
9.95334E-10	1019.24503
1.00377E-09	1014.93243
1.02086E-09	1006.57421
1.03388E-09	1000.20749
1.05148E-09	991.97
1.06487E-09	985.707229
1.07390E-09	981.667445
1.09681E-09	971.411782
1.11078E-09	965.430966
1.12969E-09	957.335547
1.16357E-09	943.457317
1.17344E-09	939.591622
1.18838E-09	933.738816
1.19845E-09	929.792549
1.23440E-09	916.319471
1.24486E-09	912.566852
1.25012E-09	910.683488
1.27140E-09	903.053606
1.30401E-09	891.869437
1.30954E-09	889.973739
1.32064E-09	886.33064
1.34879E-09	877.095445
1.36023E-09	873.506731
1.38925E-09	864.397788
1.40102E-09	860.86105
1.41886E-09	855.505867
1.43089E-09	851.895322
1.47381E-09	839.56852
1.48003E-09	837.858912
1.49258E-09	834.411114
1.51799E-09	827.430615
1.54383E-09	820.637972
1.56352E-09	815.463788
1.59014E-09	808.769651
1.61039E-09	803.680084
1.65869E-09	792.063226
1.67981E-09	787.202967
1.70123E-09	782.273903
1.70841E-09	780.622384
1.75223E-09	770.97959
1.75966E-09	769.345096
1.81240E-09	758.238154
1.82008E-09	756.69064
1.82777E-09	755.143606
1.86677E-09	747.289818
1.90656E-09	739.62192
1.92272E-09	736.507824
1.95546E-09	730.472708
1.98039E-09	725.87774
1.98875E-09	724.404115
2.03976E-09	715.411085
2.07449E-09	709.552495
2.10094E-09	705.09019
2.16392E-09	694.929577
2.22882E-09	684.910529
2.25720E-09	680.719023
2.26677E-09	679.306051
2.29563E-09	675.044867
2.35451E-09	666.728679
2.36449E-09	665.319012
2.43537E-09	655.740251
2.44569E-09	654.405573
2.50842E-09	646.298422
2.51900E-09	644.989213
2.58361E-09	636.999907
2.60551E-09	634.408626
2.64987E-09	629.159924
2.66110E-09	627.831534
2.69499E-09	623.997396
2.74087E-09	618.805287
2.78754E-09	613.753049
2.82308E-09	609.904813
2.88327E-09	603.670768
2.90771E-09	601.140127
2.98228E-09	593.75249
2.99492E-09	592.500331
3.08470E-09	583.991237
3.15051E-09	578.022688
3.17722E-09	575.601823
3.19063E-09	574.438821
3.27246E-09	567.34199
3.30020E-09	565.040141
3.37062E-09	559.197355
3.41354E-09	555.790038
3.45706E-09	552.334372
3.47166E-09	551.17649
3.53076E-09	546.688715
3.57579E-09	543.27042
3.65202E-09	537.732942
3.68297E-09	535.4841
3.77743E-09	528.919115
3.79344E-09	527.806394
3.80945E-09	526.741712
3.90715E-09	520.247659
4.02435E-09	512.79492
4.04133E-09	511.761475
4.14498E-09	505.454994
4.18012E-09	503.40953
4.21555E-09	501.346719
4.26931E-09	498.21881
4.32367E-09	495.19225
4.39728E-09	491.093926
4.47215E-09	487.106041
4.52918E-09	484.06852
4.62573E-09	479.147815
4.66494E-09	477.149466
4.68472E-09	476.185393
4.78459E-09	471.317844
4.80487E-09	470.329478
4.94890E-09	463.613218
5.09734E-09	456.990715
5.11885E-09	456.072382
5.25013E-09	450.468474
5.29464E-09	448.651646
5.40761E-09	444.040015
5.47647E-09	441.350693
5.56971E-09	437.708976
5.61692E-09	435.944688
5.73677E-09	431.466293
5.90873E-09	425.318169
6.06028E-09	420.136672
6.08596E-09	419.258426
6.21571E-09	415.014147
6.26840E-09	413.2905
6.37512E-09	409.95019
6.45641E-09	407.405889
6.53862E-09	404.944045
6.64995E-09	401.610412
6.70632E-09	399.99534
6.84941E-09	395.897537
6.87832E-09	395.105474
7.05473E-09	390.271941
7.23566E-09	385.528841
7.26633E-09	384.724893
7.42124E-09	380.839703
7.48415E-09	379.26186
7.61157E-09	376.204137
7.67609E-09	374.655814
7.70863E-09	373.875391
7.80679E-09	371.622786
7.93970E-09	368.572473
8.00701E-09	367.094692
8.17785E-09	363.343626
8.21237E-09	362.61855
8.42299E-09	358.193979
8.63902E-09	353.852171
8.67563E-09	353.116243
8.86058E-09	349.559747
8.93569E-09	348.115986
9.08783E-09	345.318153
9.20371E-09	343.187072
9.32091E-09	341.125059
9.47961E-09	338.332847
9.55996E-09	336.980099
9.76394E-09	333.546407
9.80515E-09	332.882684
1.00566E-08	328.832459
1.03145E-08	324.857963
1.03583E-08	324.184288
1.05791E-08	320.930059
1.06688E-08	319.608464
1.08504E-08	317.047326
1.09888E-08	315.096521
1.11287E-08	313.208942
1.13182E-08	310.652905
1.14141E-08	309.414574
1.16577E-08	306.271273
1.17069E-08	305.663681
1.20071E-08	301.95594
1.22633E-08	298.928998
1.23151E-08	298.317723
1.23672E-08	297.701252
1.26309E-08	294.722092
1.27380E-08	293.512208
1.29548E-08	291.167499
1.31200E-08	289.381552
1.32871E-08	287.65343
1.35133E-08	285.313339
1.36279E-08	284.179587
1.39186E-08	281.301774
1.40959E-08	279.623454
1.43359E-08	277.350801
1.45800E-08	275.139286
1.47659E-08	273.454789
1.52085E-08	269.619241
1.56647E-08	265.837085
1.59986E-08	263.187923
1.61342E-08	262.112057
1.66182E-08	258.43886
1.71163E-08	254.821133
1.76297E-08	251.253732
1.80819E-08	248.2476
