MeV	Ni-nat
8.29826E-06	18.1212
9.08917E-06	18.1088
1.00964E-05	18.095
1.10587E-05	18.0835
1.20285E-05	18.0731
1.30833E-05	18.063
1.41316E-05	18.054
1.53708E-05	18.0442
1.67187E-05	18.0347
1.80574E-05	18.026
1.95042E-05	18.0175
2.12146E-05	18.0083
2.30749E-05	17.9992
2.49226E-05	17.9908
2.72993E-05	17.981
3.01122E-05	17.9703
3.34475E-05	17.9588
3.71541E-05	17.9471
4.06952E-05	17.9368
4.39560E-05	17.9279
4.84851E-05	17.9162
5.31062E-05	17.905
5.89913E-05	17.8915
6.55254E-05	17.8774
7.17742E-05	17.8645
7.75213E-05	17.8531
8.55089E-05	17.8378
9.36634E-05	17.8227
1.01163E-04	17.8093
1.09269E-04	17.795
1.19684E-04	17.7771
1.31097E-04	17.758
1.42593E-04	17.739
1.54011E-04	17.7205
1.66351E-04	17.7008
1.83492E-04	17.6737
2.00980E-04	17.6465
2.18604E-04	17.6194
2.44531E-04	17.5798
2.69627E-04	17.542
2.95339E-04	17.5035
3.25770E-04	17.4582
3.56820E-04	17.4123
3.88110E-04	17.3663
4.37202E-04	17.2944
4.81030E-04	17.2305
5.24963E-04	17.1667
5.50369E-04	17.1299
5.73380E-04	17.101
6.30786E-04	17.0292
6.95781E-04	16.9482
7.65317E-04	16.8617
8.34251E-04	16.7761
8.94784E-04	16.701
9.78232E-04	16.5977
1.04559E-03	16.5143
1.08351E-03	16.4767
1.18983E-03	16.3714
1.25474E-03	16.3072
1.26315E-03	16.299
1.27307E-03	16.2893
1.27758E-03	16.285
1.28028E-03	16.2825
1.28231E-03	16.2808
1.28374E-03	16.2798
1.28449E-03	16.2793
1.28524E-03	16.279
1.28580E-03	16.2788
1.28626E-03	16.2788
1.28667E-03	16.2789
1.28707E-03	16.2792
1.28734E-03	16.2796
1.28755E-03	16.28
1.28775E-03	16.2805
1.28795E-03	16.2812
1.28809E-03	16.2818
1.28823E-03	16.2826
1.28834E-03	16.2834
1.28845E-03	16.2844
1.28857E-03	16.2855
1.28868E-03	16.2869
1.28879E-03	16.2886
1.28887E-03	16.2899
1.28894E-03	16.2914
1.28902E-03	16.293
1.28909E-03	16.2949
1.28917E-03	16.297
1.28924E-03	16.2993
1.28932E-03	16.3019
1.28940E-03	16.305
1.28948E-03	16.3086
1.28956E-03	16.3126
1.28964E-03	16.317
1.28973E-03	16.3219
1.28981E-03	16.3274
1.28989E-03	16.3333
1.28998E-03	16.3398
1.29005E-03	16.3462
1.29015E-03	16.3555
1.29025E-03	16.3656
1.29035E-03	16.3764
1.29046E-03	16.388
1.29056E-03	16.4001
1.29073E-03	16.4216
1.29103E-03	16.46
1.29119E-03	16.4806
1.29131E-03	16.4934
1.29142E-03	16.5049
1.29154E-03	16.5148
1.29165E-03	16.5229
