E(MeV)	"ENDF/B-VIII.b5: SE-77(N,TOT)"	
1.00000E-11	2170.82	
1.10304E-11	2066.99	
1.21669E-11	1968.14	
1.34206E-11	1874.02	
1.48034E-11	1784.41	
1.63287E-11	1699.09	
1.80111E-11	1617.86	
1.98669E-11	1540.51	
2.19139E-11	1466.87	
2.41719E-11	1396.76	
2.66625E-11	1330.02	
2.68506E-11	1325.65	
2.94097E-11	1266.47	
2.98246E-11	1258.15	
3.24400E-11	1205.96	
3.31298E-11	1194.04	
3.57825E-11	1148.35	
3.67993E-11	1133.18	
3.94694E-11	1093.51	
4.08774E-11	1075.38	
4.35362E-11	1041.29	
4.54050E-11	1020.53	
4.80221E-11	991.572	
5.04367E-11	968.427	
5.29701E-11	944.239	
5.60232E-11	918.988	
5.84280E-11	899.176	
6.22317E-11	872.031	
6.44483E-11	856.273	
6.91246E-11	827.478	
7.10888E-11	815.429	
7.67849E-11	785.166	
7.84136E-11	776.545	
8.52898E-11	745.023	
8.64931E-11	739.527	
9.47415E-11	706.902	
9.54051E-11	704.287	
1.05235E-10	670.739	
1.16078E-10	638.812	
1.16898E-10	636.721	
1.28039E-10	608.418	
1.29845E-10	604.443	
1.41231E-10	579.489	
1.45245E-10	571.871	
1.55784E-10	551.949	
1.62471E-10	541.001	
1.71835E-10	525.732	
1.81739E-10	511.748	
1.89540E-10	500.776	
2.03293E-10	484.028	
2.09070E-10	477.02	
2.27404E-10	457.766	
2.30612E-10	454.409	
2.54374E-10	432.889	
2.56169E-10	431.481	
2.80584E-10	412.416	
2.88556E-10	407.025	
3.09494E-10	392.927	
3.25056E-10	383.856	
3.41383E-10	374.377	
3.68737E-10	360.632	
3.76558E-10	356.718	
4.15358E-10	339.913	
4.18288E-10	338.815	
4.58155E-10	323.932	
4.77821E-10	317.578	
5.05362E-10	308.717	
5.45855E-10	297.444	
5.57433E-10	294.233	
6.14869E-10	280.454	
6.27943E-10	277.74	
6.78223E-10	267.347	
7.27435E-10	258.547	
7.48105E-10	254.866	
8.25188E-10	242.992	
8.48636E-10	239.867	
9.10213E-10	231.697	
9.97015E-10	221.735	
1.00400E-09	220.937	
1.10745E-09	210.713	
1.18780E-09	203.845	
1.22155E-09	200.972	
1.34742E-09	191.71	
1.43514E-09	186.128	
1.48625E-09	182.889	
1.63939E-09	174.5	
1.75835E-09	168.866	
1.80831E-09	166.509	
1.99463E-09	158.913	
2.20016E-09	151.671	
2.42685E-09	144.794	
2.67691E-09	138.239	
2.83120E-09	134.743	
2.95273E-09	132.001	
3.25697E-09	126.069	
3.59256E-09	120.415	
3.77320E-09	117.784	
3.96272E-09	115.036	
4.37103E-09	109.921	
4.82141E-09	105.046	
5.24420E-09	101.091	
5.31819E-09	100.402	
5.86616E-09	95.9921	
6.47059E-09	91.7904	
7.13730E-09	87.7866	
7.76318E-09	84.5391	
7.87271E-09	83.973	
8.68389E-09	80.3524	
9.57865E-09	76.9036	
1.05656E-08	73.6183	
1.16543E-08	70.4888	
1.26762E-08	67.9515	
1.28551E-08	67.5092	
1.41796E-08	64.681	
1.56406E-08	61.9867	
1.72522E-08	59.419	
1.90298E-08	56.971	
2.09906E-08	54.637	
2.31534E-08	52.4126	
2.41472E-08	51.5219	
2.52419E-08	50.5433	
2.53000E-08	50.4947	
2.79068E-08	48.4766	
3.07823E-08	46.5559	
3.39540E-08	44.7264	
3.74525E-08	42.9821	
4.13115E-08	41.3188	
4.55681E-08	39.7338	
5.02633E-08	38.224	
5.54423E-08	36.7867	
6.11549E-08	35.4192	
6.74561E-08	34.1165	
6.79319E-08	34.0313	
7.44066E-08	32.8774	
8.20732E-08	31.6957	
9.05297E-08	30.5698	
9.98577E-08	29.4975	
1.10147E-07	28.4762	
1.21496E-07	27.5052	
1.34014E-07	26.5813	
1.47823E-07	25.6975	
1.63054E-07	24.854	
1.79855E-07	24.05	
1.98386E-07	23.2837	
2.18827E-07	22.5531	
2.41375E-07	21.8574	
2.66245E-07	21.1965	
2.93678E-07	20.562	
3.23938E-07	19.956	
3.57316E-07	19.3776	
3.94132E-07	18.8253	
4.34743E-07	18.2979	
4.76202E-07	17.8308	
5.10755E-07	17.4935	
5.28947E-07	17.3168	
5.83448E-07	16.8579	
6.43565E-07	16.4192	
7.09876E-07	15.9997	
7.83020E-07	15.5981	
8.63700E-07	15.2137	
9.52693E-07	14.8454	
1.04355E-06	14.5184	
1.15913E-06	14.1554	
1.26967E-06	13.8524	
1.39068E-06	13.5604	
1.52331E-06	13.2783	
1.66849E-06	13.0065	
1.82761E-06	12.7434	
2.00180E-06	12.4893	
2.23921E-06	12.1881	
2.46993E-06	11.9327	
2.70547E-06	11.7029	
2.94272E-06	11.4961	
3.20077E-06	11.2938	
3.48145E-06	11.0961	
3.78675E-06	10.9028	
3.86707E-06	10.8569	
4.11881E-06	10.7176	
4.44862E-06	10.5536	
4.80507E-06	10.3911	
5.18982E-06	10.2317	
5.56639E-06	10.0888	
5.97029E-06	9.94791	
6.40349E-06	9.80854	
6.91657E-06	9.6565	
7.47040E-06	9.50663	
7.95672E-06	9.38488	
8.01245E-06	9.37171	
8.59383E-06	9.24527	
9.21740E-06	9.11965	
9.88621E-06	8.99512	
1.06784E-05	8.85892	
1.14532E-05	8.73552	
1.21982E-05	8.62461	
1.27218E-05	8.55145	
1.29922E-05	8.51676	
1.37411E-05	8.42648	
1.45331E-05	8.33641	
1.53708E-05	8.24633	
1.62567E-05	8.15605	
1.73142E-05	8.0542	
1.83121E-05	7.96335	
1.93676E-05	7.88152	
2.04839E-05	7.79971	
2.16646E-05	7.71737	
2.29133E-05	7.6345	
2.40654E-05	7.56158	
2.49226E-05	7.50928	
2.52742E-05	7.49048	
2.67310E-05	7.41619	
2.80750E-05	7.35066	
2.94853E-05	7.28462	
3.09678E-05	7.21776	
3.25233E-05	7.15004	
3.29822E-05	7.13074	
3.39194E-05	7.09697	
3.53753E-05	7.04606	
3.68938E-05	6.99459	
3.84775E-05	6.94247	
