MeV	"TL-205(N,TOT)"
4.28498E-05	9.24514
4.28993E-05	9.24661
4.29489E-05	9.24822
4.29984E-05	9.24998
4.30479E-05	9.25191
4.30974E-05	9.25404
4.31469E-05	9.25639
4.31964E-05	9.25901
4.32459E-05	9.26192
4.32816E-05	9.26423
4.33174E-05	9.26674
4.33531E-05	9.26947
4.33889E-05	9.27245
4.34246E-05	9.27571
4.34604E-05	9.27929
4.34962E-05	9.28323
4.35319E-05	9.28758
4.35594E-05	9.29124
4.35869E-05	9.29521
4.36144E-05	9.29952
4.36419E-05	9.30422
4.36694E-05	9.30936
4.36969E-05	9.31499
4.37244E-05	9.32117
4.37519E-05	9.32798
4.37739E-05	9.33394
4.37959E-05	9.34041
4.38179E-05	9.34746
4.38399E-05	9.35515
4.38619E-05	9.36357
4.38839E-05	9.37282
4.39059E-05	9.38299
4.39279E-05	9.39424
4.39444E-05	9.40347
4.39609E-05	9.41346
4.39774E-05	9.42431
4.39939E-05	9.43611
4.40104E-05	9.44899
4.40270E-05	9.46308
4.40434E-05	9.47854
4.40600E-05	9.49556
4.40765E-05	9.51435
4.40930E-05	9.53518
4.41095E-05	9.55835
4.41260E-05	9.58421
4.41392E-05	9.60741
4.41425E-05	9.61321
4.41546E-05	9.63677
4.41678E-05	9.66496
4.41810E-05	9.6961
4.41942E-05	9.73057
4.42063E-05	9.76546
4.42173E-05	9.80024
4.42283E-05	9.83826
4.42393E-05	9.87986
4.42503E-05	9.9254
4.42613E-05	9.97528
4.42723E-05	10.0299
4.42833E-05	10.0897
4.42943E-05	10.1552
4.43053E-05	10.2267
4.43163E-05	10.3048
4.43273E-05	10.3898
4.43383E-05	10.482
4.43493E-05	10.582
4.43603E-05	10.6898
4.43713E-05	10.8056
4.43823E-05	10.9295
4.43933E-05	11.0612
4.44098E-05	11.273
4.44263E-05	11.5001
4.44483E-05	11.8213
4.44868E-05	12.403
4.45088E-05	12.7213
4.45253E-05	12.94
4.45418E-05	13.1332
4.45528E-05	13.2442
4.45638E-05	13.3386
4.45748E-05	13.4149
4.45858E-05	13.4716
4.45968E-05	13.5077
4.46041E-05	13.516
4.46100E-05	13.5228
4.46208E-05	13.5121
4.46298E-05	13.4873
4.46408E-05	13.4382
4.46518E-05	13.369
4.46661E-05	13.2514
4.46804E-05	13.1058
4.46969E-05	12.9087
4.47134E-05	12.6872
4.47354E-05	12.3673
4.47794E-05	11.7064
4.47959E-05	11.4694
4.48124E-05	11.2452
4.48289E-05	11.0365
4.48399E-05	10.9068
4.48509E-05	10.785
4.48619E-05	10.6712
4.48729E-05	10.5653
4.48839E-05	10.4672
4.48949E-05	10.3766
4.49059E-05	10.2932
4.49169E-05	10.2167
4.49279E-05	10.1465
4.49389E-05	10.0822
4.49499E-05	10.0235
4.49609E-05	9.96981
4.49719E-05	9.9208
4.49829E-05	9.87602
4.49939E-05	9.8351
4.50049E-05	9.79768
4.50159E-05	9.76343
4.50269E-05	9.73204
4.50407E-05	9.6964
4.50531E-05	9.66739
4.50654E-05	9.64094
4.50778E-05	9.61677
4.50902E-05	9.59465
4.51050E-05	9.57049
4.51182E-05	9.55096
4.51314E-05	9.53304
4.51446E-05	9.51658
4.51578E-05	9.5014
4.51777E-05	9.48078
4.51975E-05	9.46239
4.52137E-05	9.44876
4.52329E-05	9.43406
4.52522E-05	9.42077
4.52714E-05	9.40869
4.52907E-05	9.39769
4.53099E-05	9.38764
4.53292E-05	9.37844
4.53484E-05	9.36998
4.53704E-05	9.36113
4.53952E-05	9.35209
4.54199E-05	9.34391
4.54447E-05	9.33647
4.54695E-05	9.32969
4.54942E-05	9.32349
4.55190E-05	9.31781
4.55437E-05	9.31259
4.55712E-05	9.30727
4.56015E-05	9.30194
4.56317E-05	9.29708
4.56620E-05	9.29265
4.56922E-05	9.2886
4.57225E-05	9.28487
4.57527E-05	9.28145
4.57981E-05	9.2768
4.58366E-05	9.27326
4.58751E-05	9.27005
4.59136E-05	9.26711
4.59521E-05	9.26443
4.59906E-05	9.26197
4.60291E-05	9.25971
4.60676E-05	9.25763
4.61061E-05	9.25571
